date,FII_OI_Net,DII_OI_Net,PRO_OI_Net,CLIENT_OI_Net,FII_OI_Delta,DII_OI_Delta,PRO_OI_Delta,CLIENT_OI_Delta,FII_OI_Delta_5D,FII_OI_Delta_20D,FII_OI_Delta_60D,DII_OI_Delta_5D,DII_OI_Delta_20D,DII_OI_Delta_60D,PRO_OI_Delta_5D,PRO_OI_Delta_20D,PRO_OI_Delta_60D,CLIENT_OI_Delta_5D,CLIENT_OI_Delta_20D,CLIENT_OI_Delta_60D,FII_Volume_Net,DII_Volume_Net,PRO_Volume_Net,CLIENT_Volume_Net,FII_Volume_5D,FII_Volume_20D,FII_Volume_60D,DII_Volume_5D,DII_Volume_20D,DII_Volume_60D,PRO_Volume_5D,PRO_Volume_20D,PRO_Volume_60D,CLIENT_Volume_5D,CLIENT_Volume_20D,CLIENT_Volume_60D,FII_Derivatives_Net,FPI_net_cr,FPI_flow_5D,FPI_flow_20D,FPI_flow_60D,MF_net_cr,MF_flow_5D,MF_flow_20D,MF_flow_60D,INSURANCE_net_cr,INSURANCE_flow_5D,INSURANCE_flow_20D,INSURANCE_flow_60D,RETAIL_net_cr,RETAIL_flow_5D,RETAIL_flow_20D,RETAIL_flow_60D,FII_flow_score,DII_flow_score,PRO_flow_score,CLIENT_flow_score,FPI_flow_score,MF_flow_score,INSURANCE_flow_score,RETAIL_flow_score
2016-01-01,-186247.0,-356396.0,79503.0,463140.0,,,,,,,,,,,,,,,,,-5180.0,-708.0,2592.0,3296.0,-5180.0,-5180.0,-5180.0,-708.0,-708.0,-708.0,2592.0,2592.0,2592.0,3296.0,3296.0,3296.0,-3860.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,-192230.0,-357564.0,65404.0,484390.0,-5983.0,-1168.0,-14099.0,21250.0,-5983.0,-5983.0,-5983.0,-1168.0,-1168.0,-1168.0,-14099.0,-14099.0,-14099.0,21250.0,21250.0,21250.0,-5983.0,-1168.0,-14099.0,21250.0,-11163.0,-11163.0,-11163.0,-1876.0,-1876.0,-1876.0,-11507.0,-11507.0,-11507.0,24546.0,24546.0,24546.0,-5329.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,-195074.0,-357418.0,60131.0,492361.0,-2844.0,146.0,-5273.0,7971.0,-8827.0,-8827.0,-8827.0,-1022.0,-1022.0,-1022.0,-19372.0,-19372.0,-19372.0,29221.0,29221.0,29221.0,-2844.0,146.0,-5273.0,7971.0,-14007.0,-14007.0,-14007.0,-1730.0,-1730.0,-1730.0,-16780.0,-16780.0,-16780.0,32517.0,32517.0,32517.0,-3364.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,-205320.0,-354277.0,56903.0,502694.0,-10246.0,3141.0,-3228.0,10333.0,-19073.0,-19073.0,-19073.0,2119.0,2119.0,2119.0,-22600.0,-22600.0,-22600.0,39554.0,39554.0,39554.0,-10246.0,3141.0,-3228.0,10333.0,-24253.0,-24253.0,-24253.0,1411.0,1411.0,1411.0,-20008.0,-20008.0,-20008.0,42850.0,42850.0,42850.0,-715.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,-234710.0,-351800.0,55796.0,530714.0,-29390.0,2477.0,-1107.0,28020.0,-48463.0,-48463.0,-48463.0,4596.0,4596.0,4596.0,-23707.0,-23707.0,-23707.0,67574.0,67574.0,67574.0,-29390.0,2477.0,-1107.0,28020.0,-53643.0,-53643.0,-53643.0,3888.0,3888.0,3888.0,-21115.0,-21115.0,-21115.0,70870.0,70870.0,70870.0,-2210.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,-249795.0,-353536.0,54345.0,548986.0,-15085.0,-1736.0,-1451.0,18272.0,-63548.0,-63548.0,-63548.0,2860.0,2860.0,2860.0,-25158.0,-25158.0,-25158.0,85846.0,85846.0,85846.0,-15085.0,-1736.0,-1451.0,18272.0,-63548.0,-68728.0,-68728.0,2860.0,2152.0,2152.0,-25158.0,-22566.0,-22566.0,85846.0,89142.0,89142.0,-8808.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,-267557.0,-353109.0,58973.0,561693.0,-17762.0,427.0,4628.0,12707.0,-75327.0,-81310.0,-81310.0,4455.0,3287.0,3287.0,-6431.0,-20530.0,-20530.0,77303.0,98553.0,98553.0,-17762.0,427.0,4628.0,12707.0,-75327.0,-86490.0,-86490.0,4455.0,2579.0,2579.0,-6431.0,-17938.0,-17938.0,77303.0,101849.0,101849.0,-12123.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,-280889.0,-351905.0,57999.0,574795.0,-13332.0,1204.0,-974.0,13102.0,-85815.0,-94642.0,-94642.0,5513.0,4491.0,4491.0,-2132.0,-21504.0,-21504.0,82434.0,111655.0,111655.0,-13332.0,1204.0,-974.0,13102.0,-85815.0,-99822.0,-99822.0,5513.0,3783.0,3783.0,-2132.0,-18912.0,-18912.0,82434.0,114951.0,114951.0,-9124.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,-264036.0,-349014.0,48290.0,564760.0,16853.0,2891.0,-9709.0,-10035.0,-58716.0,-77789.0,-77789.0,5263.0,7382.0,7382.0,-8613.0,-31213.0,-31213.0,62066.0,101620.0,101620.0,16853.0,2891.0,-9709.0,-10035.0,-58716.0,-82969.0,-82969.0,5263.0,6674.0,6674.0,-8613.0,-28621.0,-28621.0,62066.0,104916.0,104916.0,10573.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,-258620.0,-347781.0,50803.0,555598.0,5416.0,1233.0,2513.0,-9162.0,-23910.0,-72373.0,-72373.0,4019.0,8615.0,8615.0,-4993.0,-28700.0,-28700.0,24884.0,92458.0,92458.0,5416.0,1233.0,2513.0,-9162.0,-23910.0,-77553.0,-77553.0,4019.0,7907.0,7907.0,-4993.0,-26108.0,-26108.0,24884.0,95754.0,95754.0,6896.0,,,,,,,,,,,,,,,,,,,,,,,,
