date,FII_flow_score,DII_flow_score,PRO_flow_score,CLIENT_flow_score,FPI_flow_score,MF_flow_score,INSURANCE_flow_score,RETAIL_flow_score,FII_conviction,DII_conviction,PRO_conviction,CLIENT_conviction,Smart_Money_Score,Retail_Score,FII_DII_Divergence,Smart_Retail_Divergence,Market_Opportunity,Cash_Institutional_Score,Ensemble_Score,Market_Regime
2016-01-01,,,,,,,,,,,,,,,,,,,,NEUTRAL
2016-01-04,,,,,,,,,,,,,,,,,,,,NEUTRAL
2016-01-05,,,,,,,,,,,,,,,,,,,,NEUTRAL
2016-01-06,,,,,,,,,,,,,,,,,,,,NEUTRAL
2016-01-07,,,,,,,,,0.0,60.0,0.0,80.0,,,,,,,,NEUTRAL
2016-01-08,,,,,,,,,0.0,50.0,0.0,83.3,,,,,,,,NEUTRAL
2016-01-11,,,,,,,,,0.0,57.1,14.3,85.7,,,,,,,,NEUTRAL
2016-01-12,,,,,,,,,0.0,62.5,12.5,87.5,,,,,,,,NEUTRAL
2016-01-13,,,,,,,,,11.1,66.7,11.1,77.8,,,,,,,,NEUTRAL
2016-01-14,,,,,,,,,20.0,70.0,20.0,70.0,,,,,,,,NEUTRAL
2016-01-15,,,,,,,,,27.3,72.7,18.2,63.6,,,,,,,,NEUTRAL
2016-01-18,,,,,,,,,33.3,66.7,25.0,58.3,,,,,,,,NEUTRAL
2016-01-19,,,,,,,,,38.5,69.2,23.1,53.8,,,,,,,,NEUTRAL
2016-01-20,,,,,,,,,42.9,64.3,21.4,50.0,,,,,,,,NEUTRAL
2016-01-21,,,,,,,,,46.7,60.0,20.0,46.7,,,,,,,,NEUTRAL
2016-01-22,,,,,,,,,50.0,56.2,18.8,43.8,,,,,,,,NEUTRAL
2016-01-25,,,,,,,,,47.1,52.9,23.5,41.2,,,,,,,,NEUTRAL
2016-01-27,,,,,,,,,50.0,50.0,27.8,38.9,,,,,,,,NEUTRAL
2016-01-28,,,,,,,,,52.6,47.4,31.6,36.8,,,,,,,,NEUTRAL
2016-01-29,,,,,,,,,55.0,50.0,30.0,35.0,,,,,,,,NEUTRAL
2016-02-01,,,,,,,,,60.0,55.0,30.0,40.0,,,,,,,,NEUTRAL
2016-02-02,,,,,,,,,60.0,60.0,30.0,40.0,,,,,,,,NEUTRAL
2016-02-03,,,,,,,,,60.0,60.0,35.0,40.0,,,,,,,,NEUTRAL
2016-02-04,,,,,,,,,65.0,60.0,35.0,35.0,,,,,,,,NEUTRAL
2016-02-05,,,,,,,,,65.0,55.0,40.0,30.0,,,,,,,,NEUTRAL
2016-02-08,,,,,,,,,70.0,55.0,40.0,25.0,,,,,,,,NEUTRAL
2016-02-09,,,,,,,,,70.0,50.0,35.0,25.0,,,,,,,,NEUTRAL
2016-02-11,,,,,,,,,70.0,50.0,35.0,25.0,,,,,,,,NEUTRAL
2016-02-12,,,,,,,,,70.0,50.0,35.0,25.0,,,,,,,,NEUTRAL
2016-02-15,,,,,,,,,70.0,50.0,30.0,25.0,,,,,,,,NEUTRAL
2016-02-16,,,,,,,,,70.0,50.0,30.0,25.0,,,,,,,,NEUTRAL
2016-02-17,,,,,,,,,65.0,50.0,30.0,25.0,,,,,,,,NEUTRAL
2016-02-18,,,,,,,,,65.0,50.0,30.0,25.0,,,,,,,,NEUTRAL
2016-02-19,,,,,,,,,60.0,50.0,35.0,30.0,,,,,,,,NEUTRAL
2016-02-22,,,,,,,,,55.0,50.0,40.0,35.0,,,,,,,,NEUTRAL
2016-02-23,,,,,,,,,55.0,50.0,40.0,35.0,,,,,,,,NEUTRAL
2016-02-24,,,,,,,,,55.0,50.0,40.0,35.0,,,,,,,,NEUTRAL
2016-02-25,,,,,,,,,50.0,50.0,40.0,40.0,,,,,,,,NEUTRAL
2016-02-26,,,,,,,,,50.0,50.0,35.0,40.0,,,,,,,,NEUTRAL
