symbol,close_now,ret_30d,ret_60d,ret_90d,ret_365d,vol_ratio,sector,sector_rel_30d,ret_30d_pct,ret_90d_pct,ret_365d_pct,vol_ratio_pct,sector_rel_pct,price_score,as_of_date
20MICRONS,184.98,2.78,13.92,11.03,-20.6,0.172,METAL,7.91,79.16137229987294,68.62222222222222,35.710470085470085,5.161818926669398,81.57560355781447,64.5,2026-06-10
21STCENMGM,32.37,-5.54,6.69,-4.63,-50.6,0.574,FINANCIAL_SERVICES,-0.09,38.88182973316391,21.6,5.3418803418803416,45.20688242523556,48.32698009318086,29.59,2026-06-10
360ONE,1052.0,-5.68,3.89,0.37,-5.96,1.149,FINANCIAL_SERVICES,-0.23,38.26768318509106,38.422222222222224,56.730769230769226,79.4141745186399,46.82337992376112,45.34,2026-06-10
3BBLACKBIO,1253.4,0.32,,,,3.575,HEALTHCARE,3.22,71.05040237187632,,,96.8455551003687,68.3396865734858,62.46,2026-06-10
3IINFOLTD,16.43,-6.7,4.72,24.09,-34.59,0.382,IT,-2.12,33.56628547225752,85.24444444444444,17.200854700854702,23.781237197869725,35.57814485387548,43.03,2026-06-10
3MINDIA,31580.0,-0.32,0.33,-6.35,8.24,0.224,DIVERSIFIED,4.61,68.69970351545956,17.68888888888889,77.19017094017094,8.19336337566571,73.82465057179162,55.39,2026-06-10
3PLAND,32.5,-0.91,-8.06,3.64,-39.68,0.255,FINANCIAL_SERVICES,4.54,66.13722998729352,50.22222222222222,11.858974358974358,10.692339205243753,73.6552308343922,49.66,2026-06-10
5PAISA,302.7,-7.13,-0.79,-0.43,-23.86,1.254,FINANCIAL_SERVICES,-1.68,32.21092757306226,35.55555555555556,31.196581196581196,81.72879967226547,37.35705209656925,36.09,2026-06-10
63MOONS,642.45,-8.02,16.87,7.84,-30.99,1.172,IT,-3.44,27.933079203727235,61.955555555555556,21.8482905982906,79.80335927898402,28.67429055484964,37.93,2026-06-10
A2ZINFRA,14.32,,,,,0.489,INFRASTRUCTURE,,,,,36.17369930356411,,49.31,2026-06-10
AAATECH,94.71,-3.37,-3.38,-0.05,12.31,0.538,IT,1.21,48.64464210080474,36.577777777777776,80.60897435897436,40.90536665301106,59.0851334180432,53.2,2026-06-10
AADHARHFC,469.85,-5.82,-1.83,-2.59,6.75,0.941,FINANCIAL_SERVICES,-0.37,37.695891571368065,28.48888888888889,76.01495726495726,71.01597705858255,44.70563320626853,45.78,2026-06-10
AARNAV,24.93,8.58,7.5,-5.17,,0.151,TEXTILES,11.7,88.60652265988988,20.466666666666665,,4.096681687832855,87.69589157136807,59.49,2026-06-10
AARON,114.64,-17.5,-20.18,-21.43,-71.59,0.486,CAPITAL_GOODS,-14.07,4.489623041084286,2.1333333333333333,2.2435897435897436,35.76403113478083,3.642524354087251,4.89,2026-06-10
AARTECH,40.71,-5.39,-1.02,0.92,-39.41,0.209,CAPITAL_GOODS,-1.96,39.6865734858111,40.666666666666664,12.072649572649572,7.414993854977468,36.213468869123254,32.27,2026-06-10
AARTIDRUGS,371.9,-3.13,4.73,5.43,-16.69,0.489,PHARMA,-2.75,49.74587039390089,56.222222222222214,41.34615384615385,36.17369930356411,32.4862346463363,46.42,2026-06-10
AARTIIND,433.65,-11.04,2.34,0.81,-3.67,0.504,CHEMICALS,-6.92,16.264294790343076,40.28888888888889,61.00427350427351,37.6689881196231,15.438373570520966,32.16,2026-06-10
AARTIPHARM,622.25,-16.23,-9.69,-8.63,-29.35,0.64,PHARMA,-15.85,5.65438373570521,12.822222222222221,23.557692307692307,51.31093814010651,2.41423125794155,12.82,2026-06-10
AARTISURF,362.15,-11.91,-10.38,-1.36,,0.279,CHEMICALS,-7.79,13.617111393477341,32.62222222222223,,13.49856616140926,13.024142312579414,25.55,2026-06-10
