symbol,theme,is_primary,base_purity,boost_applied,refined_purity,reasons,as_of_date
ABB,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
ABB,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
ABBOTINDIA,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
ABBOTINDIA,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
ABREL,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
ADANIPOWER,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
AEGISLOG,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
AEGISLOG,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
AEGISVOPAK,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
ALKEM,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
AMBER,POWER_TD,False,0.5,0.1,0.6,concall:BULLISH,2026-07-03
AMBUJACEM,INDIA_PLUS_ONE,False,0.63,0.18,0.81,index:NIFTY MNC,2026-07-03
ANANTRAJ,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
APLAPOLLO,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
APOLLOHOSP,HEALTHTECH,False,0.78,0.18,0.96,index:NIFTY HEALTHCARE INDEX,2026-07-03
ATGL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
ATGL,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
AUROPHARMA,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
BAJAJFINSV,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BAJAJFINSV,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BAJAJFINSV,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BAJFINANCE,BANKING_CREDIT,False,0.98,0.18,1.0,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BAJFINANCE,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BAJFINANCE,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BATAINDIA,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY CONSUMER DURABLES,2026-07-03
BATAINDIA,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
BIOCON,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
BLUESTARCO,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY CONSUMER DURABLES,2026-07-03
BLUESTARCO,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
BPCL,SPECIALTY_CHEM,False,0.78,0.18,0.96,index:NIFTY COMMODITIES,2026-07-03
BPCL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
BPCL,GREEN_HYDROGEN,False,0.53,0.18,0.71,index:NIFTY ENERGY,2026-07-03
BRITANNIA,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
BSE,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BSE,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
BSE,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
CASTROLIND,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
CASTROLIND,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
CESC,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
CHENNPETRO,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY OIL & GAS,2026-07-03
CHOLAFIN,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
CHOLAFIN,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
CHOLAFIN,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
CIPLA,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
COALINDIA,GREEN_ENERGY,False,0.73,0.18,0.91,index:NIFTY ENERGY,2026-07-03
COALINDIA,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY COMMODITIES,2026-07-03
