doc_id,domain,entity,text_len
market_regime,MARKET,MARKET_REGIME,412
sector_amc,SECTOR,AMC,342
sector_metal,SECTOR,METAL,375
sector_healthcare,SECTOR,HEALTHCARE,382
sector_financial_services,SECTOR,FINANCIAL_SERVICES,388
sector_pharma,SECTOR,PHARMA,381
sector_aviation,SECTOR,AVIATION,342
sector_other,SECTOR,OTHER,374
sector_banking,SECTOR,BANKING,381
sector_diversified,SECTOR,DIVERSIFIED,356
sector_logistics,SECTOR,LOGISTICS,372
sector_infrastructure,SECTOR,INFRASTRUCTURE,371
sector_textiles,SECTOR,TEXTILES,386
sector_retail,SECTOR,RETAIL,368
sector_agriculture,SECTOR,AGRICULTURE,349
sector_it,SECTOR,IT,371
sector_auto,SECTOR,AUTO,380
sector_hospitality,SECTOR,HOSPITALITY,381
sector_realty,SECTOR,REALTY,378
sector_telecom,SECTOR,TELECOM,353
sector_power,SECTOR,POWER,353
sector_defence,SECTOR,DEFENCE,367
sector_chemicals,SECTOR,CHEMICALS,375
sector_media,SECTOR,MEDIA,377
sector_capital_goods,SECTOR,CAPITAL_GOODS,393
sector_energy,SECTOR,ENERGY,383
sector_cement,SECTOR,CEMENT,343
sector_fmcg,SECTOR,FMCG,377
sector_exchange,SECTOR,EXCHANGE,341
sector_insurance,SECTOR,INSURANCE,342
stock_ETHOSLTD,STOCK,ETHOSLTD,423
stock_BAJAJ-AUTO,STOCK,BAJAJ-AUTO,480
stock_NURECA,STOCK,NURECA,480
stock_SPECTRUM,STOCK,SPECTRUM,441
stock_BIOCON,STOCK,BIOCON,473
stock_UNIVCABLES,STOCK,UNIVCABLES,498
stock_MPSLTD,STOCK,MPSLTD,429
stock_SPORTKING,STOCK,SPORTKING,434
stock_KAPSTON,STOCK,KAPSTON,473
stock_LALPATHLAB,STOCK,LALPATHLAB,492
stock_QUESS,STOCK,QUESS,467
stock_RPTECH,STOCK,RPTECH,413
stock_RSDFIN,STOCK,RSDFIN,445
stock_NYKAA,STOCK,NYKAA,418
stock_GABRIEL,STOCK,GABRIEL,471
stock_LANDMARK,STOCK,LANDMARK,474
stock_DEEPINDS,STOCK,DEEPINDS,427
stock_SONACOMS,STOCK,SONACOMS,474
stock_PAYTM,STOCK,PAYTM,418
stock_UYFINCORP,STOCK,UYFINCORP,454
stock_SKYGOLD,STOCK,SKYGOLD,420
stock_KABRAEXTRU,STOCK,KABRAEXTRU,447
stock_RATNAVEER,STOCK,RATNAVEER,428
stock_SUDEEPPHRM,STOCK,SUDEEPPHRM,484
stock_RAIN,STOCK,RAIN,421
stock_GANDHAR,STOCK,GANDHAR,475
stock_FEDERALBNK,STOCK,FEDERALBNK,435
stock_GAEL,STOCK,GAEL,425
stock_FILATEX,STOCK,FILATEX,479
stock_DIACABS,STOCK,DIACABS,448
stock_CUPID,STOCK,CUPID,465
stock_LAURUSLABS,STOCK,LAURUSLABS,484
stock_MAJESAUT,STOCK,MAJESAUT,423
stock_JINDWORLD,STOCK,JINDWORLD,434
stock_DIVISLAB,STOCK,DIVISLAB,478
stock_CHENNPETRO,STOCK,CHENNPETRO,482
stock_PRICOLLTD,STOCK,PRICOLLTD,477
stock_ESAFSFB,STOCK,ESAFSFB,426
stock_TVSMOTOR,STOCK,TVSMOTOR,474
stock_VINDHYATEL,STOCK,VINDHYATEL,486
stock_ABCAPITAL,STOCK,ABCAPITAL,454
stock_WELCORP,STOCK,WELCORP,473
stock_ATULAUTO,STOCK,ATULAUTO,423
stock_UNIPARTS,STOCK,UNIPARTS,474
stock_JSFB,STOCK,JSFB,417
stock_M&MFIN,STOCK,M&MFIN,496
stock_ARMANFIN,STOCK,ARMANFIN,451
stock_SJS,STOCK,SJS,459
stock_SCPL,STOCK,SCPL,413
stock_NGLFINE,STOCK,NGLFINE,424
stock_ASKAUTOLTD,STOCK,ASKAUTOLTD,480
