doc_id,source_type,domain,entity,text_len,tag_count,knowledge_class,saved_at,effective_date,freshness_class,approval_state
market_regime,platform_intelligence,MARKET,MARKET_REGIME,412,1,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_amc,platform_intelligence,SECTOR,AMC,342,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_metal,platform_intelligence,SECTOR,METAL,375,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_healthcare,platform_intelligence,SECTOR,HEALTHCARE,382,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_financial_services,platform_intelligence,SECTOR,FINANCIAL_SERVICES,388,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_pharma,platform_intelligence,SECTOR,PHARMA,381,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_aviation,platform_intelligence,SECTOR,AVIATION,342,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_other,platform_intelligence,SECTOR,OTHER,374,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_banking,platform_intelligence,SECTOR,BANKING,381,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_diversified,platform_intelligence,SECTOR,DIVERSIFIED,356,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_logistics,platform_intelligence,SECTOR,LOGISTICS,372,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_infrastructure,platform_intelligence,SECTOR,INFRASTRUCTURE,371,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
sector_textiles,platform_intelligence,SECTOR,TEXTILES,386,3,LOCAL_PLATFORM_EVIDENCE,,2026-07-31,dated_snapshot,system_generated
