run_id,stage_id,label,status,started_at,finished_at,duration_s,error
"","5B_participant_flow","Participant Flow Scores","DONE","2026-07-02 04:21:23 IST","2026-07-02 04:21:26 IST",2.9,""
"","8A_price_momentum","Price Momentum","DONE","2026-07-02 04:21:26 IST","2026-07-02 04:21:29 IST",3.0,""
"","8A_price_momentum","Price Momentum","STOPPED","2026-07-02 04:24:34 IST","2026-07-02 04:24:38 IST",4.1,""
"","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-02 04:43:30 IST","2026-07-02 04:43:46 IST",16.4,""
"","5B_participant_flow","Participant Flow Scores","DONE","2026-07-02 04:43:46 IST","2026-07-02 04:43:48 IST",2.1,""
"","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-02 04:43:48 IST","2026-07-02 04:43:51 IST",2.1,""
"","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-02 04:43:51 IST","2026-07-02 04:43:53 IST",2.4,""
"","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-02 04:43:53 IST","2026-07-02 04:44:01 IST",7.8,""
"","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-02 04:44:01 IST","2026-07-02 04:44:04 IST",3.6,""
"","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-02 04:44:04 IST","2026-07-02 04:44:17 IST",12.2,""
"","8A_price_momentum","Price Momentum","DONE","2026-07-02 04:44:17 IST","2026-07-02 04:44:19 IST",2.1,""
"","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-02 04:44:19 IST","2026-07-02 04:44:20 IST",1.5,""
"","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-02 04:44:20 IST","2026-07-02 04:44:28 IST",8.0,""
"","13A_document_builder","RAG Document Builder","DONE","2026-07-02 04:44:28 IST","2026-07-02 04:44:30 IST",1.6,""
"","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-02 04:44:30 IST","2026-07-02 04:45:37 IST",67.4,""
"","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-02 04:45:37 IST","2026-07-02 04:45:38 IST",0.8,""
"","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-02 04:45:38 IST","2026-07-02 04:45:40 IST",1.4,""
"","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-02 06:00:56 IST","2026-07-02 06:01:04 IST",7.9,""
"","5B_participant_flow","Participant Flow Scores","DONE","2026-07-02 06:01:04 IST","2026-07-02 06:01:05 IST",1.4,""
"","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-02 06:01:05 IST","2026-07-02 06:01:06 IST",1.3,""
"","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-02 06:01:06 IST","2026-07-02 06:01:08 IST",1.5,""
"","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-02 06:01:08 IST","2026-07-02 06:01:13 IST",5.2,""
"","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-02 06:01:13 IST","2026-07-02 06:01:16 IST",2.7,""
"","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-02 06:01:16 IST","2026-07-02 06:01:25 IST",9.0,""
"","8A_price_momentum","Price Momentum","DONE","2026-07-02 06:01:25 IST","2026-07-02 06:01:27 IST",2.0,""
"","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-02 06:01:27 IST","2026-07-02 06:01:28 IST",1.5,""
"","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-02 06:01:28 IST","2026-07-02 06:01:36 IST",7.5,""
"","13A_document_builder","RAG Document Builder","DONE","2026-07-02 06:01:36 IST","2026-07-02 06:01:37 IST",1.5,""
"","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-02 06:01:37 IST","2026-07-02 06:02:39 IST",61.9,""
"","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-02 06:02:39 IST","2026-07-02 06:02:40 IST",0.7,""
"","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-02 06:02:40 IST","2026-07-02 06:02:45 IST",4.7,""
"20260702_111826","17_symbol_change","Symbol Change History","DONE","2026-07-02 11:18:26 IST","2026-07-02 11:18:29 IST",2.5,""
"20260702_111826","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-02 11:18:29 IST","2026-07-02 11:18:39 IST",9.8,""
"20260702_111826","5B_participant_flow","Participant Flow Scores","DONE","2026-07-02 11:18:39 IST","2026-07-02 11:18:41 IST",2.3,""
"20260702_111826","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-02 11:18:41 IST","2026-07-02 11:18:43 IST",1.4,""
"20260702_111826","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-02 11:18:43 IST","2026-07-02 11:18:44 IST",1.8,""
"20260702_111826","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-02 11:18:44 IST","2026-07-02 11:18:51 IST",6.5,""
"20260702_111826","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-02 11:18:51 IST","2026-07-02 11:18:55 IST",3.8,""
"20260702_111826","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-02 11:18:55 IST","2026-07-02 11:19:07 IST",12.1,""
"20260702_111826","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-02 11:19:07 IST","2026-07-02 11:19:59 IST",52.6,""
"20260702_111826","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-02 11:19:59 IST","2026-07-02 11:20:49 IST",49.4,""
"20260702_111826","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-02 11:20:49 IST","2026-07-02 11:22:07 IST",78.3,""
"20260702_111826","8A_price_momentum","Price Momentum","DONE","2026-07-02 11:22:07 IST","2026-07-02 11:22:10 IST",2.4,""
"20260702_111826","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-02 11:22:10 IST","2026-07-02 11:22:11 IST",1.7,""
"20260702_111826","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-02 11:22:11 IST","2026-07-02 11:22:21 IST",9.7,""
"20260702_111826","13A_document_builder","RAG Document Builder","DONE","2026-07-02 11:22:21 IST","2026-07-02 11:22:22 IST",1.6,""
"20260702_111826","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-02 11:22:22 IST","2026-07-02 11:23:30 IST",67.1,""
"20260702_111826","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-02 11:23:30 IST","2026-07-02 11:23:30 IST",0.7,""
"20260702_111826","20_portfolio","Portfolio Intelligence Rebuild","DONE","2026-07-02 11:23:30 IST","2026-07-02 11:23:32 IST",1.3,""
"20260702_111826","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-02 11:23:32 IST","2026-07-02 11:23:36 IST",3.9,""
"20260702_180000","17_symbol_change","Symbol Change History","DONE","2026-07-02 18:00:00 IST","2026-07-02 18:00:02 IST",2.0,""
"20260702_180000","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-02 18:00:02 IST","2026-07-02 18:00:10 IST",7.9,""
"20260702_180000","5B_participant_flow","Participant Flow Scores","DONE","2026-07-02 18:00:10 IST","2026-07-02 18:00:11 IST",1.4,""
"20260702_180000","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-02 18:00:11 IST","2026-07-02 18:00:12 IST",1.5,""
"20260702_180000","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-02 18:00:12 IST","2026-07-02 18:00:14 IST",1.7,""
