date,sector,sector_turnover_cr,sector_weight,market_turnover_cr,symbol_count,FII_OI_Net_attr,DII_OI_Net_attr,PRO_OI_Net_attr,CLIENT_OI_Net_attr,FII_Volume_Net_attr,DII_Volume_Net_attr,PRO_Volume_Net_attr,CLIENT_Volume_Net_attr
2016-01-04,AGRICULTURE,118.8151,0.006967,17052.91,10,-1339.35,-2491.31,455.7,3374.96,-41.69,-8.14,-98.23,148.06
2016-01-04,AMC,0.0,0.0,17052.912362883002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,AUTO,995.3683,0.058369,17052.91,60,-11220.35,-20870.8,3817.59,28273.55,-349.22,-68.18,-822.95,1240.35
2016-01-04,AVIATION,329.4888,0.019322,17052.91,2,-3714.18,-6908.69,1263.71,9359.17,-115.6,-22.57,-272.41,410.58
2016-01-04,BANKING,1678.44,0.098425,17052.91,26,-18920.32,-35193.39,6437.42,47676.29,-588.88,-114.96,-1387.7,2091.54
2016-01-04,CAPITAL_GOODS,688.5033,0.040375,17052.91,84,-7761.2,-14436.48,2640.66,19557.02,-241.56,-47.16,-569.24,857.96
2016-01-04,CEMENT,241.9169,0.014186,17052.91,17,-2727.02,-5072.49,927.84,6871.68,-84.88,-16.57,-200.01,301.46
2016-01-04,CHEMICALS,584.5628,0.034279,17052.91,107,-6589.52,-12257.06,2242.01,16604.57,-205.09,-40.04,-483.3,728.44
2016-01-04,DEFENCE,71.9885,0.004221,17052.91,4,-811.49,-1509.45,276.1,2044.84,-25.26,-4.93,-59.52,89.71
2016-01-04,DIVERSIFIED,11.6547,0.000683,17052.91,6,-131.38,-244.37,44.7,331.05,-4.09,-0.8,-9.64,14.52
2016-01-04,ENERGY,945.4903,0.055445,17052.91,17,-10658.1,-19824.96,3626.29,26856.76,-331.72,-64.76,-781.71,1178.2
2016-01-04,EXCHANGE,0.0,0.0,17052.912362883002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,FINANCIAL_SERVICES,339.6074,0.019915,17052.91,76,-3828.24,-7120.86,1302.52,9646.59,-119.15,-23.26,-280.78,423.19
2016-01-04,FMCG,698.6653,0.04097,17052.91,81,-7875.75,-14649.55,2679.63,19845.67,-245.13,-47.85,-577.64,870.62
2016-01-04,HEALTHCARE,179.2989,0.010514,17052.91,16,-2021.16,-3759.52,687.68,5093.01,-62.91,-12.28,-148.24,223.43
