date,sector,nse_index,FII_flow_score,DII_flow_score,PRO_flow_score,CLIENT_flow_score,Smart_Money_Score,Retail_Score,fpi_score,price_momentum_score,combined_score,rotation_signal,capital_flow_alignment,flow_rank
2016-01-04,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-04,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-04,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-04,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-04,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-04,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-04,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-04,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-04,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-04,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-04,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-04,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-04,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-04,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-04,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-04,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-04,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-05,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-05,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-05,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-05,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-05,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-05,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-05,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-05,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-05,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-05,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-05,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-05,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-05,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-05,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-05,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-05,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
