run_date,n_fills,n_with_arrival,total_traded_value,mean_slip_arrival_bps,median_slip_arrival_bps,total_cost_arrival_inr,mean_slip_vwap_bps,median_slip_vwap_bps,total_cost_vwap_inr,buy_mean_vwap_bps,sell_mean_vwap_bps,worst_fill_order_id,worst_fill_bps
2026-07-09,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-07-10,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-07-12,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-07-13,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-07-15,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-07-24,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-07-31,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-08-03,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-08-17,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
2026-08-18,3,0,9573.8,,,,-92.5,-95.3,-89.87,-92.5,,3EF06CA1,-86.8
