symbol,close_now,high_52w,low_52w,prox_52w_high,prox_52w_low,dma_20,dma_50,dma_200,vs_dma_20,vs_dma_50,vs_dma_200,trend_signal,vol_20d_avg,rsi,rsi_signal,macd_line,macd_signal,macd_hist,macd_cross,atr_14,atr_pct,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,bb_signal,bb_squeeze,obv_signal,adx,adx_plus_di,adx_minus_di,adx_strength,adx_direction,as_of_date
20MICRONS,197.26,238.26,129.61,-17.21,52.2,196.69,195.84,183.77,0.29,0.73,7.34,STRONG_UPTREND,191743.0,53.31,NEUTRAL,-2.5729,-1.8995,-0.6734,BEARISH,7.4838,3.79,213.95,179.42,196.69,51.66,17.56,MID_BAND,False,DISTRIBUTING,25.31,25.23,14.82,MODERATE_TREND,BULLISH,2026-08-17
21STCENMGM,44.93,55.15,28.25,-18.53,59.04,40.56,35.67,37.38,10.77,25.96,20.2,STRONG_UPTREND,10928.0,83.17,OVERBOUGHT,2.5901,2.4202,0.1699,BULLISH,1.1548,2.57,46.61,34.52,40.56,86.13,29.79,MID_BAND,False,ACCUMULATING,52.73,40.73,10.41,STRONG_TREND,BULLISH,2026-08-17
360ONE,1173.0,1236.2,906.05,-5.11,29.46,1149.44,1122.23,1104.17,2.05,4.52,6.23,STRONG_UPTREND,964684.0,57.08,BULLISH,17.7181,16.6742,1.0439,BULLISH,31.6842,2.7,1212.74,1086.14,1149.44,68.61,11.01,MID_BAND,False,DISTRIBUTING,11.8,20.67,19.79,RANGING,BULLISH,2026-08-17
3BBLACKBIO,1148.4,1441.5,1085.0,-20.33,5.84,1241.55,1220.7,,-7.5,-5.92,,INSUFFICIENT_DATA,8169.0,37.66,BEARISH,-10.6865,-0.274,-10.4125,BEARISH,54.605,4.75,1322.44,1160.66,1241.55,-7.58,13.03,NEAR_LOWER,False,DISTRIBUTING,15.27,14.25,19.6,RANGING,BEARISH,2026-08-17
3MINDIA,34910.0,38030.0,28730.0,-8.2,21.51,35539.5,34464.0,34015.9,-1.77,1.29,2.63,UPTREND,4204.0,45.84,NEUTRAL,267.0507,391.8889,-124.8382,BEARISH,927.9219,2.66,36455.69,34623.31,35539.5,15.65,5.16,MID_BAND,False,ACCUMULATING,12.96,14.47,16.77,RANGING,BEARISH,2026-08-17
3PLAND,32.35,47.7,28.51,-32.18,13.47,31.98,32.14,34.29,1.16,0.65,-5.66,DOWNTREND,5864.0,53.55,NEUTRAL,0.0105,-0.0525,0.0631,BULLISH,1.2635,3.91,32.52,31.44,31.98,83.93,3.38,MID_BAND,False,ACCUMULATING,26.01,15.56,6.93,MODERATE_TREND,BULLISH,2026-08-17
5PAISA,380.8,408.35,245.5,-6.75,55.11,368.21,357.35,331.48,3.42,6.56,14.88,STRONG_UPTREND,48383.0,56.8,BULLISH,6.6023,4.7443,1.8579,BULLISH,14.3642,3.77,396.31,340.11,368.21,72.4,15.26,MID_BAND,False,ACCUMULATING,25.16,28.67,14.02,MODERATE_TREND,BULLISH,2026-08-17
63MOONS,780.25,1007.7,467.0,-22.57,67.08,809.42,730.21,679.57,-3.6,6.85,14.82,UPTREND,1640853.0,47.99,NEUTRAL,27.1693,38.645,-11.4757,BEARISH,42.6826,5.47,949.09,669.75,809.42,39.56,34.51,MID_BAND,False,ACCUMULATING,30.77,23.27,21.76,STRONG_TREND,BULLISH,2026-08-17
A2ZINFRA,14.49,19.39,12.0,-25.27,20.75,14.76,14.2,,-1.83,2.04,,INSUFFICIENT_DATA,561867.0,47.22,NEUTRAL,0.4243,0.549,-0.1247,BEARISH,0.9464,6.53,18.54,10.99,14.76,46.38,51.14,MID_BAND,False,ACCUMULATING,24.65,24.23,23.02,MODERATE_TREND,BULLISH,2026-08-17
AAATECH,91.98,136.0,76.11,-32.37,20.85,91.69,93.98,,0.32,-2.13,,INSUFFICIENT_DATA,26537.0,48.23,NEUTRAL,-0.065,-0.2798,0.2148,BULLISH,3.8507,4.19,97.29,86.09,91.69,52.56,12.21,MID_BAND,False,ACCUMULATING,22.9,20.07,18.89,MODERATE_TREND,BULLISH,2026-08-17
AADHARHFC,487.65,563.0,430.15,-13.38,13.37,500.96,505.43,484.54,-2.66,-3.52,0.64,CONSOLIDATING,310426.0,40.23,BEARISH,-3.0461,-2.0287,-1.0174,BEARISH,13.8391,2.84,515.2,486.71,500.96,3.3,5.69,NEAR_LOWER,False,ACCUMULATING,15.56,17.69,17.43,RANGING,BULLISH,2026-08-17
