symbol,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,as_of_date
20MICRONS,60.09,1,1.2556,1,0.8438,16.96,36.61,1,2026-06-30
21STCENMGM,45.53,1,0.0026,1,0.3439,7.9,13.93,0,2026-06-30
360ONE,42.84,1,-4.7406,0,0.3139,11.06,13.55,0,2026-06-30
3BBLACKBIO,43.66,1,-2.5418,0,0.3874,16.22,19.71,0,2026-06-30
3IINFOLTD,48.09,1,-0.016,0,0.4727,7.56,13.71,0,2026-06-30
3MINDIA,53.26,1,61.3751,1,0.6362,9.23,16.44,0,2026-06-30
3PLAND,45.17,1,0.0118,1,0.2182,6.04,18.18,0,2026-06-30
5PAISA,70.12,0,4.2096,2,0.958,20.17,29.19,1,2026-06-30
63MOONS,47.76,1,0.6464,1,0.5086,11.8,17.05,0,2026-06-30
A2ZINFRA,35.95,1,-0.0534,0,-0.0557,10.49,15.07,0,2026-06-30
AAATECH,56.75,1,0.0861,2,0.8041,9.19,31.57,1,2026-06-30
AADHARHFC,62.73,1,4.4153,1,0.8691,16.98,26.61,1,2026-06-30
AAKASH,45.2,1,-0.1758,0,0.2993,41.4,33.91,1,2026-06-30
AAREYDRUGS,67.91,1,1.9441,1,0.7786,71.12,41.03,1,2026-06-30
AARNAV,58.39,1,-0.0454,1,0.7785,4.99,25.11,1,2026-06-30
AARON,39.71,1,0.2469,1,0.378,11.14,25.07,1,2026-06-30
AARTECH,54.07,1,0.3838,1,0.6167,37.82,37.89,1,2026-06-30
AARTIDRUGS,53.29,1,0.4038,2,0.7986,4.06,16.07,0,2026-06-30
AARTIIND,45.5,1,-1.1583,0,0.431,17.74,17.25,0,2026-06-30
AARTIPHARM,52.36,1,6.6774,1,0.7172,18.71,22.85,0,2026-06-30
AARTISURF,49.37,1,0.6633,2,0.6129,10.03,11.79,0,2026-06-30
AARVI,57.76,1,0.0868,2,0.7319,19.3,18.82,0,2026-06-30
AAVAS,70.88,0,12.9103,2,0.8729,24.69,22.54,0,2026-06-30
ABAN,45.51,1,0.1482,1,0.4922,21.05,22.81,0,2026-06-30
ABB,50.91,1,-8.1327,0,0.4727,8.98,14.52,0,2026-06-30
ABBOTINDIA,37.55,1,-75.2234,1,0.0845,4.89,23.89,0,2026-06-30
ABCAPITAL,62.84,1,2.5272,1,0.8414,19.77,25.18,1,2026-06-30
ABCOTS,44.69,1,2.139,1,0.5039,28.65,31.16,1,2026-06-30
ABDL,71.68,0,2.6054,2,0.9266,21.63,39.7,1,2026-06-30
ABFRL,38.96,1,-0.1184,0,0.0147,7.48,9.49,0,2026-06-30
ABGSEC,56.5,1,0.0825,1,0.7728,2.59,9.24,0,2026-06-30
ABINFRA,52.57,1,0.3285,2,0.9033,23.66,32.27,1,2026-06-30
ABLBL,42.53,1,-0.0746,0,0.1519,6.65,10.94,0,2026-06-30
ABMINTLLTD,45.01,1,-0.1816,1,0.3031,19.73,19.03,0,2026-06-30
ABMKNO,42.21,1,-0.7341,1,0.2482,11.82,17.18,0,2026-06-30
ABREL,55.21,1,11.8635,1,0.7868,15.57,18.96,0,2026-06-30
ABSL10BANK,64.15,1,0.5741,1,0.7619,12.16,36.04,1,2026-06-30
ABSLAMC,57.15,1,2.3742,1,0.6751,20.76,39.83,1,2026-06-30
ABSLBANETF,62.55,1,0.1207,1,0.7147,11.44,30.82,1,2026-06-30
ABSLLIQUID,57.91,1,0.0004,2,1.1028,0.0,72.86,1,2026-06-30
ABSLMSCIN,48.73,1,-0.0684,0,0.4811,22.54,43.33,1,2026-06-30
ABSLNN50ET,55.46,1,0.036,1,0.6667,7.24,13.97,0,2026-06-30
ABSLPSE,41.2,1,0.0037,1,0.3167,4.08,11.86,0,2026-06-30
ACC,42.73,1,0.7176,1,0.3107,4.75,9.67,0,2026-06-30
ACCELYA,39.21,1,-1.7664,0,0.1498,5.59,15.79,0,2026-06-30
ACCURACY,45.94,1,-0.0505,0,0.1257,10.33,32.84,1,2026-06-30
ACE,71.02,0,7.3378,2,0.9006,22.51,38.06,1,2026-06-30
ACEINTEG,62.98,1,0.1201,2,1.1104,16.48,18.59,0,2026-06-30
ACI,41.33,1,0.8992,1,0.2525,5.85,16.23,0,2026-06-30
ACL,40.31,1,-0.0777,1,0.1644,5.02,19.87,0,2026-06-30
ACLGATI,61.88,1,0.3981,2,0.849,16.16,17.26,0,2026-06-30
ACMESOLAR,74.21,0,2.536,2,1.0907,16.37,43.18,1,2026-06-30
ACSTECH,70.86,0,0.8555,1,0.8628,37.98,34.5,1,2026-06-30
ACUTAAS,71.22,0,22.6564,2,1.0295,18.19,43.84,1,2026-06-30
ADANIENSOL,52.34,1,-10.8251,1,0.3203,8.37,19.55,0,2026-06-30
ADANIENT,59.83,1,-15.3268,1,0.7738,6.58,44.3,1,2026-06-30
ADANIGREEN,54.71,1,-7.8479,0,0.5084,8.99,35.71,1,2026-06-30
ADANIPORTS,53.38,1,-8.4924,1,0.4845,3.84,16.09,0,2026-06-30
ADANIPOWER,47.44,1,-0.7102,0,0.3415,9.4,15.64,0,2026-06-30
ADFFOODS,62.66,1,0.1805,2,0.8294,17.47,44.16,1,2026-06-30
ADL,48.05,1,-0.0945,1,0.4612,9.14,17.27,0,2026-06-30
ADOR,71.75,0,6.1192,2,0.9493,17.5,34.1,1,2026-06-30
ADROITINFO,50.02,1,-0.0101,1,0.5224,6.56,14.69,0,2026-06-30
ADSL,57.13,1,0.794,2,0.9056,11.99,23.55,0,2026-06-30
ADVAIT,54.14,1,-17.8724,0,0.5249,21.79,31.79,1,2026-06-30
ADVANCE,56.86,1,1.3134,1,0.7705,18.91,22.53,0,2026-06-30
ADVANIHOTR,51.45,1,0.081,1,0.6451,5.42,38.18,1,2026-06-30
ADVENTHTL,51.43,1,1.6989,1,0.7131,19.23,16.68,0,2026-06-30
ADVENZYMES,23.78,2,-7.5131,0,-0.2659,20.76,30.38,1,2026-06-30
AEGISLOG,89.45,0,19.9564,1,0.8946,60.87,63.76,1,2026-06-30
AEGISVOPAK,62.74,1,0.765,1,0.6952,39.18,26.71,1,2026-06-30
AEPL,55.85,1,0.0526,2,1.2929,5.13,16.24,0,2026-06-30
AEQUS,66.26,1,3.9973,1,0.8471,44.44,33.39,1,2026-06-30
AEROENTER,72.77,0,2.4744,1,0.8369,58.87,46.07,1,2026-06-30
AEROFLEX,57.12,1,-3.7851,0,0.5943,30.95,35.47,1,2026-06-30
AERONEU,73.48,0,1.2235,2,1.2214,21.44,13.84,0,2026-06-30
AETHER,75.78,0,23.1143,2,0.9993,27.83,32.83,1,2026-06-30
AFCONS,44.91,1,-0.7408,0,0.1713,7.0,11.63,0,2026-06-30
AFFLE,42.26,1,-7.2588,0,0.0431,7.06,14.25,0,2026-06-30
AFFORDABLE,66.46,1,5.9697,1,0.9077,50.75,28.53,1,2026-06-30
AFIL,77.21,0,0.1548,1,0.7919,65.54,43.29,1,2026-06-30
AFSL,46.39,1,0.0476,1,0.3641,0.15,72.2,1,2026-06-30
AGARIND,58.98,1,-1.0005,0,0.616,37.01,33.75,1,2026-06-30
AGARWALEYE,61.2,1,3.192,1,0.7993,13.88,26.59,1,2026-06-30
AGI,60.87,1,-0.7292,0,0.6298,29.73,37.11,1,2026-06-30
AGIIL,48.35,1,-0.7205,1,0.3373,9.48,12.38,0,2026-06-30
AGRITECH,54.62,1,3.1424,1,0.702,42.23,22.06,0,2026-06-30
AGROPHOS,46.74,1,-0.0278,0,0.4293,5.83,13.86,0,2026-06-30
AHCL,61.96,1,0.028,1,0.7001,24.15,51.19,1,2026-06-30
AHLADA,39.15,1,-0.0141,0,-0.0008,5.75,13.29,0,2026-06-30
AHLEAST,30.01,1,-0.687,0,-0.1021,9.29,13.68,0,2026-06-30
AHLUCONT,57.98,1,5.897,1,0.7979,14.98,18.76,0,2026-06-30
AIAENG,78.42,0,33.7696,2,1.0486,17.85,40.01,1,2026-06-30
AIIL,54.9,1,-0.6491,0,0.606,32.01,26.35,1,2026-06-30
AIRAN,48.18,1,-0.0068,1,0.4146,7.05,8.86,0,2026-06-30
AIROLAM,60.12,1,1.2189,1,0.8137,28.12,31.7,1,2026-06-30
AJANTPHARM,72.05,0,33.2059,2,1.0894,17.44,24.25,0,2026-06-30
AJAXENGG,44.39,1,-4.2226,1,0.2375,14.31,19.72,0,2026-06-30
AJMERA,52.37,1,0.0541,1,0.5871,30.72,22.34,0,2026-06-30
AJOONI,37.97,1,-0.0056,1,0.2311,12.67,47.1,1,2026-06-30
AKASH,45.39,1,-0.0208,0,0.2947,9.24,22.27,0,2026-06-30
AKCAPIT,59.95,1,0.4558,1,0.7689,7.32,32.07,1,2026-06-30
AKG,48.25,1,0.006,2,0.4938,7.44,12.1,0,2026-06-30
AKI,40.9,1,-0.0144,0,0.0747,6.35,11.75,0,2026-06-30
AKSHAR,31.56,1,-0.0009,0,-0.0951,6.39,43.46,1,2026-06-30
AKSHARCHEM,62.1,1,1.8586,1,0.7824,29.61,28.61,1,2026-06-30
AKSHOPTFBR,61.9,1,0.1186,1,0.7888,43.94,30.34,1,2026-06-30
AKUMS,67.2,1,1.2019,1,0.7559,21.24,34.8,1,2026-06-30
AKZOINDIA,56.11,1,10.1642,1,0.7464,8.47,21.18,0,2026-06-30
ALANKIT,39.36,1,-0.0086,0,0.2116,8.34,14.76,0,2026-06-30
ALBERTDAVD,44.01,1,-0.6762,0,0.2433,5.16,10.28,0,2026-06-30
ALEMBICLTD,56.29,1,0.3128,1,0.752,11.56,21.74,0,2026-06-30
ALGOQUANT,46.88,1,-0.0363,0,0.4912,15.11,15.3,0,2026-06-30
ALICON,52.01,1,1.0041,2,0.7843,5.91,10.65,0,2026-06-30
ALIVUS,72.06,0,10.9584,2,1.0894,14.9,18.54,0,2026-06-30
ALKALI,82.92,0,2.9022,2,1.135,55.1,42.3,1,2026-06-30
ALKEM,67.16,1,24.1052,2,1.2291,5.57,25.89,1,2026-06-30
ALKYLAMINE,45.91,1,-19.8217,0,-0.0099,9.03,22.73,0,2026-06-30
ALLCARGO,33.45,1,-0.0881,1,0.0561,15.71,17.89,0,2026-06-30
ALLDIGI,39.44,1,-1.7617,0,0.0908,4.91,23.18,0,2026-06-30
ALLTIME,50.02,1,-0.2047,0,0.5472,18.49,19.35,0,2026-06-30
ALMONDZ,40.69,1,0.0192,2,0.2055,10.03,14.06,0,2026-06-30
ALOKINDS,47.94,1,0.0443,1,0.5653,14.18,15.34,0,2026-06-30
ALPA,45.03,1,-0.1806,0,0.204,5.51,15.62,0,2026-06-30
ALPHA,56.14,1,0.0313,1,0.6748,8.73,23.02,0,2026-06-30
ALPHAETF,56.02,1,0.0119,1,0.6726,7.46,19.51,0,2026-06-30
ALPHAGEO,40.72,1,-0.4843,0,0.1751,9.54,19.28,0,2026-06-30
ALPL30IETF,58.24,1,0.0496,1,0.7055,7.11,13.93,0,2026-06-30
AMAGI,74.65,0,9.8261,2,0.9445,45.06,52.0,1,2026-06-30
AMANTA,63.45,1,2.7086,1,0.886,31.78,31.16,1,2026-06-30
AMBALALSA,50.64,1,-0.0961,1,0.4581,19.15,16.63,0,2026-06-30
AMBER,45.65,1,-20.7421,0,0.2901,9.42,11.95,0,2026-06-30
AMBICAAGAR,57.8,1,0.0223,2,0.8984,7.62,17.08,0,2026-06-30
AMBIKCO,64.02,1,7.0943,2,0.963,12.73,34.5,1,2026-06-30
AMBUJACEM,46.1,1,0.6966,1,0.4693,7.04,9.29,0,2026-06-30
AMDIND,36.71,1,-0.3306,0,0.0229,11.02,13.54,0,2026-06-30
AMIRCHAND,64.08,1,1.1989,2,1.0834,17.3,27.6,1,2026-06-30
AMJLAND,46.21,1,0.0961,1,0.4958,13.37,21.24,0,2026-06-30
AMNPLST,47.09,1,-1.62,0,0.198,10.58,23.93,0,2026-06-30
AMRUTANJAN,48.95,1,-0.7439,1,0.46,6.77,13.59,0,2026-06-30
ANANDRATHI,75.5,0,21.0155,1,0.9631,18.34,28.79,1,2026-06-30
ANANTRAJ,48.68,1,-2.9953,1,0.3095,13.69,9.04,0,2026-06-30
ANDHRAPAP,49.3,1,0.1803,1,0.6276,7.27,12.65,0,2026-06-30
ANDHRSUGAR,37.65,1,-0.2556,0,0.1737,12.67,18.67,0,2026-06-30
ANGELONE,46.68,1,-2.9134,0,0.2626,11.1,16.25,0,2026-06-30
ANIKINDS,57.86,1,1.142,1,0.7882,40.88,35.09,1,2026-06-30
ANMOL,45.04,1,-0.0423,0,0.3837,14.3,15.88,0,2026-06-30
ANTELOPUS,50.27,1,-6.838,0,0.3187,21.48,22.65,0,2026-06-30
ANTGRAPHIC,50.33,1,0.0028,2,0.6652,5.66,34.62,1,2026-06-30
ANTHEM,50.1,1,-1.2689,0,0.4938,6.56,11.93,0,2026-06-30
ANUHPHR,59.33,1,0.3396,2,0.9587,9.19,24.78,0,2026-06-30
ANUP,71.09,0,35.5743,1,0.8285,38.68,31.07,1,2026-06-30
ANURAS,40.18,1,0.3322,1,0.2957,8.15,35.49,1,2026-06-30
AONEGOLD,32.87,1,-0.0864,1,0.1207,13.41,18.96,0,2026-06-30
AONELIQUID,100.0,0,0.0341,2,0.9264,0.46,21.65,0,2026-06-30
AONENIFTY,54.08,1,0.0143,1,0.6623,6.07,13.92,0,2026-06-30
AONESILVER,35.47,1,-0.0883,1,0.1901,22.11,15.41,0,2026-06-30
AONETMMQ50,46.45,1,-0.017,0,0.3986,5.9,28.93,1,2026-06-30
AONETOTAL,55.84,1,0.0114,1,0.6632,6.51,17.5,0,2026-06-30
APARINDS,60.53,1,-37.5945,0,0.6166,31.78,48.13,1,2026-06-30
APCL,40.81,1,-0.704,1,0.2301,17.71,18.72,0,2026-06-30
APCOTEXIND,49.31,1,-6.0238,0,0.2427,11.71,46.33,1,2026-06-30
APEX,42.72,1,-0.5446,1,0.2891,11.83,11.29,0,2026-06-30
APLAPOLLO,39.01,1,-0.1014,0,0.2845,7.0,14.51,0,2026-06-30
APLLTD,72.36,0,7.1573,2,1.198,13.08,24.47,0,2026-06-30
APOLLO,57.91,1,-5.4323,1,0.6562,15.6,34.59,1,2026-06-30
APOLLOHOSP,71.56,0,6.1116,2,0.9279,6.5,21.99,0,2026-06-30
APOLLOPIPE,50.51,1,-2.2026,1,0.5277,7.47,23.77,0,2026-06-30
APOLLOTYRE,60.92,1,2.3487,1,0.7967,17.34,25.83,1,2026-06-30
APOLSINHOT,49.73,1,-11.9095,0,0.253,10.65,41.02,1,2026-06-30
APTECHT,67.27,1,1.4131,2,0.9415,25.28,29.17,1,2026-06-30
APTUS,63.13,1,0.443,2,0.9948,10.48,18.86,0,2026-06-30
AQYLON,27.91,2,-1.5309,1,0.1384,55.32,35.9,1,2026-06-30
ARCHIDPLY,54.26,1,0.0686,2,0.7185,10.54,23.73,0,2026-06-30
ARCHIES,47.04,1,0.0054,1,0.4755,7.71,21.54,0,2026-06-30
ARE&M,49.83,1,-0.807,1,0.5288,8.25,14.26,0,2026-06-30
ARENTERP,40.64,1,-0.15,0,0.0192,11.27,21.31,0,2026-06-30
ARFIN,41.46,1,-0.755,0,0.2835,23.65,20.13,0,2026-06-30
ARIES,46.94,1,1.6557,1,0.6407,6.66,24.41,0,2026-06-30
ARIHANT,46.27,1,0.7136,1,0.408,10.2,25.12,1,2026-06-30
ARIHANTCAP,47.96,1,0.0951,1,0.5101,16.89,17.08,0,2026-06-30
ARIHANTSUP,46.33,1,-1.0537,0,0.3249,10.49,27.09,1,2026-06-30
ARIS,32.59,1,-0.6527,0,-0.1336,14.1,17.69,0,2026-06-30
ARISINFRA,24.7,2,-1.644,0,0.0073,44.49,28.84,1,2026-06-30
ARKADE,65.62,1,1.1775,2,0.9771,14.41,18.36,0,2026-06-30
ARMANFIN,55.04,1,4.9646,2,0.8392,10.78,13.21,0,2026-06-30
AROGRANITE,51.63,1,0.0775,1,0.679,9.1,35.47,1,2026-06-30
ARROWGREEN,59.19,1,8.3697,1,0.8182,33.71,27.12,1,2026-06-30
ARSSBL,54.28,1,1.4202,2,0.7479,11.72,15.62,0,2026-06-30
ARTEMISMED,51.29,1,-0.1808,1,0.5908,7.0,14.39,0,2026-06-30
ARTNIRMAN,53.38,1,0.0413,2,0.6987,12.6,16.61,0,2026-06-30
ARVEE,49.69,1,-0.1828,0,0.5007,10.21,39.32,1,2026-06-30
ARVIND,79.11,0,5.2588,2,1.2125,20.51,45.49,1,2026-06-30
ARVINDFASN,53.68,1,-0.6612,0,0.5703,9.48,18.97,0,2026-06-30
ARVSMART,51.2,1,0.8213,1,0.6127,10.02,21.51,0,2026-06-30
ASAHIINDIA,45.85,1,-4.206,0,0.1644,8.73,18.82,0,2026-06-30
ASAHISONG,49.11,1,-1.2516,0,0.2371,6.52,23.14,0,2026-06-30
ASAL,54.93,1,0.5815,2,0.6829,10.29,21.47,0,2026-06-30
ASALCBR,61.74,1,5.612,2,1.1578,7.65,15.14,0,2026-06-30
ASHAPURMIN,43.38,1,-7.131,0,0.0906,12.43,21.17,0,2026-06-30
ASHIANA,65.05,1,1.4675,2,0.9277,15.12,22.83,0,2026-06-30
ASHIKA,49.83,1,-0.2571,0,0.5012,14.37,32.87,1,2026-06-30
ASHIMASYN,33.73,1,-0.1589,0,-0.0285,13.62,15.2,0,2026-06-30
ASHOKA,53.05,1,0.5638,1,0.6211,19.9,29.47,1,2026-06-30
ASHOKAMET,37.57,1,-0.0144,0,-0.0447,4.78,15.97,0,2026-06-30
ASHOKLEY,53.0,1,1.1479,1,0.7163,18.57,16.12,0,2026-06-30
ASIANENE,50.83,1,-2.2431,0,0.3303,11.0,28.63,1,2026-06-30
ASIANHOTNR,39.71,1,-1.3417,0,-0.0153,5.86,12.43,0,2026-06-30
ASIANPAINT,45.39,1,-16.9671,0,0.1307,5.69,29.04,1,2026-06-30
ASIANTILES,33.07,1,-0.3397,0,0.0651,16.15,25.4,1,2026-06-30
ASKAUTOLTD,48.72,1,0.7859,1,0.5268,13.84,16.25,0,2026-06-30
ASMS,58.86,1,0.1063,2,0.9322,14.68,22.97,0,2026-06-30
ASPINWALL,52.94,1,-0.4974,0,0.5465,10.78,29.49,1,2026-06-30
ASTEC,38.88,1,-11.2841,0,-0.0713,13.04,36.11,1,2026-06-30
ASTERDM,55.41,1,-3.5339,1,0.5813,13.18,22.27,0,2026-06-30
ASTRAL,26.32,2,-19.2671,0,-0.2562,15.5,17.03,0,2026-06-30
ASTRAMICRO,80.78,0,12.9663,1,0.8915,37.87,45.51,1,2026-06-30
ASTRAZEN,42.81,1,-30.8595,0,0.1695,7.21,13.16,0,2026-06-30
ASTRON,66.72,1,0.1226,1,0.8551,46.07,36.75,1,2026-06-30
ATALREAL,44.66,1,-0.2498,0,0.2556,19.8,18.54,0,2026-06-30
ATAM,37.7,1,-0.3436,0,-0.1942,5.74,25.56,1,2026-06-30
ATGL,55.67,1,-3.8525,1,0.5643,7.44,26.88,1,2026-06-30
ATHERENERG,71.47,0,7.7856,2,1.2575,16.52,39.56,1,2026-06-30
ATL,42.55,1,-0.0216,0,0.1324,4.87,7.33,0,2026-06-30
ATLANTAA,38.48,1,-0.1994,0,-0.0988,7.86,16.13,0,2026-06-30
ATLANTAELE,54.14,1,-28.0527,0,0.5091,28.67,47.78,1,2026-06-30
ATLASCYCLE,49.79,1,-0.0712,1,0.4644,7.58,16.93,0,2026-06-30
ATUL,40.58,1,5.4571,1,0.1343,4.83,27.96,1,2026-06-30
ATULAUTO,57.01,1,2.1809,2,0.9034,8.44,18.29,0,2026-06-30
AUBANK,56.45,1,3.2216,1,0.7259,13.44,23.99,0,2026-06-30
AURIGROW,33.47,1,-0.0052,0,0.0777,29.02,16.26,0,2026-06-30
AURIONPRO,53.74,1,5.124,1,0.6148,26.13,20.67,0,2026-06-30
AUROPHARMA,69.39,1,12.9842,2,1.0224,13.5,22.56,0,2026-06-30
AURUM,83.33,0,3.0628,2,1.0031,28.62,38.32,1,2026-06-30
AUSOMENT,38.08,1,-3.5746,0,-0.236,22.61,40.21,1,2026-06-30
AUTOAXLES,52.15,1,4.3365,1,0.6318,11.02,17.83,0,2026-06-30
AUTOBEES,51.84,1,-0.0078,0,0.585,5.87,10.66,0,2026-06-30
AUTOIETF,52.12,1,0.0048,1,0.6076,5.69,18.97,0,2026-06-30
AUTOIND,67.87,1,1.2144,2,0.911,43.23,26.08,1,2026-06-30
AVADHSUGAR,58.58,1,-3.272,0,0.5976,9.29,44.63,1,2026-06-30
AVALON,71.1,0,-4.8461,1,0.8297,21.94,31.77,1,2026-06-30
AVANTEL,59.82,1,-0.0836,1,0.8192,14.44,19.47,0,2026-06-30
AVANTIFEED,25.93,2,1.0226,2,0.1706,27.24,35.81,1,2026-06-30
AVG,69.23,1,2.4896,2,1.0349,35.6,36.59,1,2026-06-30
AVL,73.02,0,8.7295,1,0.847,36.14,30.85,1,2026-06-30
AVONMORE,40.54,1,0.002,1,0.3614,17.31,21.63,0,2026-06-30
