INDEX_NAME,RETURN_30D,RETURN_365D,MOMENTUM_SCORE,CATEGORY,RANK,SIGNAL
NIFTY INDIA MANUFACTURING,0.13,10.76,3.32,THEME,1,LEADER
NIFTY EV & NEW AGE AUTOMOTIVE,1.4,4.69,2.39,THEME,2,LEADER
NIFTY TRANSPORTATION & LOGISTICS,0.09,4.87,1.52,THEME,3,GAINING
NIFTY MOBILITY,0.06,4.76,1.47,THEME,4,GAINING
NIFTY HOUSING,-1.5,5.11,0.48,THEME,5,GAINING
NIFTY INDIA DEFENCE,-0.22,-0.01,-0.16,THEME,6,WEAK
NIFTY INDIA INFRASTRUCTURE & LOGISTICS,-0.7,0.0,-0.49,THEME,7,WEAK
NIFTY INDIA INTERNET,-2.34,0.0,-1.64,THEME,8,WEAK
NIFTY CORE HOUSING,-0.61,-4.73,-1.85,THEME,9,WEAK
NIFTY RURAL,-3.44,1.84,-1.86,THEME,10,WEAK
NIFTY INDIA NEW AGE CONSUMPTION,-0.68,-5.06,-1.99,THEME,11,WEAK
NIFTY INDIA CONSUMPTION,-2.31,-2.55,-2.38,THEME,12,WEAK
NIFTY INDIA DIGITAL,0.85,-12.45,-3.14,THEME,13,WEAK
NIFTY GROWTH SECTORS 15,-2.9,-4.35,-3.34,THEME,14,LAGGARD
NIFTY WAVES,-0.22,-10.61,-3.34,THEME,15,LAGGARD
NIFTY MIDSMALL INDIA CONSUMPTION,-2.33,-8.79,-4.27,THEME,16,LAGGARD
NIFTY INDIA TOURISM,-0.42,-19.47,-6.13,THEME,17,LAGGARD
NIFTY INDIA RAILWAYS PSU,-10.87,-26.65,-15.6,THEME,18,LAGGARD
