symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
20MICRONS,1.28,-1.01,48.5,0.73,20260817
21STCENMGM,0.83,38.67,82.3,25.96,20260817
360ONE,1.32,11.25,49.1,4.52,20260817
3BBLACKBIO,2.23,-6.7,61.5,-5.92,20260817
3MINDIA,0.76,1.26,36.4,1.29,20260817
3PLAND,0.7,3.86,87.2,0.65,20260817
5PAISA,0.85,1.67,50.3,6.56,20260817
63MOONS,0.16,15.26,36.8,6.85,20260817
A2ZINFRA,0.34,11.23,67.3,2.04,20260817
AAATECH,2.16,0.51,71.8,-2.13,20260817
AADHARHFC,0.67,-2.53,57.3,-3.52,20260817
AAKASH,0.57,-0.54,80.2,-4.57,20260817
AAREYDRUGS,0.54,,,20.59,20260817
AARNAV,0.86,2.39,61.5,13.19,20260817
AARON,0.69,21.17,56.7,11.54,20260817
AARTIDRUGS,0.65,0.59,46.3,3.4,20260817
AARTIIND,0.44,7.12,37.9,8.94,20260817
AARTIPHARM,0.42,22.92,24.5,22.71,20260817
AARVI,0.56,2.17,71.1,2.65,20260817
AASTHA,0.1,,44.3,,20260817
AAVAS,1.25,-4.63,56.2,-3.0,20260817
ABANSENT,0.07,,92.2,,20260817
ABB,0.29,2.67,37.3,5.85,20260817
ABBOTINDIA,1.02,-0.69,59.0,-0.37,20260817
ABCAPITAL,0.51,2.52,53.5,1.42,20260817
ABCOTS,1.19,-1.5,78.3,-5.33,20260817
ABDL,0.93,-0.12,47.5,-2.91,20260817
ABFRL,0.77,-3.01,52.1,-6.93,20260817
ABINFRA,5.56,15.69,29.9,8.81,20260817
ABLBL,3.29,-3.0,69.9,-6.0,20260817
ABMINTLLTD,1.12,41.09,77.0,27.35,20260817
ABMKNO,2.03,1.05,89.0,-3.3,20260817
ABREL,1.24,-0.97,46.8,2.65,20260817
ABSLAMC,0.39,-7.22,57.3,-6.57,20260817
ACC,0.63,-1.36,55.8,-2.76,20260817
ACCELYA,0.54,3.47,67.5,0.63,20260817
ACE,0.36,13.73,47.9,9.95,20260817
ACEINTEG,0.6,-10.33,86.3,-11.54,20260817
ACI,0.51,-3.38,56.5,-3.49,20260817
ACL,0.69,-3.7,75.3,-8.18,20260817
ACMESOLAR,0.58,-4.62,57.5,-0.26,20260817
ACSTECH,0.81,19.56,55.2,19.95,20260817
ACUTAAS,0.45,-7.99,55.1,-4.23,20260817
ADANIENSOL,0.89,-3.17,45.0,-0.89,20260817
ADANIENT,0.86,-1.8,37.7,-1.45,20260817
ADANIGREEN,0.33,-11.23,31.9,-9.29,20260817
ADANIPORTS,0.68,-4.64,51.8,-5.09,20260817
ADANIPOWER,0.94,-3.24,37.8,-6.56,20260817
ADFFOODS,0.47,-10.31,45.5,-10.35,20260817
ADL,1.55,-3.69,85.4,-3.02,20260817
