SYMBOL,COMPANY_NAME,STATUS
20MICRONS,20 Microns Limited,PENDING
21STCENMGM,21st Century Management Services Limited,PENDING
360ONE,360 ONE WAM LIMITED,PENDING
3BBLACKBIO,3B Blackbio Dx Limited,PENDING
3MINDIA,3M India Limited,PENDING
3PLAND,3P Land Holdings Limited,PENDING
5PAISA,5Paisa Capital Limited,PENDING
AARNAV,Aarnav Fashions Limited,PENDING
AARTECH,Aartech Solonics Limited,PENDING
AARTIDRUGS,Aarti Drugs Limited,PENDING
AARTIPHARM,Aarti Pharmalabs Limited,PENDING
AARTISURF,Aarti Surfactants Limited,PENDING
AARVI,Aarvi Encon Limited,PENDING
ABBOTINDIA,Abbott India Limited,PENDING
ABCAPITAL,Aditya Birla Capital Limited,PENDING
ABCOTS,A B Cotspin India Limited,PENDING
ABDL,Allied Blenders and Distillers Limited,PENDING
ABINFRA,A B Infrabuild Limited,PENDING
ABLBL,Aditya Birla Lifestyle Brands Limited,PENDING
ABMINTLLTD,ABM International Limited,PENDING
ABMKNO,ABM Knowledgeware Limited,PENDING
ACC,ACC Limited,PENDING
ACCELYA,Accelya Solutions India Limited,PENDING
ACCURACY,Accuracy Shipping Limited,PENDING
ACE,Action Construction Equipment Limited,PENDING
ACEINTEG,Ace Integrated Solutions Limited,PENDING
ACL,Andhra Cements Limited,PENDING
ACMESOLAR,Acme Solar Holdings Limited,PENDING
ADANIENSOL,Adani Energy Solutions Limited,PENDING
ADL,Archidply Decor Limited,PENDING
ADOR,Ador Welding Limited,PENDING
ADVAIT,Advait Energy Transitions Limited,PENDING
ADVANCE,Advance Agrolife Limited,PENDING
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,PENDING
ADVENTHTL,Advent Hotels International Limited,PENDING
AEGISVOPAK,Aegis Vopak Terminals Limited,PENDING
AEPL,Artemis Electricals and Projects Limited,PENDING
AEQUS,Aequs Limited,PENDING
AEROENTER,Aeroflex Enterprises Limited,PENDING
AERONEU,Aeroflex Neu Limited,PENDING
AFFLE,Affle 3i Limited,PENDING
AGARIND,Agarwal Industrial Corporation Limited,PENDING
AGI,AGI Greenpac Limited,PENDING
AGRITECH,Agri-Tech (India) Limited,PENDING
AGROPHOS,Agro Phos India Limited,PENDING
AHLEAST,Asian Hotels (East) Limited,PENDING
AHLUCONT,Ahluwalia Contracts (India) Limited,PENDING
AIRAN,Airan Limited,PENDING
AIROLAM,Airo Lam limited,PENDING
AJMERA,Ajmera Realty & Infra India Limited,PENDING
AJOONI,Ajooni Biotech Limited,PENDING
AKASH,Akash Infra-Projects Limited,PENDING
AKCAPIT,AK Capital Services Limited,PENDING
AKG,Akg Exim Limited,PENDING
AKI,AKI India Limited,PENDING
AKSHAR,Akshar Spintex Limited,PENDING
AKSHARCHEM,AksharChem India Limited,PENDING
ALANKIT,Alankit Limited,PENDING
ALBERTDAVD,Albert David Limited,PENDING
ALEMBICLTD,Alembic Limited,PENDING
ALGOQUANT,Algoquant Fintech Limited,PENDING
ALICON,Alicon Castalloy Limited,PENDING
ALIVUS,Alivus Life Sciences Limited,PENDING
ALLDIGI,Alldigi Tech Limited,PENDING
ALLTIME,All Time Plastics Limited,PENDING
ALPHAGEO,Alphageo (India) Limited,PENDING
AMAGI,Amagi Media Labs Limited,PENDING
AMBALALSA,Ambalal Sarabhai Enterprises Limited,PENDING
AMBIKCO,Ambika Cotton Mills Limited,PENDING
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,PENDING
AMJLAND,Amj Land Holdings Limited,PENDING
AMNPLST,Amines & Plasticizers Limited,PENDING
ANANTRAJ,Anant Raj Limited,PENDING
ANDHRAPAP,ANDHRA PAPER LIMITED,PENDING
ANDHRSUGAR,The Andhra Sugars Limited,PENDING
ANMOL,Anmol India Limited,PENDING
ANTGRAPHIC,Antarctica Limited,PENDING
ANTHEM,Anthem Biosciences Limited,PENDING
ANURAS,Anupam Rasayan India Limited,PENDING
APOLLO,Apollo Micro Systems Limited,PENDING
APOLLOPIPE,Apollo Pipes Limited,PENDING
APTECHT,Aptech Limited,PENDING
AQYLON,Aqylon Nexus Limited,PENDING
ARCHIES,Archies Limited,PENDING
ARFIN,Arfin India Limited,PENDING
ARIES,Aries Agro Limited,PENDING
ARIHANT,Arihant Foundations & Housing Limited,PENDING
ARIHANTCAP,Arihant Capital Markets Limited,PENDING
ARIHANTSUP,Arihant Superstructures Limited,PENDING
ARIS,Arisinfra Solutions Limited,PENDING
ARKADE,Arkade Developers Limited,PENDING
ARROWGREEN,Arrow Greentech Limited,PENDING
ARTEMISMED,Artemis Medicare Services Limited,PENDING
ARTNIRMAN,Art Nirman Limited,PENDING
ARVEE,Arvee Laboratories (India) Limited,PENDING
ARVIND,Arvind Limited,PENDING
ARVINDFASN,Arvind Fashions Limited,PENDING
ARVSMART,Arvind SmartSpaces Limited,PENDING
ASAHIINDIA,Asahi India Glass Limited,PENDING
ASAHISONG,Asahi Songwon Colors Limited,PENDING
ASAL,Automotive Stampings and Assemblies Limited,PENDING
ASALCBR,Associated Alcohols & Breweries Ltd.,PENDING
ASHAPURMIN,Ashapura Minechem Limited,PENDING
ASHIANA,Ashiana Housing Limited,PENDING
ASHIKA,Ashika Credit Capital Limited,PENDING
ASHIMASYN,Ashima Limited,PENDING
ASHOKAMET,Ashoka Metcast Limited,PENDING
ASHOKLEY,Ashok Leyland Limited,PENDING
ASIANENE,Asian Energy Services Limited,PENDING
ASIANHOTNR,Asian Hotels (North) Limited,PENDING
ASIANPAINT,Asian Paints Limited,PENDING
ASIANTILES,Asian Granito India Limited,PENDING
ASMS,Bartronics India Limited,PENDING
ASPINWALL,Aspinwall and Company Limited,PENDING
ASTAR,Asian Star Company Limited,PENDING
ASTEC,Astec LifeSciences Limited,PENDING
ASTRAL,Astral Limited,PENDING
ASTRAZEN,AstraZeneca Pharma India Limited,PENDING
ATALREAL,Atal Realtech Limited,PENDING
ATAM,Atam Valves Limited,PENDING
ATGL,Adani Total Gas Limited,PENDING
ATLANTAA,ATLANTAA LIMITED,PENDING
ATLASCYCLE,Atlas Cycles (Haryana) Limited,PENDING
ATUL,Atul Limited,PENDING
ATULAUTO,Atul Auto Limited,PENDING
AURIGROW,Auri Grow India Limited,PENDING
AURIONPRO,Aurionpro Solutions Limited,PENDING
AURUM,Aurum PropTech Limited,PENDING
AUTOAXLES,Automotive Axles Limited,PENDING
AVANTEL,Avantel Limited,PENDING
AVANTIFEED,Avanti Feeds Limited,PENDING
AVL,Aditya Vision Limited,PENDING
AVONMORE,Avonmore Capital & Management Services Limited,PENDING
AVROIND,AVRO INDIA LIMITED,PENDING
AVTNPL,AVT Natural Products Limited,PENDING
AWFIS,Awfis Space Solutions Limited,PENDING
AWHCL,Antony Waste Handling Cell Limited,PENDING
AWL,AWL Agri Business Limited,PENDING
AXITA,Axita Cotton Limited,PENDING
AYE,Aye Finance Limited,PENDING
AYMSYNTEX,AYM Syntex Limited,PENDING
BAGFILMS,B.A.G Films and Media Limited,PENDING
BAIDFIN,Baid Finserv Limited,PENDING
BAJAJFINSV,Bajaj Finserv Limited,PENDING
BAJEL,Bajel Projects Limited,PENDING
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,PENDING
BALAJITELE,Balaji Telefilms Limited,PENDING
BALKRISHNA,Balkrishna Paper Mills Limited,PENDING
BALMLAWRIE,Balmer Lawrie & Company Limited,PENDING
BANARBEADS,Banaras Beads Limited,PENDING
BANARISUG,Bannari Amman Sugars Limited,PENDING
BANCOINDIA,Banco Products (I) Limited,PENDING
BANG,Bang Overseas Limited,PENDING
BANSWRAS,Banswara Syntex Limited,PENDING
BASF,BASF India Limited,PENDING
BASML,Bannari Amman Spinning Mills Limited,PENDING
BATAINDIA,Bata India Limited,PENDING
BATLIBOI,Batliboi Limited,PENDING
BBL,Bharat Bijlee Limited,PENDING
BBOX,Black Box Limited,PENDING
BBTC,The Bombay Burmah Trading Corporation Limited,PENDING
BBTCL,B&B Triplewall Containers Limited,PENDING
BCG,Brightcom Group Limited,PENDING
BCONCEPTS,Brand Concepts Limited,PENDING
BEARDSELL,Beardsell Limited,PENDING
BECTORFOOD,Mrs. Bectors Food Specialities Limited,PENDING
BENGALASM,Bengal & Assam Company Limited,PENDING
BEPL,Bhansali Engineering Polymers Limited,PENDING
BERGEPAINT,Berger Paints (I) Limited,PENDING
BESTAGRO,Best Agrolife Limited,PENDING
BETA,Beta Drugs Limited,PENDING
BFUTILITIE,BF Utilities Limited,PENDING
BHARATCOAL,Bharat Coking Coal Limited,PENDING
BHARATFORG,Bharat Forge Limited,PENDING
BHARATRAS,Bharat Rasayan Limited,PENDING
BHARATSE,Bharat Seats Limited,PENDING
BHARATWIRE,Bharat Wire Ropes Limited,PENDING
BHARTIHEXA,Bharti Hexacom Limited,PENDING
BI,Bilcare Limited,PENDING
BIKAJI,Bikaji Foods International Limited,PENDING
BIL,Bhartiya International Limited,PENDING
BIOCON,Biocon Limited,PENDING
BIRLAMONEY,Aditya Birla Money Limited,PENDING
BIRLANU,BirlaNu Limited,PENDING
BLACKBUCK,BLACKBUCK LIMITED,PENDING
BLACKROSE,Black Rose Inds. Limited,PENDING
BLAL,BEML Land Assets Limited,PENDING
BLBLIMITED,BLB Limited,PENDING
BLIL,Balmer Lawrie Investments Limited,PENDING
BLKASHYAP,B. L. Kashyap and Sons Limited,PENDING
BLS,BLS International Services Limited,PENDING
BLSE,BLS E-Services Limited,PENDING
BLUECHIP,Blue Chip India Limited,PENDING
BLUEDART,Blue Dart Express Limited,PENDING
BLUESTARCO,Blue Star Limited,PENDING
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,PENDING
BLUSPRING,Bluspring Enterprises Limited,PENDING
BMWVENTLTD,BMW Ventures Limited,PENDING
BNALTD,B & A Limited,PENDING
BOMDYEING,Bombay Dyeing & Mfg Company Limited,PENDING
BORANA,Borana Weaves Limited,PENDING
BOROLTD,Borosil Limited,PENDING
BOROSCI,Borosil Scientific Limited,PENDING
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,PENDING
BPL,BPL Limited,PENDING
BRIGHOTEL,Brigade Hotel Ventures Limited,PENDING
BRNL,Bharat Road Network Limited,PENDING
BSE,BSE Limited,PENDING
BSL,BSL Limited,PENDING
BTML,Bodhi Tree Multimedia Limited,PENDING
BTTL,Bhilwara Technical Textiles Limited,PENDING
BUILDPRO,Shankara Buildpro Limited,PENDING
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,PENDING
BVCL,Barak Valley Cements Limited,PENDING
CAMLINFINE,Camlin Fine Sciences Limited,PENDING
CAMPUS,Campus Activewear Limited,PENDING
CAMS,Computer Age Management Services Limited,PENDING
CANFINHOME,Can Fin Homes Limited,PENDING
CANTABIL,Cantabil Retail India Limited,PENDING
CAPACITE,Capacit'e Infraprojects Limited,PENDING
CAPILLARY,Capillary Technologies India Limited,PENDING
CARBORUNIV,Carborundum Universal Limited,PENDING
CARERATING,CARE Ratings Limited,PENDING
CARRARO,Carraro India Limited,PENDING
