SYMBOL,COMPANY_NAME,SECTOR,SOURCE,LAST_UPDATED
3IINFOLTD,3i Infotech Limited,IT,AUTO_V2,2026-06-06
63MOONS,63 moons technologies limited,IT,AUTO_V2,2026-06-06
A2ZINFRA,A2Z Infra Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
AAATECH,AAA Technologies Limited,IT,AUTO_V2,2026-06-06
AADHARHFC,Aadhar Housing Finance Limited,NBFC,AUTO_V2,2026-06-06
AARON,Aaron Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
AARTIIND,Aarti Industries Limited,CHEMICALS,AUTO_V2,2026-06-06
AAVAS,Aavas Financiers Limited,NBFC,AUTO_V2,2026-06-06
ABB,ABB India Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
ABFRL,Aditya Birla Fashion and Retail Limited,RETAIL,AUTO_V2,2026-06-06
ABREL,Aditya Birla Real Estate Limited,REALTY,AUTO_V2,2026-06-06
ABSLAMC,Aditya Birla Sun Life AMC Limited,AMC_WEALTH,AUTO_V2,2026-06-06
ACI,Archean Chemical Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
ACSTECH,ACS Technologies Limited,IT,AUTO_V2,2026-06-06
ACUTAAS,Acutaas Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
ADANIENT,Adani Enterprises Limited,INFRASTRUCTURE,AUTO_V2,2026-06-06
ADANIGREEN,Adani Green Energy Limited,RENEWABLE_ENERGY,AUTO_V2,2026-06-06
ADANIPORTS,Adani Ports and Special Economic Zone Limited,AEROSPACE,AUTO_V2,2026-06-06
ADANIPOWER,Adani Power Limited,POWER,AUTO_V2,2026-06-06
ADFFOODS,ADF Foods Limited,FMCG,AUTO_V2,2026-06-06
ADROITINFO,Adroit Infotech Limited,IT,AUTO_V2,2026-06-06
ADSL,Allied Digital Services Limited,DIGITAL_SERVICES,AUTO_V2,2026-06-06
ADVENZYMES,Advanced Enzyme Technologies Limited,IT,AUTO_V2,2026-06-06
AEGISLOG,Aegis Logistics Limited,LOGISTICS,AUTO_V2,2026-06-06
AEROFLEX,Aeroflex Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
AETHER,Aether Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
AFCONS,Afcons Infrastructure Limited,INFRASTRUCTURE,AUTO_V2,2026-06-06
