ISIN,SYMBOL,COMPANY_NAME_NSE,COMPANY_NAME_SCREENER,MATCH_SCORE,MATCH_STATUS,LAST_UPDATED
,20MICRONS,20 Microns Limited,20 Microns,100.0,EXACT,2026-06-07
,21STCENMGM,21st Century Management Services Limited,21st Cent. Mgmt.,60.87,UNMATCHED,2026-06-07
,360ONE,360 ONE WAM LIMITED,360 ONE,77.78,REVIEW,2026-06-07
,3BBLACKBIO,3B Blackbio Dx Limited,3B Blackbio,88.0,HIGH_CONFIDENCE,2026-06-07
,3IINFOLTD,3i Infotech Limited,3i Infotech,100.0,EXACT,2026-06-07
,3MINDIA,3M India Limited,3M India,100.0,EXACT,2026-06-07
,3PLAND,3P Land Holdings Limited,3P Land Hold.,85.71,HIGH_CONFIDENCE,2026-06-07
,5PAISA,5Paisa Capital Limited,5paisa Capital,100.0,EXACT,2026-06-07
,63MOONS,63 moons technologies limited,63 Moons Tech.,76.47,REVIEW,2026-06-07
,A2ZINFRA,A2Z Infra Engineering Limited,A2Z Infra Engg.,80.0,REVIEW,2026-06-07
,AAATECH,AAA Technologies Limited,AAA Technologies,100.0,EXACT,2026-06-07
,AADHARHFC,Aadhar Housing Finance Limited,Aadhar Hsg. Fin.,77.78,REVIEW,2026-06-07
,AAKASH,Aakash Exploration Services Limited,Kapston Services,69.77,UNMATCHED,2026-06-07
,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Goldline Pharmaceutical,64.0,UNMATCHED,2026-06-07
,AARNAV,Aarnav Fashions Limited,Aarnav Fashions,100.0,EXACT,2026-06-07
,AARON,Aaron Industries Limited,Aaron Industries,100.0,EXACT,2026-06-07
,AARTECH,Aartech Solonics Limited,Aartech Solonics,100.0,EXACT,2026-06-07
,AARTIDRUGS,Aarti Drugs Limited,Aarti Drugs,100.0,EXACT,2026-06-07
,AARTIIND,Aarti Industries Limited,Aarti Industries,100.0,EXACT,2026-06-07
,AARTIPHARM,Aarti Pharmalabs Limited,Aarti Pharma,85.71,HIGH_CONFIDENCE,2026-06-07
,AARTISURF,Aarti Surfactants Limited,Aarti Surfactant,96.97,EXACT,2026-06-07
,AARVI,Aarvi Encon Limited,Aarvi Encon,100.0,EXACT,2026-06-07
,AAVAS,Aavas Financiers Limited,AAVAS Financiers,100.0,EXACT,2026-06-07
,ABANSENT,Abans Enterprises Limited,ABans Enterprise,96.97,EXACT,2026-06-07
,ABB,ABB India Limited,ABC India,88.89,HIGH_CONFIDENCE,2026-06-07
,ABBOTINDIA,Abbott India Limited,Abbott India,100.0,EXACT,2026-06-07
,ABCAPITAL,Aditya Birla Capital Limited,Aditya Birla Cap,88.89,HIGH_CONFIDENCE,2026-06-07
,ABCOTS,A B Cotspin India Limited,Indo Cotspin,75.86,REVIEW,2026-06-07
,ABDL,Allied Blenders and Distillers Limited,Allied Blenders,66.67,UNMATCHED,2026-06-07
,ABFRL,Aditya Birla Fashion and Retail Limited,Aditya Bir. Fas.,62.22,UNMATCHED,2026-06-07
,ABINFRA,A B Infrabuild Limited,A B Infrabuild,100.0,EXACT,2026-06-07
,ABLBL,Aditya Birla Lifestyle Brands Limited,Aditya Birla Cap,62.22,UNMATCHED,2026-06-07
,ABMINTLLTD,ABM International Limited,Amit Internation,84.85,REVIEW,2026-06-07
,ABMKNO,ABM Knowledgeware Limited,ABM Knowledge,86.67,HIGH_CONFIDENCE,2026-06-07
,ABREL,Aditya Birla Real Estate Limited,A B Real Estate,76.92,REVIEW,2026-06-07
