SECTOR_ID,SECTOR_NAME
1,BANKING
2,NBFC
3,INSURANCE
4,AMC_WEALTH
5,FINANCIAL_SERVICES
6,IT
7,DIGITAL_SERVICES
8,TELECOM
9,CAPITAL_GOODS
10,INDUSTRIAL_MANUFACTURING
11,ELECTRICAL_EQUIPMENT
12,INDUSTRIAL_PRODUCTS
13,INFRASTRUCTURE
14,CONSTRUCTION
15,REALTY
16,RAILWAY
17,POWER
18,OIL_GAS
19,RENEWABLE_ENERGY
20,UTILITIES
21,FMCG
22,CONSUMER_DURABLES
23,RETAIL
24,HOSPITALITY
25,AUTO
26,AUTO_ANCILLARY
27,LOGISTICS
28,AVIATION
29,PHARMA
30,HEALTHCARE
31,DIAGNOSTICS
32,METALS
33,CHEMICALS
34,SPECIALTY_CHEMICALS
35,CEMENT
36,DEFENCE
37,AEROSPACE
38,SHIPBUILDING
39,AGRI
40,FERTILIZERS
41,SUGAR
