sector_raw,sector_normalized
AUTOMOBILE AND AUTO COMPONENTS,AUTO
AUTOMOBILES & AUTO COMPONENTS,AUTO
AUTOMOBILES & AUTO COMPON,AUTO
AUTO ANCILLARIES,AUTO
CAPITAL GOODS,CAPITAL_GOODS
ELECTRICAL EQUIPMENT,CAPITAL_GOODS
CONSUMER DURABLES,CAPITAL_GOODS
INDUSTRIAL MACHINERY,CAPITAL_GOODS
ENGINEERING,CAPITAL_GOODS
CHEMICALS,CHEMICALS
FERTILIZERS,CHEMICALS
PESTICIDES,CHEMICALS
CONSTRUCTION,INFRASTRUCTURE
CONSTRUCTION MATERIALS,CEMENT
CEMENT,CEMENT
CONSUMER SERVICES,SERVICES
COMMERCIAL SERVICES,SERVICES
COMMERCIAL SERVICES & SUPPLIES,SERVICES
TOURISM & TRAVEL,SERVICES
HOSPITALITY,SERVICES
DIVERSIFIED,DIVERSIFIED
DIVERSIFIED SECTOR,DIVERSIFIED
OTHERS,DIVERSIFIED
FAST MOVING CONSUMER GOODS,FMCG
FMCG,FMCG
FOOD BEVERAGES & TOBACCO,FMCG
FOOD & BEVERAGES,FMCG
FOOD PROCESSING,FMCG
FINANCIAL SERVICES,FINANCIAL_SERVICES
TOTAL FINANCIAL SERVICES,FINANCIAL_SERVICES
TOTAL  FINANCIAL SERVICES,FINANCIAL_SERVICES
OTHER FINANCIAL SERVICES,FINANCIAL_SERVICES
CAPITAL MARKET INTERMEDIARIES,FINANCIAL_SERVICES
INSURANCE,FINANCIAL_SERVICES
MUTUAL FUNDS,FINANCIAL_SERVICES
BANKS,BANKING
FOREST MATERIALS,COMMODITIES
PAPER,COMMODITIES
HEALTHCARE,HEALTHCARE
PHARMA,PHARMA
PHARMACEUTICALS,PHARMA
PHARMACEUTICALS & BIOTECHNOLOGY,PHARMA
INFORMATION TECHNOLOGY,IT
IT,IT
ITES,IT
SOFTWARE,IT
INFORMATION TECHNOLOGY - SOFTWARE,IT
INFORMATION TECHNOLOGY - HARDWARE,IT
MEDIA ENTERTAINMENT & PUBLICATION,MEDIA
"MEDIA, ENTERTAINMENT & PUBLICATION",MEDIA
MEDIA & ENTERTAINMENT,MEDIA
MEDIA,MEDIA
PUBLISHING,MEDIA
METALS & MINING,METAL
METAL MINING & MINERALS,METAL
METALS MINING & MINERALS,METAL
MINING,METAL
OIL GAS & CONSUMABLE FUELS,ENERGY
"OIL, GAS & CONSUMABLE FUELS",ENERGY
OIL & GAS,ENERGY
OIL GAS AND CONSUMABLE FUELS,ENERGY
POWER,ENERGY
REALTY,REALTY
REAL ESTATE,REALTY
SERVICES,SERVICES
TELECOMMUNICATION,TELECOM
TELECOM,TELECOM
TELECOMMUNICATIONS,TELECOM
TEXTILES,TEXTILES
TEXTILE,TEXTILES
GARMENTS,TEXTILES
UTILITIES,INFRASTRUCTURE
INFRASTRUCTURE,INFRASTRUCTURE
SOVEREIGN,SKIP
AVIATION,AVIATION
SHIPPING,LOGISTICS
TRANSPORTATION,LOGISTICS
PORTS,LOGISTICS
LOGISTICS,LOGISTICS
AGRICULTURE,AGRICULTURE
AGRO CHEMICALS,CHEMICALS
RETAILING,SERVICES
E-COMMERCE,IT
CHEMICALS & PETROCHEMICALS,CHEMICALS
COAL,ENERGY
DIVERSIFIED CONSUMER SERVICES,SERVICES
FOOD & DRUGS RETAILING,FMCG
FOOD BEVERAGES & TOBACCO,FMCG
"FOOD, BEVERAGES & TOBACCO",FMCG
GENERAL INDUSTRIALS,CAPITAL_GOODS
HARDWARE TECHNOLOGY & EQUIPMENT,IT
HEALTHCARE EQUIPMENT & SUPPLIES,HEALTHCARE
HEALTHCARE SERVICES,HEALTHCARE
"HOTELS, RESTAURANTS & TOURISM",SERVICES
HOTELS RESTAURANTS & TOURISM,SERVICES
HOUSEHOLD & PERSONAL PRODUCTS,FMCG
REAL ESTATE INVESTMENT,REALTY
SOFTWARE & SERVICES,IT
TELECOM SERVICES,TELECOM
TELECOMMUNICATIONS EQUIPMENT,TELECOM
"TEXTILES, APPARELS & ACCESSORIES",TEXTILES
TEXTILES APPARELS & ACCESSORIES,TEXTILES
