"ISIN","COMPANY_NAME","FACE_VALUE","NSE_SYMBOL","NSE_SERIES","NSE_LISTING_DATE","NSE_DATA_SOURCE","BSE_SYMBOL","BSE_CODE","SctySrs","BSE_LISTING_DATE","BSE_DATA_SOURCE","LISTED_NSE","LISTED_BSE","LAST_UPDATED"
"INE144J01027","20 MICRONS LTD.","5","20MICRONS","EQ","06-10-2008","","20MICRONS","533022","B","","","True","True","09-06-2026"
"INE466L01038","360 ONE WAM LIMITED","1","360ONE","EQ","19-09-2019","","360ONE","542772","A","","","True","True","09-06-2026"
"INE994E01018","3B BlackBio Dx Limited","10","3BBLACKBIO","EQ","20-04-2026","","3BBLACKBIO","532067","B","","","True","True","09-06-2026"
"INE0TE101010","3B FILMS LIMITED","","","","","","3BFILMS","544412","MT","","","False","True","09-06-2026"
"INE0R7D01018","3C IT Solutions and Telecoms (","","","","","","3CIT","544190","M","","","False","True","09-06-2026"
"INE748C01038","3I INFOTECH LTD.","10","3IINFOLTD","EQ","22-10-2021","","3IINFOLTD","532628","B","","","True","True","09-06-2026"
"INE470A01017","3M INDIA LTD.","10","3MINDIA","EQ","13-08-2004","","3MINDIA","523395","A","","","True","True","09-06-2026"
"INE618L01018","5paisa Capital Limited","10","5PAISA","EQ","16-11-2017","","5PAISA","540776","B","","","True","True","09-06-2026"
"INE111B01023","63 Moons Technologies Limited","2","63MOONS","EQ","20-06-2005","","63MOONS","526881","A","","","True","True","09-06-2026"
"INE413X01035","7NR Retail Limited","","","","","","7NR","540615","XT","","","False","True","09-06-2026"
"INE454F01010","7SEAS ENTERTAINMENT LIMITED","","","","","","7SEASL","540874","X","","","False","True","09-06-2026"
"INE08PH01015","A B Cotspin India Limited","10","ABCOTS","EQ","24-09-2025","","ABCOTS","544522","B","","","True","True","09-06-2026"
"INE00YB01025","A B INFRABUILD LIMITED","1","ABINFRA","EQ","08-11-2024","","ABINFRA","544281","B","","","True","True","09-06-2026"
"INE663P01015","A.F. ENTERPRISES LTD","","","","","","AFEL","538351","Z","","","False","True","09-06-2026"
"INE701G01012","A.K.CAPITAL SERVICES LTD.","10","AKCAPIT","EQ","20-04-2026","","AKCAPIT","530499","B","","","True","True","09-06-2026"
"INE911Z01025","A-1 LIMITED","","","","","","A1L","542012","B","","","False","True","09-06-2026"
"INE619I01012","A2Z INFRA ENGINEERING LIMITED","10","A2ZINFRA","EQ","23-12-2010","","A2ZINFRA","533292","B","","","True","True","09-06-2026"
"INE0D0U01013","AAA TECHNOLOGIES LIMITED","10","AAATECH","EQ","28-11-2022","","AAATECH","543671","B","","","True","True","09-06-2026"
"INE883F01010","Aadhar Housing Finance Limited","10","AADHARHFC","EQ","15-05-2024","","AADHARHFC","544176","A","","","True","True","09-06-2026"
"INE563D01013","AADI INDUSTRIES LTD.","","","","","","AADIIND","530027","X","","","False","True","09-06-2026"
"INE322R01022","Aanchal Ispat Limited","","","","","","AANCHALISP","538812","XT","","","False","True","09-06-2026"
