ISIN,COMPANY_NAME_NSE,COMPANY_NAME_BSE,NSE_SYMBOL,NSE_SERIES,BSE_CODE,BSE_SYMBOL,LISTED_NSE,LISTED_BSE,SYMBOL_MATCH_FLAG,NAME_MATCH_FLAG,LAST_UPDATED
INE144J01027,20 Microns Limited,20 MICRONS LTD.,20MICRONS,EQ,533022,20MICRONS,True,True,EXACT,EXACT,2026-06-07
INE253B01015,21st Century Management Services Limited,TWENTYFIRST CENTURY MANAGEMENT,21STCENMGM,EQ,526921,21STCENMGM,True,True,EXACT,PARTIAL,2026-06-07
INE466L01038,360 ONE WAM LIMITED,360 ONE WAM LIMITED,360ONE,EQ,542772,360ONE,True,True,EXACT,EXACT,2026-06-07
INE994E01018,3B Blackbio Dx Limited,3B BlackBio Dx Limited,3BBLACKBIO,EQ,532067,3BBLACKBIO,True,True,EXACT,EXACT,2026-06-07
INE748C01038,3i Infotech Limited,3I INFOTECH LTD.,3IINFOLTD,EQ,532628,3IINFOLTD,True,True,EXACT,EXACT,2026-06-07
INE470A01017,3M India Limited,3M INDIA LTD.,3MINDIA,EQ,523395,3MINDIA,True,True,EXACT,EXACT,2026-06-07
,3P Land Holdings Limited,,3PLAND,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE618L01018,5Paisa Capital Limited,5paisa Capital Limited,5PAISA,EQ,540776,5PAISA,True,True,EXACT,EXACT,2026-06-07
INE111B01023,63 moons technologies limited,63 Moons Technologies Limited,63MOONS,EQ,526881,63MOONS,True,True,EXACT,EXACT,2026-06-07
INE619I01012,A2Z Infra Engineering Limited,A2Z INFRA ENGINEERING LIMITED,A2ZINFRA,EQ,533292,A2ZINFRA,True,True,EXACT,EXACT,2026-06-07
INE0D0U01013,AAA Technologies Limited,AAA TECHNOLOGIES LIMITED,AAATECH,EQ,543671,AAATECH,True,True,EXACT,EXACT,2026-06-07
INE883F01010,Aadhar Housing Finance Limited,Aadhar Housing Finance Limited,AADHARHFC,EQ,544176,AADHARHFC,True,True,EXACT,EXACT,2026-06-07
,Aakash Exploration Services Limited,,AAKASH,BE,,,True,False,MISSING,MISSING,2026-06-07
INE198H01019,Aarey Drugs & Pharmaceuticals Limited,AAREY DRUGS & PHARMACEUTICALS,AAREYDRUGS,BE,524412,AAREYDRUGS,True,True,EXACT,EXACT,2026-06-07
INE750R01016,Aarnav Fashions Limited,AARNAV FASHIONS LIMITED,AARNAV,EQ,539562,AARNAV,True,True,EXACT,EXACT,2026-06-07
,Aaron Industries Limited,,AARON,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE01C001026,Aartech Solonics Limited,Aartech Solonics Limited,AARTECH,EQ,542580,AARTECH,True,True,EXACT,EXACT,2026-06-07
INE767A01016,Aarti Drugs Limited,AARTI DRUGS LTD.,AARTIDRUGS,EQ,524348,AARTIDRUGS,True,True,EXACT,EXACT,2026-06-07
INE769A01020,Aarti Industries Limited,AARTI INDUSTRIES LTD.,AARTIIND,EQ,524208,AARTIIND,True,True,EXACT,EXACT,2026-06-07
INE0LRU01027,Aarti Pharmalabs Limited,Aarti Pharmalabs Limited,AARTIPHARM,EQ,543748,AARTIPHARM,True,True,EXACT,EXACT,2026-06-07
INE09EO01013,Aarti Surfactants Limited,Aarti Surfactants Limited,AARTISURF,EQ,543210,AARTISURF,True,True,EXACT,EXACT,2026-06-07
,Aarvi Encon Limited,,AARVI,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE216P01012,Aavas Financiers Limited,AAVAS Financiers Limited,AAVAS,EQ,541988,AAVAS,True,True,EXACT,EXACT,2026-06-07
INE365O01028,Abans Enterprises Limited,ABANS ENTERPRISES LTD,ABANSENT,BE,512165,ABANSENT,True,True,EXACT,EXACT,2026-06-07
INE117A01022,ABB India Limited,ABB INDIA LIMITED,ABB,EQ,500002,ABB,True,True,EXACT,EXACT,2026-06-07
INE358A01014,Abbott India Limited,ABBOTT INDIA LTD.,ABBOTINDIA,EQ,500488,ABBOTINDIA,True,True,EXACT,EXACT,2026-06-07
INE674K01013,Aditya Birla Capital Limited,Aditya Birla Capital Ltd,ABCAPITAL,EQ,540691,ABCAPITAL,True,True,EXACT,EXACT,2026-06-07
INE08PH01015,A B Cotspin India Limited,A B Cotspin India Limited,ABCOTS,EQ,544522,ABCOTS,True,True,EXACT,EXACT,2026-06-07
INE552Z01027,Allied Blenders and Distillers Limited,Allied Blenders and Distillers,ABDL,EQ,544203,ABDL,True,True,EXACT,EXACT,2026-06-07
INE647O01011,Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retai,ABFRL,EQ,535755,ABFRL,True,True,EXACT,EXACT,2026-06-07
INE00YB01025,A B Infrabuild Limited,A B INFRABUILD LIMITED,ABINFRA,EQ,544281,ABINFRA,True,True,EXACT,EXACT,2026-06-07
INE14LE01019,Aditya Birla Lifestyle Brands Limited,Aditya Birla Lifestyle Brands,ABLBL,EQ,544403,ABLBL,True,True,EXACT,EXACT,2026-06-07
,ABM International Limited,,ABMINTLLTD,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE850B01026,ABM Knowledgeware Limited,ABM KNOWLEDGEWARE LTD.,ABMKNO,EQ,531161,ABMKNO,True,True,EXACT,EXACT,2026-06-07
INE055A01016,Aditya Birla Real Estate Limited,ADITYA BIRLA REAL ESTATE LIMIT,ABREL,EQ,500040,ABREL,True,True,EXACT,HIGH,2026-06-07
INE404A01024,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life AMC Limi,ABSLAMC,EQ,543374,ABSLAMC,True,True,EXACT,HIGH,2026-06-07
INE012A01025,ACC Limited,ACC LTD.,ACC,EQ,500410,ACC,True,True,EXACT,EXACT,2026-06-07
INE793A01012,Accelya Solutions India Limited,ACCELYA SOLUTIONS INDIA LIMITE,ACCELYA,EQ,532268,ACCELYA,True,True,EXACT,HIGH,2026-06-07
INE648Z01023,Accuracy Shipping Limited,Accuracy Shipping Limited,ACCURACY,EQ,544598,ACCURACY,True,True,EXACT,EXACT,2026-06-07
INE731H01025,Action Construction Equipment Limited,ACTION CONSTRUCTION EQUIPMENT,ACE,EQ,532762,ACE,True,True,EXACT,EXACT,2026-06-07
,Ace Integrated Solutions Limited,,ACEINTEG,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE128X01021,Archean Chemical Industries Limited,Archean Chemical Industries Li,ACI,EQ,543657,ACI,True,True,EXACT,HIGH,2026-06-07
INE666E01020,Andhra Cements Limited,ANDHRA CEMENTS LTD.,ACL,EQ,532141,ACL,True,True,EXACT,EXACT,2026-06-07
INE622W01025,Acme Solar Holdings Limited,ACME Solar Holdings Limited,ACMESOLAR,EQ,544283,ACMESOLAR,True,True,EXACT,EXACT,2026-06-07
INE366C01021,ACS Technologies Limited,ACS TECHNOLOGIES LIMITED,ACSTECH,EQ,530745,ACSTECH,True,True,EXACT,EXACT,2026-06-07
INE00FF01025,Acutaas Chemicals Limited,ACUTAAS CHEMICALS LIMITED,ACUTAAS,EQ,543349,ACUTAAS,True,True,EXACT,EXACT,2026-06-07
INE931S01010,Adani Energy Solutions Limited,Adani Energy Solutions Limited,ADANIENSOL,EQ,539254,ADANIENSOL,True,True,EXACT,EXACT,2026-06-07
INE423A01024,Adani Enterprises Limited,ADANI ENTERPRISES LTD.,ADANIENT,EQ,512599,ADANIENT,True,True,EXACT,EXACT,2026-06-07
INE364U01010,Adani Green Energy Limited,Adani Green Energy Limited,ADANIGREEN,EQ,541450,ADANIGREEN,True,True,EXACT,EXACT,2026-06-07
INE742F01042,Adani Ports and Special Economic Zone Limited,ADANI PORTS AND SPECIAL ECONOM,ADANIPORTS,EQ,532921,ADANIPORTS,True,True,EXACT,HIGH,2026-06-07
INE814H01029,Adani Power Limited,ADANI POWER LTD.,ADANIPOWER,EQ,533096,ADANIPOWER,True,True,EXACT,EXACT,2026-06-07
INE982B01027,ADF Foods Limited,ADF FOODS LTD.,ADFFOODS,EQ,519183,ADFFOODS,True,True,EXACT,EXACT,2026-06-07
,Archidply Decor Limited,,ADL,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE045A01017,Ador Welding Limited,ADOR WELDING LTD.,ADOR,EQ,517041,ADOR,True,True,EXACT,EXACT,2026-06-07
INE737B01033,Adroit Infotech Limited,Adroit Infotech Limited,ADROITINFO,EQ,532172,ADROITINFO,True,True,EXACT,EXACT,2026-06-07
INE102I01027,Allied Digital Services Limited,ALLIED DIGITAL SERVICES LTD.,ADSL,EQ,532875,ADSL,True,True,EXACT,EXACT,2026-06-07
INE0ALI01010,Advait Energy Transitions Limited,ADVAIT ENERGY TRANSITIONS LIMI,ADVAIT,EQ,543230,ADVAIT,True,True,EXACT,HIGH,2026-06-07
INE1B0W01010,Advance Agrolife Limited,Advance Agrolife Limited,ADVANCE,EQ,544562,ADVANCE,True,True,EXACT,EXACT,2026-06-07
INE199C01026,Advani Hotels & Resorts (India) Limited,ADVANI HOTELS & RESORTS (INDIA,ADVANIHOTR,EQ,523269,ADVANIHOTR,True,True,EXACT,EXACT,2026-06-07
INE28GN01010,Advent Hotels International Limited,Advent Hotels International Li,ADVENTHTL,EQ,544446,ADVENTHTL,True,True,EXACT,HIGH,2026-06-07
INE837H01020,Advanced Enzyme Technologies Limited,Advanced Enzyme Technologies L,ADVENZYMES,EQ,540025,ADVENZYMES,True,True,EXACT,HIGH,2026-06-07
INE208C01025,Aegis Logistics Limited,AEGIS LOGISTICS LTD.,AEGISLOG,EQ,500003,AEGISLOG,True,True,EXACT,EXACT,2026-06-07
INE0INX01018,Aegis Vopak Terminals Limited,AEGIS VOPAK TERMINALS LIMITED,AEGISVOPAK,EQ,544407,AEGISVOPAK,True,True,EXACT,EXACT,2026-06-07
INE757T01025,Artemis Electricals and Projects Limited,Artemis Electricals and Projec,AEPL,EQ,542670,AEPL,True,True,EXACT,EXACT,2026-06-07
INE947N01017,Aequs Limited,Aequs Limited,AEQUS,EQ,544634,AEQUS,True,True,EXACT,EXACT,2026-06-07
INE065D01027,Aeroflex Enterprises Limited,AEROFLEX ENTERPRISES LIMITED,AEROENTER,EQ,511076,AEROENTER,True,True,EXACT,EXACT,2026-06-07
INE024001021,Aeroflex Industries Limited,Aeroflex Industries Limited,AEROFLEX,EQ,543972,AEROFLEX,True,True,EXACT,EXACT,2026-06-07
INE035801013,Aeroflex Neu Limited,Aeroflex Neu Limited,AERONEU,EQ,543743,AERONEU,True,True,EXACT,EXACT,2026-06-07
INE0BWX01014,Aether Industries Limited,Aether Industries Limited,AETHER,EQ,543534,AETHER,True,True,EXACT,EXACT,2026-06-07
INE101I01011,Afcons Infrastructure Limited,Afcons Infrastructure Limited,AFCONS,EQ,544280,AFCONS,True,True,EXACT,EXACT,2026-06-07
INE00WC01027,Affle 3i Limited,AFFLE 3I LIMITED,AFFLE,EQ,542752,AFFLE,True,True,EXACT,EXACT,2026-06-07
INE692Z01013,Affordable Robotic & Automation Limited,Affordable Robotic & Automatio,AFFORDABLE,BE,541402,AFFORDABLE,True,True,EXACT,EXACT,2026-06-07
INE916Y01027,Akme Fintrade (India) Limited,Akme Fintrade (India) Limited,AFIL,BE,544200,AFIL,True,True,EXACT,EXACT,2026-06-07
INE00ZE01026,Abans Financial Services Limited,ABANS FINANCIAL SERVICES LIMIT,AFSL,EQ,543712,AFSL,True,True,EXACT,HIGH,2026-06-07
INE204E01012,Agarwal Industrial Corporation Limited,AGARWAL INDUSTRIAL CORPORATION,AGARIND,EQ,531921,AGARIND,True,True,EXACT,EXACT,2026-06-07
INE943P01029,Dr. Agarwal's Health Care Limited,Dr. Agarwal's Health Care Limi,AGARWALEYE,EQ,544350,AGARWALEYE,True,True,EXACT,HIGH,2026-06-07
