ISIN,COMPANY_NAME_NSE,COMPANY_NAME_BSE,NSE_SYMBOL,NSE_SERIES,BSE_CODE,BSE_SYMBOL,MATCH_METHOD,MATCH_CONFIDENCE,LISTED_NSE,LISTED_BSE,LAST_UPDATED
INE144J01027,20 Microns Limited,20 MICRONS LTD.,20MICRONS,EQ,533022,20MICRONS,SYMBOL,100,True,True,2026-06-08
INE253B01015,21st Century Management Services Limited,TWENTYFIRST CENTURY MANAGEMENT,21STCENMGM,EQ,526921,21STCENMGM,SYMBOL,100,True,True,2026-06-08
INE466L01038,360 ONE WAM LIMITED,360 ONE WAM LIMITED,360ONE,EQ,542772,360ONE,SYMBOL,100,True,True,2026-06-08
INE994E01018,3B Blackbio Dx Limited,3B BlackBio Dx Limited,3BBLACKBIO,EQ,532067,3BBLACKBIO,SYMBOL,100,True,True,2026-06-08
INE748C01038,3i Infotech Limited,3I INFOTECH LTD.,3IINFOLTD,EQ,532628,3IINFOLTD,SYMBOL,100,True,True,2026-06-08
INE470A01017,3M India Limited,3M INDIA LTD.,3MINDIA,EQ,523395,3MINDIA,SYMBOL,100,True,True,2026-06-08
,3P Land Holdings Limited,,3PLAND,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE618L01018,5Paisa Capital Limited,5paisa Capital Limited,5PAISA,EQ,540776,5PAISA,SYMBOL,100,True,True,2026-06-08
INE111B01023,63 moons technologies limited,63 Moons Technologies Limited,63MOONS,EQ,526881,63MOONS,SYMBOL,100,True,True,2026-06-08
INE619I01012,A2Z Infra Engineering Limited,A2Z INFRA ENGINEERING LIMITED,A2ZINFRA,EQ,533292,A2ZINFRA,SYMBOL,100,True,True,2026-06-08
INE0D0U01013,AAA Technologies Limited,AAA TECHNOLOGIES LIMITED,AAATECH,EQ,543671,AAATECH,SYMBOL,100,True,True,2026-06-08
INE883F01010,Aadhar Housing Finance Limited,Aadhar Housing Finance Limited,AADHARHFC,EQ,544176,AADHARHFC,SYMBOL,100,True,True,2026-06-08
,Aakash Exploration Services Limited,,AAKASH,BE,,,UNMATCHED,0,True,False,2026-06-08
INE198H01019,Aarey Drugs & Pharmaceuticals Limited,AAREY DRUGS & PHARMACEUTICALS,AAREYDRUGS,BE,524412,AAREYDRUGS,SYMBOL,100,True,True,2026-06-08
INE750R01016,Aarnav Fashions Limited,AARNAV FASHIONS LIMITED,AARNAV,EQ,539562,AARNAV,SYMBOL,100,True,True,2026-06-08
,Aaron Industries Limited,,AARON,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE01C001026,Aartech Solonics Limited,Aartech Solonics Limited,AARTECH,EQ,542580,AARTECH,SYMBOL,100,True,True,2026-06-08
INE767A01016,Aarti Drugs Limited,AARTI DRUGS LTD.,AARTIDRUGS,EQ,524348,AARTIDRUGS,SYMBOL,100,True,True,2026-06-08
INE769A01020,Aarti Industries Limited,AARTI INDUSTRIES LTD.,AARTIIND,EQ,524208,AARTIIND,SYMBOL,100,True,True,2026-06-08
INE0LRU01027,Aarti Pharmalabs Limited,Aarti Pharmalabs Limited,AARTIPHARM,EQ,543748,AARTIPHARM,SYMBOL,100,True,True,2026-06-08
INE09EO01013,Aarti Surfactants Limited,Aarti Surfactants Limited,AARTISURF,EQ,543210,AARTISURF,SYMBOL,100,True,True,2026-06-08
,Aarvi Encon Limited,,AARVI,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE216P01012,Aavas Financiers Limited,AAVAS Financiers Limited,AAVAS,EQ,541988,AAVAS,SYMBOL,100,True,True,2026-06-08
INE365O01028,Abans Enterprises Limited,ABANS ENTERPRISES LTD,ABANSENT,BE,512165,ABANSENT,SYMBOL,100,True,True,2026-06-08
INE117A01022,ABB India Limited,ABB INDIA LIMITED,ABB,EQ,500002,ABB,SYMBOL,100,True,True,2026-06-08
INE358A01014,Abbott India Limited,ABBOTT INDIA LTD.,ABBOTINDIA,EQ,500488,ABBOTINDIA,SYMBOL,100,True,True,2026-06-08
INE674K01013,Aditya Birla Capital Limited,Aditya Birla Capital Ltd,ABCAPITAL,EQ,540691,ABCAPITAL,SYMBOL,100,True,True,2026-06-08
INE08PH01015,A B Cotspin India Limited,A B Cotspin India Limited,ABCOTS,EQ,544522,ABCOTS,SYMBOL,100,True,True,2026-06-08
INE552Z01027,Allied Blenders and Distillers Limited,Allied Blenders and Distillers,ABDL,EQ,544203,ABDL,SYMBOL,100,True,True,2026-06-08
INE647O01011,Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retai,ABFRL,EQ,535755,ABFRL,SYMBOL,100,True,True,2026-06-08
INE00YB01025,A B Infrabuild Limited,A B INFRABUILD LIMITED,ABINFRA,EQ,544281,ABINFRA,SYMBOL,100,True,True,2026-06-08
INE14LE01019,Aditya Birla Lifestyle Brands Limited,Aditya Birla Lifestyle Brands,ABLBL,EQ,544403,ABLBL,SYMBOL,100,True,True,2026-06-08
,ABM International Limited,,ABMINTLLTD,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE850B01026,ABM Knowledgeware Limited,ABM KNOWLEDGEWARE LTD.,ABMKNO,EQ,531161,ABMKNO,SYMBOL,100,True,True,2026-06-08
INE055A01016,Aditya Birla Real Estate Limited,ADITYA BIRLA REAL ESTATE LIMIT,ABREL,EQ,500040,ABREL,SYMBOL,100,True,True,2026-06-08
INE404A01024,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life AMC Limi,ABSLAMC,EQ,543374,ABSLAMC,SYMBOL,100,True,True,2026-06-08
INE012A01025,ACC Limited,ACC LTD.,ACC,EQ,500410,ACC,SYMBOL,100,True,True,2026-06-08
INE793A01012,Accelya Solutions India Limited,ACCELYA SOLUTIONS INDIA LIMITE,ACCELYA,EQ,532268,ACCELYA,SYMBOL,100,True,True,2026-06-08
INE648Z01023,Accuracy Shipping Limited,Accuracy Shipping Limited,ACCURACY,EQ,544598,ACCURACY,SYMBOL,100,True,True,2026-06-08
INE731H01025,Action Construction Equipment Limited,ACTION CONSTRUCTION EQUIPMENT,ACE,EQ,532762,ACE,SYMBOL,100,True,True,2026-06-08
