Date,Year,Reason,Source
2010-11-05,2010,Diwali Muhurat Trading,verified_web_search
2011-10-26,2011,Diwali Muhurat Trading,verified_web_search
2012-11-13,2012,Diwali Muhurat Trading,verified_web_search
2013-11-03,2013,Diwali Muhurat Trading,verified_web_search
2014-10-23,2014,Diwali Muhurat Trading,verified_web_search
2015-11-11,2015,Diwali Muhurat Trading,verified_web_search
2016-10-30,2016,Diwali Muhurat Trading,verified_web_search
2017-10-19,2017,Diwali Muhurat Trading,verified_web_search
2018-11-07,2018,Diwali Muhurat Trading,verified_web_search
2019-10-27,2019,Diwali Muhurat Trading,verified_web_search
2020-11-14,2020,Diwali Muhurat Trading,verified_web_search
2021-11-04,2021,Diwali Muhurat Trading,verified_web_search
2022-10-24,2022,Diwali Muhurat Trading,verified_web_search
2023-11-12,2023,Diwali Muhurat Trading,verified_web_search
2024-11-01,2024,Diwali Muhurat Trading,verified_web_search
2025-10-21,2025,Diwali Muhurat Trading,verified_web_search
2026-02-01,2026,Union Budget Day Special Session,fixed_rule
2026-11-08,2026,Diwali Muhurat Trading (Diwali Laxmi Pujan*),auto_detected_calendar_asterisk
