"Name","Count"
"23 WHEELERS","1"
"ABRASIVES AND BEARINGS","1"
"ADVERTISING AND MEDIA AGENCIES","1"
"AEROSPACE AND DEFENSE","1"
"AIRLINE","1"
"AIRPORT AND AIRPORT SERVICES","1"
"ALUMINIUM","1"
"ALUMINIUM COPPER AND ZINC PRODUCTS","1"
"AMUSEMENT PARKS OTHER RECREATION","1"
"ANIMAL FEED","1"
"ASSET MANAGEMENT COMPANY","1"
"AUTO COMPONENTS AND EQUIPMENTS","1"
"AUTO DEALER","1"
"BIOTECHNOLOGY","1"
"BREWERIES AND DISTILLERIES","1"
"BUSINESS PROCESS OUTSOURCING BPO KNOWLEDGE PROCESS OUTSOURCING KPO","1"
"CABLES - ELECTRICALS","1"
"CARBON BLACK","1"
"CASTINGS AND FORGINGS","1"
"CEMENT AND CEMENT PRODUCTS","1"
"CERAMICS","1"
"CIGARETTES AND TOBACCO PRODUCTS","1"
"CIVIL CONSTRUCTION","1"
"COAL","1"
"COMMERCIAL VEHICLES","1"
"COMMODITY CHEMICALS","1"
"COMPRESSORS PUMPS AND DIESEL ENGINES","1"
"COMPUTERS - SOFTWARE AND CONSULTING","1"
"COMPUTERS HARDWARE AND EQUIPMENTS","1"
"CONSTRUCTION VEHICLES","1"
"CONSULTING SERVICES","1"
"CONSUMER ELECTRONICS","1"
"COPPER","1"
"DAIRY PRODUCTS","1"
"DATA PROCESSING SERVICES","1"
"DEALERS-COMMERCIAL VEHICLES TRACTORS CONSTRUCTION VEHICLES","1"
"DEPOSITORIES CLEARING HOUSES AND OTHER INTERMEDIARIES","1"
"DIGITAL ENTERTAINMENT","1"
"DISTRIBUTORS","1"
"DIVERSIFIED","1"
"DIVERSIFIED COMMERCIAL SERVICES","1"
"DIVERSIFIED CONSUMER PRODUCTS","1"
"DIVERSIFIED FMCG","1"
"DIVERSIFIED METALS","1"
"DIVERSIFIED RETAIL","1"
"DREDGING","1"
"DYES AND PIGMENTS","1"
"EDIBLE OIL","1"
"EDUCATION","1"
"E-LEARNING","1"
"ELECTRODES AND REFRACTORIES","1"
"ELECTRONIC MEDIA","1"
"E-RETAIL E-COMMERCE","1"
"EXCHANGE AND DATA PLATFORM","1"
"EXPLOSIVES","1"
"FERRO AND SILICA MANGANESE","1"
"FERTILIZERS","1"
"FILM PRODUCTION DISTRIBUTION AND EXHIBITION","1"
"FINANCIAL INSTITUTION","1"
"FINANCIAL PRODUCTS DISTRIBUTOR","1"
"FINANCIAL TECHNOLOGY FINTECH","1"
"FOOTWEAR","1"
"FOREST PRODUCTS","1"
"FURNITURE HOME FURNISHING","1"
"GARMENTS AND APPARELS","1"
"GAS TRANSMISSIONMARKETING","1"
"GEMS JEWELLERY AND WATCHES","1"
"GENERAL INSURANCE","1"
"GLASS - CONSUMER","1"
"GLASS - INDUSTRIAL","1"
"GRANITES AND MARBLES","1"
"HEALTHCARE RESEARCH ANALYTICS AND TECHNOLOGY","1"
"HEALTHCARE SERVICE PROVIDER","1"
"HEAVY ELECTRICAL EQUIPMENT","1"
"HOLDING COMPANY","1"
"HOSPITAL","1"
"HOTELS AND RESORTS","1"
"HOUSEHOLD APPLIANCES","1"
"HOUSEHOLD PRODUCTS","1"
"HOUSEWARE","1"
"HOUSING FINANCE COMPANY","1"
"INDUSTRIAL GASES","1"
"INDUSTRIAL MINERALS","1"
"INDUSTRIAL PRODUCTS","1"
"INSURANCE DISTRIBUTORS","1"
"INTEGRATED POWER UTILITIES","1"
"INTERNET AND CATALOGUE RETAIL","1"
"INVESTMENT COMPANY","1"
"IRON AND STEEL","1"
"IRON AND STEEL PRODUCTS","1"
"IT ENABLED SERVICES","1"
"JUTE AND JUTE PRODUCTS","1"
"LEATHER AND LEATHER PRODUCTS","1"
"LEISURE PRODUCTS","1"
"LIFE INSURANCE","1"
"LOGISTICS SOLUTION PROVIDER","1"
"LPGCNGPNGLNG SUPPLIER","1"
"LUBRICANTS","1"
"MASTER SCREENER UNIVERSE.CSV","1"
"MEAT PRODUCTS INCLUDING POULTRY","1"
"MEDIA AND ENTERTAINMENT","1"
"MEDICAL EQUIPMENT AND SUPPLIES","1"
"MICROFINANCE INSTITUTIONS","1"
"MULTI UTILITIES","1"
"NON BANKING FINANCIAL COMPANY NBFC","1"
"OFFSHORE SUPPORT SOLUTION DRILLING","1"
"OIL EQUIPMENT AND SERVICES","1"
"OIL EXPLORATION AND PRODUCTION","1"
"OIL STORAGE AND TRANSPORTATION","1"
"OTHER AGRICULTURAL PRODUCTS","1"
"OTHER BANK","1"
"OTHER BEVERAGES","1"
"OTHER CAPITAL MARKET RELATED SERVICES","1"
"OTHER CONSTRUCTION MATERIALS","1"
"OTHER CONSUMER SERVICES","1"
"OTHER ELECTRICAL EQUIPMENT","1"
"OTHER FINANCIAL SERVICES","1"
"OTHER FOOD PRODUCTS","1"
"OTHER INDUSTRIAL PRODUCTS","1"
"OTHER TELECOM SERVICES","1"
"OTHER TEXTILE PRODUCTS","1"
"PACKAGED FOODS","1"
"PACKAGING","1"
"PAINTS","1"
"PAPER AND PAPER PRODUCTS","1"
"PASSENGER CARS AND UTILITY VEHICLES","1"
"PERSONAL CARE","1"
"PESTICIDES AND AGROCHEMICALS","1"
"PETROCHEMICALS","1"
"PHARMACEUTICALS","1"
"PHARMACY RETAIL","1"
"PIG IRON","1"
"PLASTIC PRODUCTS - CONSUMER","1"
"PLASTIC PRODUCTS - INDUSTRIAL","1"
"PLYWOOD BOARDS LAMINATES","1"
"PORT AND PORT SERVICES","1"
"POWER - TRANSMISSION","1"
"POWER DISTRIBUTION","1"
"POWER GENERATION","1"
"POWER TRADING","1"
"PRECIOUS METALS","1"
"PRINT MEDIA","1"
"PRINTING AND PUBLICATION","1"
"PRINTING INKS","1"
"PRIVATE SECTOR BANK","1"
"PUBLIC SECTOR BANK","1"
"RAILWAY WAGONS","1"
"RATINGS","1"
"REAL ESTATE INVESTMENT TRUSTS REITS","1"
"REAL ESTATE RELATED SERVICES","1"
"REFINERIES AND MARKETING","1"
"RESIDENTIAL COMMERCIAL PROJECTS","1"
"RESTAURANTS","1"
"ROAD ASSETSTOLL ANNUITY HYBRID-ANNUITY","1"
"ROAD TRANSPORT","1"
"RUBBER","1"
"SANITARY WARE","1"
"SEAFOOD","1"
"SHIP BUILDING AND ALLIED SERVICES","1"
"SHIPPING","1"
"SOFTWARE PRODUCTS","1"
"SPECIALITY RETAIL","1"
"SPECIALTY CHEMICALS","1"
"SPONGE IRON","1"
"STATIONARY","1"
"STOCKBROKING AND ALLIED","1"
"SUGAR","1"
"TEA AND COFFEE","1"
"TELECOM -  EQUIPMENT AND ACCESSORIES","1"
"TELECOM - CELLULAR AND FIXED LINE SERVICES","1"
"TELECOM - INFRASTRUCTURE","1"
"TOUR TRAVEL RELATED SERVICES","1"
"TRACTORS","1"
"TRADING - AUTO COMPONENTS","1"
"TRADING - CHEMICALS","1"
"TRADING - GAS","1"
"TRADING - METALS","1"
"TRADING - MINERALS","1"
"TRADING - TEXTILE PRODUCTS","1"
"TRADING AND DISTRIBUTORS","1"
"TRANSPORT RELATED SERVICES","1"
"TV BROADCASTING AND SOFTWARE PRODUCTION","1"
"TYRES AND RUBBER PRODUCTS","1"
"WASTE MANAGEMENT","1"
"WATER SUPPLY AND MANAGEMENT","1"
"WEB BASED MEDIA AND SERVICE","1"
"WELLNESS","1"
"ZINC","1"
