SYMBOL,THEME,PURITY_SCORE,SOURCE,IS_PRIMARY,SECTOR,PURITY_REFINED
20MICRONS,CAPEX_CYCLE,1.0,classification_v4,True,METAL,True
20MICRONS,COMMODITY_SUPER,0.7,sector,False,METAL,True
20MICRONS,BATTERY_STORAGE,0.35,sector,False,METAL,True
21STCENMGM,FINANCIALISATION,1.0,classification_v4,True,FINANCIAL_SERVICES,True
21STCENMGM,BANKING_CREDIT,0.55,sector,False,FINANCIAL_SERVICES,True
21STCENMGM,WEALTH_MGMT,0.55,sector,False,FINANCIAL_SERVICES,True
21STCENMGM,INTEREST_RATE_CYCLE,0.55,sector,False,FINANCIAL_SERVICES,True
21STCENMGM,INSURANCE_GROWTH,0.5,sector,False,FINANCIAL_SERVICES,True
21STCENMGM,MICROFINANCE,0.4,sector,False,FINANCIAL_SERVICES,True
360ONE,FINANCIALISATION,1.0,classification_v4,True,FINANCIAL_SERVICES,True
360ONE,MIDCAP_MOMENTUM,0.65,cap_factor,False,FINANCIAL_SERVICES,True
360ONE,BANKING_CREDIT,0.55,sector,False,FINANCIAL_SERVICES,True
360ONE,WEALTH_MGMT,0.55,sector,False,FINANCIAL_SERVICES,True
360ONE,INTEREST_RATE_CYCLE,0.55,sector,False,FINANCIAL_SERVICES,True
360ONE,INSURANCE_GROWTH,0.5,sector,False,FINANCIAL_SERVICES,True
360ONE,QUALITY_GROWTH,0.5,cap_factor,False,FINANCIAL_SERVICES,True
360ONE,TURNAROUND,0.45,cap_factor,False,FINANCIAL_SERVICES,True
360ONE,MICROFINANCE,0.4,sector,False,FINANCIAL_SERVICES,True
3BBLACKBIO,HEALTHCARE_EXPANSION,1.0,classification_v4,True,HEALTHCARE,True
3BBLACKBIO,HEALTHTECH,0.6,sector,False,HEALTHCARE,True
3IINFOLTD,DIGITAL_INDIA,1.0,classification_v4,True,IT,True
3IINFOLTD,AI_ENABLERS,0.55,sector,False,IT,True
3IINFOLTD,DATA_CENTRE,0.45,sector,False,IT,True
3IINFOLTD,CYBERSECURITY,0.45,sector,False,IT,True
3IINFOLTD,FINTECH_INFRASTR,0.45,cross_theme,False,IT,True
3MINDIA,MIDCAP_MOMENTUM,0.65,cap_factor,False,DIVERSIFIED,True
3MINDIA,QUALITY_GROWTH,0.5,cap_factor,False,DIVERSIFIED,True
3MINDIA,TURNAROUND,0.45,cap_factor,False,DIVERSIFIED,True
3PLAND,FINANCIALISATION,1.0,classification_v4,True,FINANCIAL_SERVICES,True
3PLAND,BANKING_CREDIT,0.55,sector,False,FINANCIAL_SERVICES,True
3PLAND,WEALTH_MGMT,0.55,sector,False,FINANCIAL_SERVICES,True
3PLAND,INTEREST_RATE_CYCLE,0.55,sector,False,FINANCIAL_SERVICES,True
3PLAND,INSURANCE_GROWTH,0.5,sector,False,FINANCIAL_SERVICES,True
3PLAND,MICROFINANCE,0.4,sector,False,FINANCIAL_SERVICES,True
5PAISA,FINANCIALISATION,1.0,classification_v4,True,FINANCIAL_SERVICES,True
5PAISA,SMALLCAP_QUALITY,0.62,cap_factor,False,FINANCIAL_SERVICES,True
5PAISA,BANKING_CREDIT,0.55,sector,False,FINANCIAL_SERVICES,True
5PAISA,WEALTH_MGMT,0.55,sector,False,FINANCIAL_SERVICES,True
5PAISA,INTEREST_RATE_CYCLE,0.55,sector,False,FINANCIAL_SERVICES,True
5PAISA,INSURANCE_GROWTH,0.5,sector,False,FINANCIAL_SERVICES,True
5PAISA,TURNAROUND,0.48,cap_factor,False,FINANCIAL_SERVICES,True
5PAISA,MICROFINANCE,0.4,sector,False,FINANCIAL_SERVICES,True
63MOONS,DIGITAL_INDIA,1.0,classification_v4,True,IT,True
63MOONS,SMALLCAP_QUALITY,0.62,cap_factor,False,IT,True
63MOONS,AI_ENABLERS,0.55,sector,False,IT,True
63MOONS,TURNAROUND,0.48,cap_factor,False,IT,True
63MOONS,DATA_CENTRE,0.45,sector,False,IT,True
63MOONS,CYBERSECURITY,0.45,sector,False,IT,True
63MOONS,FINTECH_INFRASTR,0.45,cross_theme,False,IT,True
A2ZINFRA,INFRASTRUCTURE_BUILD,1.0,classification_v4,True,INFRASTRUCTURE,True
A2ZINFRA,CAPEX_CYCLE,0.7,cross_theme,False,INFRASTRUCTURE,True
A2ZINFRA,RAILWAYS_METRO,0.5,sector,False,INFRASTRUCTURE,True
A2ZINFRA,SMART_CITIES,0.45,sector,False,INFRASTRUCTURE,True
A2ZINFRA,INDIA_PLUS_ONE,0.45,cross_theme,False,INFRASTRUCTURE,True
A2ZINFRA,PORTS_SHIPPING,0.4,sector,False,INFRASTRUCTURE,True
A2ZINFRA,WATER_MANAGEMENT,0.4,sector,False,INFRASTRUCTURE,True
AAATECH,DIGITAL_INDIA,1.0,classification_v4,True,IT,True
AAATECH,AI_ENABLERS,0.55,sector,False,IT,True
AAATECH,DATA_CENTRE,0.45,sector,False,IT,True
AAATECH,CYBERSECURITY,0.45,sector,False,IT,True
AAATECH,FINTECH_INFRASTR,0.45,cross_theme,False,IT,True
AADHARHFC,FINANCIALISATION,1.0,classification_v4,True,FINANCIAL_SERVICES,True
AADHARHFC,BANKING_CREDIT,0.8,keyword,False,FINANCIAL_SERVICES,True
AADHARHFC,MIDCAP_MOMENTUM,0.65,cap_factor,False,FINANCIAL_SERVICES,True
AADHARHFC,WEALTH_MGMT,0.55,sector,False,FINANCIAL_SERVICES,True
AADHARHFC,INTEREST_RATE_CYCLE,0.55,sector,False,FINANCIAL_SERVICES,True
AADHARHFC,INSURANCE_GROWTH,0.5,sector,False,FINANCIAL_SERVICES,True
AADHARHFC,QUALITY_GROWTH,0.5,cap_factor,False,FINANCIAL_SERVICES,True
AADHARHFC,TURNAROUND,0.45,cap_factor,False,FINANCIAL_SERVICES,True
AADHARHFC,MICROFINANCE,0.4,sector,False,FINANCIAL_SERVICES,True
AARNAV,CHINA_PLUS_ONE,1.0,classification_v4,True,TEXTILES,True
AARNAV,INDIA_PLUS_ONE,0.7,cross_theme,False,TEXTILES,True
AARNAV,EXPORT_GROWTH,0.6,sector,False,TEXTILES,True
AARON,CAPEX_CYCLE,1.0,classification_v4,True,CAPITAL_GOODS,True
AARON,POWER_TD,0.5,sector,False,CAPITAL_GOODS,True
AARON,INDIA_PLUS_ONE,0.5,sector,False,CAPITAL_GOODS,True
AARON,RAILWAYS_METRO,0.45,sector,False,CAPITAL_GOODS,True
AARON,SMART_CITIES,0.4,sector,False,CAPITAL_GOODS,True
AARON,SEMICONDUCTOR,0.35,sector,False,CAPITAL_GOODS,True
AARTECH,CAPEX_CYCLE,1.0,classification_v4,True,CAPITAL_GOODS,True
AARTECH,POWER_TD,0.5,sector,False,CAPITAL_GOODS,True
AARTECH,INDIA_PLUS_ONE,0.5,sector,False,CAPITAL_GOODS,True
AARTECH,RAILWAYS_METRO,0.45,sector,False,CAPITAL_GOODS,True
AARTECH,SMART_CITIES,0.4,sector,False,CAPITAL_GOODS,True
AARTECH,SEMICONDUCTOR,0.35,sector,False,CAPITAL_GOODS,True
AARTIDRUGS,HEALTHCARE_EXPANSION,1.0,classification_v4,True,PHARMA,True
AARTIDRUGS,SMALLCAP_QUALITY,0.62,cap_factor,False,PHARMA,True
AARTIDRUGS,SPECIALTY_CHEM,0.55,sector,False,PHARMA,True
AARTIDRUGS,INDIA_PLUS_ONE,0.5,sector,False,PHARMA,True
AARTIDRUGS,TURNAROUND,0.48,cap_factor,False,PHARMA,True
AARTIDRUGS,HEALTHTECH,0.35,sector,False,PHARMA,True
