"ISIN","SYMBOL","COMPANY_NAME_NSE","COMPANY_NAME_SCREENER","MATCH_SCORE","MATCH_STATUS","LAST_UPDATED"
"","GNFC","Gujarat Narmada Valley Fertilizers and Chemicals Limited","DCM Shriram Fine Chemicals","45.95","UNMATCHED","2026-06-07"
"","ADANIPORTS","Adani Ports and Special Economic Zone Limited","Chemcon Special.","46.15","UNMATCHED","2026-06-07"
"","KCP","KCP Limited","K C P","50.0","UNMATCHED","2026-06-07"
"","ZFCVINDIA","ZF Commercial Vehicle Control Systems India Limited","Nirav Commercial","50.85","UNMATCHED","2026-06-07"
"","CCCL","Consolidated Construction Consortium Limited","Athena Construc.","50.98","UNMATCHED","2026-06-07"
"","UNIMECH","Unimech Aerospace and Manufacturing Limited","Unimech Aero.","51.06","UNMATCHED","2026-06-07"
"","HAVISHA","Sri Havisha Hospitality and Infrastructure Limited","Anna Infrastruct","51.72","UNMATCHED","2026-06-07"
"","PGHH","Procter & Gamble Hygiene and Health Care Limited","Zota Health Care","51.85","UNMATCHED","2026-06-07"
"","FACT","Fertilizers and Chemicals Travancore Limited","Tata Chemicals","52.0","UNMATCHED","2026-06-07"
"","GENCON","Generic Engineering Construction and Projects Limited","Generic Engineer","52.46","UNMATCHED","2026-06-07"
"","JARO","Jaro Institute of Technology Management and Research Limited","Standard Engineering Technology","53.01","UNMATCHED","2026-06-07"
"","SWSOLAR","Sterling and Wilson Renewable Energy Limited","Sterling & Wils.","53.06","UNMATCHED","2026-06-07"
"","J&KBANK","The Jammu & Kashmir Bank Limited","J & K Bank","53.33","UNMATCHED","2026-06-07"
"","MITCON","MITCON Consultancy & Engineering Services Limited","TIPCO Engineering","53.57","UNMATCHED","2026-06-07"
"","TBZ","Tribhovandas Bhimji Zaveri Limited","Chembond Materi.","53.66","UNMATCHED","2026-06-07"
"","M&MFIN","Mahindra & Mahindra Financial Services Limited","Lead Financial S","53.85","UNMATCHED","2026-06-07"
"","IREDA","Indian Renewable Energy Development Agency Limited","Indian Renewable","55.17","UNMATCHED","2026-06-07"
"","DENTA","Denta Water and Infra Solutions Limited","RNIT AI Solution","55.32","UNMATCHED","2026-06-07"
"","ECOSMOBLTY","Ecos (India) Mobility & Hospitality Limited","Indian Hotels Co","55.32","UNMATCHED","2026-06-07"
"","ICICIAMC","ICICI Prudential Asset Management Company Limited","NIS Management","55.32","UNMATCHED","2026-06-07"
"","HDIL","Housing Development and Infrastructure Limited","Anna Infrastruct","55.56","UNMATCHED","2026-06-07"
"","TICL","Twamev Construction and Infrastructure Limited","Anna Infrastruct","55.56","UNMATCHED","2026-06-07"
"","DIVGIITTS","Divgi Torqtransfer Systems Limited","Digilogic Systems","55.81","UNMATCHED","2026-06-07"
"","GARUDA","Garuda Construction and Engineering Limited","AIA Engineering","56.0","UNMATCHED","2026-06-07"
"","IRCTC","Indian Railway Catering And Tourism Corporation Limited","India Radiators","56.0","UNMATCHED","2026-06-07"
"","GAUDIUMIVF","Gaudium IVF and Women Health Limited","Gaudium IVF","56.41","UNMATCHED","2026-06-07"
"","SABEVENTS","Sab Events & Governance Now Media Limited","VL E-Governance","56.52","UNMATCHED","2026-06-07"
"","SCILAL","Shipping Corporation of India Land and Assets Limited","Shipping Land","56.52","UNMATCHED","2026-06-07"
"","MRPL","Mangalore Refinery and Petrochemicals Limited","Manali Petrochem","56.6","UNMATCHED","2026-06-07"
"","YATHARTH","Yatharth Hospital & Trauma Care Services Limited","Yatharth Hospit.","56.6","UNMATCHED","2026-06-07"
"","ATLASCYCLE","Atlas Cycles (Haryana) Limited","Kalyan Capitals","57.14","UNMATCHED","2026-06-07"
"","GMDCLTD","Gujarat Mineral Development Corporation Limited","Gyan Developers","57.14","UNMATCHED","2026-06-07"
"","GKSL","Gujarat Kidney And Super Speciality Limited","Gujarat Kidney","57.14","UNMATCHED","2026-06-07"
