S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Bajaj Auto,10342.00,26.83,289056.66,1.45,3492.21,101.63,17832.46,41.01,28.21
2.,Eicher Motors,7070.00,34.89,193940.14,0.99,1519.95,11.58,6080.09,16.01,30.52
3.,TVS Motor Co.,3383.90,52.72,160764.73,0.35,819.55,20.91,15052.73,30.42,17.42
4.,Hero Motocorp,4835.00,16.58,96744.94,3.83,1473.92,25.72,12978.28,30.18,35.76
5.,Ather Energy,1033.60,,39599.38,0.00,-100.23,57.23,1174.66,73.75,-19.77
6.,Ola Electric,44.88,,19795.80,0.00,-500.00,42.53,265.00,-56.63,-19.56
7.,Zelio E-Mobility,498.85,37.64,1055.07,0.00,16.21,80.92,170.22,75.65,38.41
8.,Eraaya Lifespace,27.37,,586.52,0.00,82.00,92.94,573.24,-5.08,5.95
9.,Wardwizard Inno.,6.42,99.04,193.12,1.56,0.62,-90.45,118.49,8.68,7.04
10.,Tunwal E-Motors,28.85,13.07,166.44,0.35,4.23,-34.72,132.45,27.15,13.28
11.,Delta Auto.,35.80,8.34,54.74,0.00,3.10,-47.28,37.54,-28.28,11.81
12.,Supertech EV,41.70,13.11,51.54,0.00,0.12,-96.18,35.49,-10.76,14.43
13.,Victory Ele.,18.25,8.50,43.96,0.00,0.97,,7.93,,40.91
