S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Signpost India,265.15,20.24,1417.23,0.19,21.01,2183.70,161.92,46.08,25.13
2.,Bright Outdoor,375.00,34.03,818.37,0.13,13.97,40.68,90.52,30.19,18.68
3.,R K Swamy,100.80,20.86,508.95,1.49,15.94,29.28,100.88,20.80,12.17
4.,Yaap Digital,199.80,22.66,418.24,0.00,19.00,84.08,135.66,28.14,30.86
5.,Vertoz,38.73,12.66,330.10,0.26,6.25,-2.33,73.69,13.06,14.16
6.,Cash UR Drive,157.90,9.48,278.63,0.00,18.52,94.54,108.79,43.71,40.31
7.,Pramara Promotio,150.20,20.86,209.44,0.00,3.91,5.96,59.27,6.49,14.95
8.,Digicontent,28.16,43.81,163.85,0.00,0.90,-85.53,118.35,3.34,23.95
9.,Simca Advertis.,135.90,9.78,162.69,0.00,9.04,1164.71,78.51,107.37,97.50
10.,Value 360 Commu.,70.85,11.52,114.00,0.00,4.99,131.34,35.84,16.97,38.59
11.,Chatterbox Tech,57.00,8.76,80.62,0.00,4.50,-11.76,48.24,50.00,25.98
12.,Crayons Advertis,31.05,20.18,75.86,0.00,0.68,-94.03,171.88,26.88,5.55
13.,Graphisads,30.90,13.19,56.47,0.00,1.55,-62.56,80.65,6.06,5.49
14.,Toss The Coin,225.00,15.75,42.53,3.33,1.27,1311.11,7.81,82.05,26.55
15.,Sharpline Broadc,11.12,4.03,31.84,0.00,4.48,6.01,37.25,19.16,25.74
16.,Thinkink Picture,0.19,19.87,27.02,0.00,0.38,124.36,0.02,-99.61,1.16
17.,Esha Media,27.13,,21.18,0.00,1.80,-438.10,0.58,38.10,
18.,Cyber Media Res.,62.90,4.98,18.42,3.18,1.04,109.52,25.39,38.37,21.77
19.,Innokaiz India,16.32,,16.68,0.00,-1.74,-102.33,5.76,3.41,-5.62
20.,Veritaas Adver.,45.60,7.19,12.87,0.00,1.05,61.54,7.55,-8.48,17.03
21.,Vision Cinemas,1.71,,12.11,0.00,0.02,113.33,0.40,-41.18,-1.80
22.,DAPS Advertising,23.39,8.96,12.10,0.86,0.91,16.67,12.33,11.58,10.35
23.,Gradiente Info.,2.92,2.22,6.58,0.00,0.10,108.00,14.38,827.74,1.30
