S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Bharat Electron,408.20,49.22,298385.17,0.59,2226.35,4.62,10224.43,11.75,36.53
2.,Hind.Aeronautics,4216.90,30.94,282015.73,0.95,4196.04,5.52,13942.40,1.77,31.96
3.,Bharat Dynamics,1207.40,105.29,44258.76,0.39,113.18,-58.51,480.20,-72.98,13.84
4.,Garden Reach Sh.,2658.70,40.72,30455.94,0.52,303.20,24.14,2119.21,29.06,42.96
5.,Data Pattern,4212.60,86.19,23583.81,0.19,138.38,21.30,344.85,-12.96,23.28
6.,MTAR Technologie,7535.50,236.18,23178.89,0.00,44.34,212.25,306.03,67.14,15.20
7.,Zen Technologies,1815.30,85.00,16390.41,0.11,47.24,-68.80,178.08,-45.20,16.18
8.,Apollo Micro Sys,421.35,133.32,15054.52,0.06,36.79,168.71,293.26,81.28,14.47
9.,Astra Microwave,1419.50,69.84,13477.44,0.15,105.98,44.21,488.24,19.71,20.25
10.,Aequs,186.95,,12538.09,0.00,-53.72,-739.04,367.10,47.26,1.55
11.,Mishra Dhatu Nig,435.55,62.39,8159.59,0.20,77.75,38.49,552.75,34.63,11.30
12.,AXISCADES Tech.,1836.00,98.85,7808.69,0.00,0.42,-98.29,273.01,1.88,15.30
13.,Paras Defence,960.15,90.02,7737.59,0.03,38.88,64.34,171.31,58.28,16.90
14.,Sigma Advanced System,435.80,27.69,7680.53,0.00,128.45,1400.69,322.82,469.05,60.82
15.,Unimech Aero.,1078.25,86.66,5483.64,0.00,26.10,-10.62,81.80,19.64,11.85
16.,Avantel,169.94,296.68,4515.49,0.12,4.77,-21.55,63.83,29.58,9.63
17.,Ideaforge Tech,945.00,,4100.25,0.00,59.99,333.33,141.04,594.44,-2.44
18.,Rossell Techsys,1052.20,174.96,3966.42,0.02,7.52,9.78,142.07,61.57,11.50
19.,NIBE,1590.40,422.07,2376.26,0.08,27.57,282.59,259.50,130.48,4.79
20.,Jaykay Enter.,179.74,34.98,2341.78,0.00,179.82,586.84,61.16,458.03,8.18
21.,DCX Systems,193.85,,2159.23,0.00,-0.30,-101.45,207.27,-62.31,0.87
22.,Sika Interplant,931.50,54.19,1974.86,0.26,7.83,-1.01,41.33,-10.19,35.24
23.,Krishna Defence,1164.90,45.63,1739.59,0.09,12.30,64.44,64.85,42.18,30.75
24.,CFF Fluid,736.85,39.43,1545.48,0.14,20.07,104.80,104.61,59.64,23.47
25.,Shree Refrigerat,300.85,50.02,1076.93,0.00,19.96,343.56,103.16,116.00,13.90
26.,Taneja Aerospace,285.90,43.06,729.06,0.87,5.11,-16.50,11.54,-6.79,15.60
27.,C2C Advanced,343.55,13.63,582.95,0.00,23.66,143.17,66.10,52.94,26.17
28.,Apsis Aerocom,283.25,45.46,341.37,0.00,4.24,41.81,16.99,78.47,31.78
29.,Digilogic Systems,113.85,32.31,329.61,0.00,8.53,,59.25,,18.72
30.,Techera Enginee.,142.40,104.56,235.26,0.00,1.69,-86.14,24.20,-24.21,7.59
