S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1,Prec. Wires (I),417.05,49.1,7624.01,0.28,54.87,85.5,1762.85,67.19,33.09
2,Belding India,1386.05,,2006.84,0,-4.65,,0.03,,0.53
3,Vidya Wires,93.62,34.53,1991.23,0,19.61,54.53,598.78,57.73,20.69
4,Baheti Recycling,619.9,23.75,642.75,0,17.79,61.87,409.72,53.38,21.66
5,ANB Metal,505.05,27.85,597.72,0,12.97,199.54,137.39,115.08,29.63
6,Sunlite Recycli.,421.45,14.49,581.85,0,25.8,257.84,1642.41,116.13,46.52
7,Euro Panel,182.08,16.4,446.1,0,8.81,41.19,141.04,19.92,16.95
8,JTL Defence,378.3,1474.85,398.21,0,1.7,182.93,15.24,10060,0.68
9,Shera Energy,158.2,13.15,386.63,0,21.76,69.73,859.4,27.14,19.54
10,Parmeshwar Metal,200.5,9.45,306.89,0.37,23.46,250.15,1127.7,50.08,43.5
11,Baroda Extrusion,8.73,23.15,169.7,0,3.08,71.11,55.94,21.98,55.94
12,Rajputana Indu.,74,13.44,164.39,0,6.82,62.38,365.6,23.87,19.73
13,Madhav Copper,59.6,36.03,161.77,0,2.91,69.19,84.06,102.07,12.62
14,Century Extrus.,19.28,13.39,154.24,0,2.95,27.34,142.22,18.72,19.21
15,Aluwind Infra,51.7,12.21,128.46,0,5.45,-7,73.12,14.66,17.63
16,Cubex Tubings,86.92,16.71,124.46,0,1.37,-40.43,89.4,6.14,11.45
17,Rajnandini Metal,3.84,,106.17,0,1.13,197.37,56.45,-72.93,3.85
18,Shilp Gravures,149.9,10.44,92.19,1.4,0.19,56.25,23.96,3.14,11.19
19,Sharvaya Metals,82.9,7.13,83.15,0,2.28,-71.92,139.86,96.43,28.47
20,Sagardeep Alloys,24.6,17.06,41.96,0,1.62,406.25,70.45,117.17,10.59
21,Sampat Aluminium,37.85,5.4,32.1,0,1.22,-62.58,96.87,37.48,14.71
22,MSR India,4.98,,31.31,0,-0.03,57.14,0,,
23,Amco India,64.35,80.15,26.45,0,0.05,-85.71,29.11,18.77,3.11
24,Krupalu Metals,35,7.42,20.55,0,3.05,312.16,42.77,157.19,18.85
25,Om Metallogic,18.62,4.63,14.64,0,0.94,-50.26,22.06,-16.25,31.25
