S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Hindalco Inds.,1092.60,14.02,245531.97,0.46,2597.00,-22.12,78133.00,20.41,13.67
2.,Natl. Aluminium,395.70,12.54,72675.52,2.65,1722.44,-16.68,5012.82,-4.84,39.59
3.,Arfin India,89.24,110.71,1505.68,0.12,5.71,957.41,191.70,24.99,13.97
4.,Maan Aluminium,128.72,59.26,772.13,0.00,1.70,-56.85,254.57,3.54,7.73
5.,MMP Industries,263.80,17.38,670.12,0.76,17.99,14.36,249.68,11.90,12.49
6.,Msafe Equipments,154.80,14.09,315.79,0.00,11.92,91.95,54.49,38.86,34.11
7.,PG Foils,208.95,,246.46,0.00,-9.73,-101.45,91.29,-18.32,0.87
8.,Manaksia Alumi.,35.38,30.67,231.86,0.20,3.24,62.00,155.66,13.56,10.15
9.,Jainik Power,133.20,13.63,191.11,0.00,7.85,64.57,208.91,9.73,29.88
10.,Hind Aluminium,102.45,11.32,64.55,0.00,1.04,-78.38,1.18,-46.61,8.08
11.,Palco Metals Ltd,148.75,9.33,59.50,0.00,3.04,198.04,80.75,13.59,25.60
12.,Sacheta Metals,3.87,23.72,48.38,1.29,0.36,-38.98,20.43,-18.57,5.46
13.,Kanishk Alumin.,31.50,10.28,42.34,0.00,1.69,-19.52,44.64,26.10,13.79
14.,Sudal Industries,41.57,,34.79,0.00,0.58,-82.53,49.45,12.06,14.83
15.,Maitri Enterp.,43.60,31.97,19.18,0.00,0.47,2450.00,13.91,136.56,15.04
16.,Bothra Metals,7.30,50.07,13.52,0.00,0.27,170.00,17.29,-8.37,3.11
