S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1,Samvardh. Mothe.,143.56,36.66,151519.58,0.42,1561.56,55.33,34309.31,17.03,13.08
2,Bosch,37240,46.73,109834.32,1.37,570,2.98,5565.7,13.34,21.54
3,Bharat Forge,1929.8,78.21,92261.54,0.44,233.45,2.05,4528.04,17.53,13.09
4,Schaeffler India,4035.3,50.44,63073.22,0.87,319.71,20.46,2506.96,18.81,27.9
5,Uno Minda,1090,51.72,62943.93,0.24,351.76,22.39,5336.41,17.85,19.7
6,Tube Investments,3129,91.96,60565.64,0.11,234.01,81.73,6214.74,20.68,16.96
7,Sona BLW Precis.,602.3,54.72,37464.77,0.56,207.34,34.83,1171.58,52.14,15.78
8,Endurance Tech.,2555.3,37.16,35943.58,0.45,276.45,17.32,4085.95,37.88,18.28
9,Exide Inds.,399.55,39.44,33961.75,0.5,216.73,15.19,4735.13,9.22,8.79
10,ZF Commercial,14429,53.38,27357.38,0.03,141.35,12.91,1132.8,12.92,19.98
11,Motherson Wiring,38.58,40.92,25584.95,1.47,167.3,1.44,3334.62,32.88,38.88
12,Tenneco Clean,589.05,38.13,23774.31,0,166.79,18.87,1552.45,17.09,60.76
13,Asahi India Glas,901.9,65.04,22991.88,0.22,132.61,43.17,1354.06,14.77,11.76
14,Craftsman Auto,9065,54.98,21625.09,0.12,116.42,56.46,2226.4,27.28,14.15
15,Belrise Industri,215.98,39.85,19219.61,0.25,136.27,22.69,2106.96,17.11,13.85
16,Sansera Enginee.,2945.1,54.59,18357.41,0.11,123.06,104.84,998.74,27.77,14.14
17,Sundram Fasten.,840.15,29.25,17653.94,0.95,161.36,29.71,1693.3,10.63,17.6
18,CIE Automotive,452.05,19.82,17149.08,1.55,249.37,20.42,2611.95,14.93,14.74
19,JBM Auto,679.7,71.58,16074.51,0.13,83.82,11.95,1852.27,12.55,14.78
20,Amara Raja Ener.,850.25,20,15561.73,1.25,322.33,12.37,3459.92,16.34,13.46
21,Minda Corp,643.4,42.58,15382.37,0.22,124,135.63,1703.81,28.95,12.76
22,Shriram Pistons,3406.1,26.21,15003.81,0.29,159.1,7.65,1455.8,47.29,21.02
23,Gabriel India,1000.6,56.75,14373.01,0.47,61.25,13.78,1110.79,19.33,27
24,Lumax Auto Tech.,1664.4,39.44,11344.17,0.33,97.54,50.4,1416.93,25.07,21.45
25,Sedemac Mechatro,2373.4,101.19,10481.29,0,32.08,272.59,287.71,59.91,35.69
26,Ramkrishna Forg.,554.6,124.56,10084.57,0.36,55.94,-71.88,1216.78,28.46,5.6
27,Banco Products,655.45,20.13,9375.38,2.29,147.43,-5.69,1098.74,25.62,30.91
28,Varroc Engineer,586.3,35.29,8957.87,0.17,70.46,40.48,2368.08,12.81,19.03
29,ASK Automotive,438.65,29.09,8647.66,0.42,71.54,24.18,1147.12,35.01,25.49
30,Pricol Ltd,561.35,27.28,6841.82,0.36,73.23,109.53,1099.21,42.87,25.93
31,Suprajit Engg.,475.75,34.83,6525.92,0.63,71.11,161.05,1041.93,18.82,15.98
32,SJS Enterprises,2003.8,37.57,6413.19,0.17,48.87,45.14,260.12,29.73,28.7
33,Fiem Industries,2311.2,23.8,6083,1.73,71.03,26.86,751.25,17.49,29.41
34,Lumax Industries,5348.5,26.84,5000.85,0.65,54.1,26.43,1200.32,29.99,17.7
35,L G Balakrishnan,1544.5,15.55,4925.78,1.29,69.67,-6.89,815,21.79,19.82
36,Jamna Auto Inds.,121.65,20.32,4863.4,1.73,87.27,73.43,839.6,31.66,27.47
37,Sharda Motor,813.35,14.07,4669.26,2,89.42,6.35,971.76,29.59,35.96
38,Sandhar Tech,703.1,21.08,4232.01,0.5,63.82,56.31,1306.99,28.88,14.41
39,Rolex Rings,138.35,21,3767.73,0,-0.15,-27.67,305.69,7.68,21.16
40,NRB Bearings,385.65,25.29,3737.82,2.06,42.09,-4.74,371.98,12.96,18.56
41,Wheels India,1487.7,23.45,3634.9,0.97,58.81,51.91,1564.02,22.46,18.83
42,Steel Str. Wheel,226.89,17.65,3566.27,0.55,64.45,4.46,1474.63,19.51,15.98
43,JTEKT India,122.54,41.83,3399.22,0.57,27.49,18.62,780.33,20.2,9.84
44,Carraro India,522.5,22.07,2970.49,0.87,41.02,77.5,602.93,36.84,28.67
45,Sundaram Clayton,1339.1,,2952.2,0.35,426.41,-44.36,518.11,-11.72,-3.07
46,Uniparts India,633.95,17.78,2861.85,2.41,51.15,124.05,338.93,34.07,21.6
47,Automotive Axles,1726.7,15.06,2609.04,1.77,53.89,17.33,664.3,18.7,22.12
48,Rane (Madras),901.45,22.64,2491.35,1.77,36.96,522.22,1047.87,16.26,13.97
49,Federal-Mogul Go,436.1,13.3,2426.02,0,50.8,-14.39,488.58,6.5,18.52
50,Divgi Torq,780.7,50.88,2387.61,0.33,15.48,189.35,107.62,84.85,10.21
51,Rajratan Global,432.15,31.29,2194.07,0.46,15.43,1.51,314.29,25.01,13.27
52,M M Forgings,450.55,19.2,2175.33,0.89,48.1,32.8,413.34,16.51,9.83
53,Talbros Auto.,350.75,20.8,2165.11,0.2,31.62,18.96,236.55,14.91,18.56
54,India Nipp.Elec.,905.9,20.58,2049.27,1.71,39.83,4.11,299.46,28.11,17.08
55,NDR Auto Compon.,796.65,30.35,1894.86,0.5,18.45,12.57,229.07,19.28,22.16
56,Rico Auto Inds,136.85,32.74,1851.58,0.37,6.87,-20.96,677.49,24.25,9.01
57,Studds Accessor.,454.85,21.66,1789.99,0,21.1,6.08,167.54,11.88,22.74
58,Frontier Springs,1502.7,28.96,1775.52,0.04,16.59,42.28,82.54,17.78,50.92
59,GNA Axles,382.55,14.04,1642.32,0.78,30.82,21.1,410.94,8.86,14.56
60,RACL Geartech,1224.4,30.89,1443.33,0.12,11.59,76.16,129.76,28.36,16.62
61,Precision Camshf,147.05,31.49,1396.77,0.68,10.06,-39.97,201.01,5.56,8.3
62,Jay Bharat Maru.,127.97,10.05,1385.28,0.55,78.86,302.35,766.01,25.44,16.44
63,Auto.Corp.of Goa,2149.35,18.09,1308.66,1.16,21.32,26.6,270.64,24.8,29.67
64,OBSC Perfection,486.5,46.55,1257.39,0,8.66,70.14,71.52,77.38,19.52
65,Sar Auto Prod.,2602.5,1850.78,1240.02,0,0.2,157.14,6.08,164.35,2.14
66,Saint-Gob. Sekur,132.95,26.45,1211.31,1.88,13.11,31.1,66.2,22.89,26.06
67,Bharat Seats,184.73,26.83,1160.1,0.81,13.25,16.33,574.28,46.16,20.16
68,Igarashi Motors,367.8,95.28,1157.65,0.68,1.59,-48.04,225.97,19.26,4.48
69,Kross Ltd,178.11,20.81,1148.98,0,22.45,30.9,225.45,21.89,16.43
70,Alicon Cast.,651.9,27.28,1069.89,0.84,7.94,-15.8,494.93,16.58,10.04
71,The Hi-Tech Gear,562.2,50.41,1057.7,0.89,8.11,-16.56,228.62,6.39,6.92
72,Munjal Auto Inds,96.28,27.22,962.8,1.04,-1.26,-103.56,614.24,20,11.12
73,Automotive Stamp,507.8,28,805.37,0,13.28,168.83,255.55,35.88,25.39
74,Sterling Tools,218.01,32.97,792.34,1.15,1.59,-118.05,221.97,11.12,7.23
75,Pradeep Metals,452.85,25.78,782.07,0.55,10.32,45.56,90.96,4.52,21.03
76,Menon Bearings,138.71,20.32,777.33,1.44,13.78,108.47,87.18,36.6,25.49
77,IST,665.55,5.06,776.3,0,-9.5,-156.65,34.42,21.97,12.74
78,Enkei Wheels,400.9,53.22,720.61,0,-0.61,89.25,299.06,31.18,7.66
79,Hind.Composites,414.5,18.53,612.18,0.48,11.7,-23.03,104.84,17.6,3.93
80,Z F Steering,645.95,37.63,585.88,0,-0.89,-100.78,174.34,27.24,6.48
81,Kinetic Engg.,234.75,312.27,558.97,0,0.36,35.48,44.73,16.06,3.61
82,Veljan Denison,1203.4,21.7,541.53,0.71,6.57,13.47,40.83,8.76,14.88
83,RNIT AI Solution,62.22,43.89,527.58,0,4.35,27.19,17.62,41.87,20.05
84,Munjal Showa,128.82,21.92,515.22,3.49,-0.05,-100.56,347.07,14.59,4.72
85,Triton Valves,997.2,47.83,510.78,0.25,3.6,634.69,159.33,11.9,11.41
86,Omax Autos,234.72,13.03,502.07,1.07,17.34,2942.11,174.41,52.72,17.15
87,CLN Energy,403,20.7,425.3,0,11.99,44.63,193.96,34.37,22.38
88,Maxvolt Energy,370.6,16.58,404.1,0,11.46,114.61,166.72,148.13,27.12
89,Jay Ushin,926.2,20.12,357.51,0.43,5.4,83.67,267.56,16.89,12.38
90,Talbros Engg.,696,12.12,353.32,0.36,9.55,79.51,143.97,15.03,16.79
91,Autoline Industr,77.57,17.88,351.98,0,30.41,119.97,289.31,48.37,13.06
92,Remsons Ind,84.96,15.95,296.33,0.35,4.45,11.16,130.4,22.81,15.47
93,PPAP Automotive,207.37,155.29,293.49,1.21,45.45,31.4,174.58,18.58,3.53
94,Sundaram Brake,728.75,111.57,286.73,0.21,7.47,465.91,90.43,-6.73,4.35
95,Menon Pistons,54.02,10.67,275.5,1.85,4.44,4.94,73.22,31.31,21.51
96,Bimetal Bearings,634.35,20.73,242.96,2.05,3.8,43.94,94.28,47.06,6.69
97,Thaai,97,18.52,236.11,0,6.7,15.85,83.33,21.21,13.08
98,Emmforce Auto.,113,28.08,231.65,0,4.19,-10.47,59.07,12.54,11.68
99,Pavna Industries,16.37,37.44,228.41,0,2.31,43.53,54.45,-17.79,5.93
100,Shivam Autotech,17.29,,227.36,0,-26.72,-71.75,109.43,1.47,-0.47
101,Setco Automotive,16.89,,225.93,76.97,-57.19,-76.62,196.55,9.26,21.06
102,Pritika Auto,13.5,10.67,224.79,0,4.77,39.17,138.46,36.2,11.87
103,Goldstar Power,7.75,7.54,221.8,0,17.59,,431.93,,
104,Ucal,97.23,,214.98,0,-13.15,100.58,233.47,17.38,3.32
105,Him Teknoforg.,206.2,16.89,213.03,0.24,3.79,-8.23,119.54,12.13,9.08
106,Sintercom India,72.49,139.55,199.55,0,0.53,960,27.52,14.14,5.29
107,Simm. Marshall,173.75,13.16,194.6,0,4.43,51.71,66.03,22.46,19.72
108,Bharat Gears,114.26,10.63,175.45,0,5.07,196.49,210.29,20.26,18.16
109,Pritika Engineer,64.55,25.98,170.19,0,1.4,-8.5,45.92,60.84,11.53
110,Machino Plastics,254.75,118.5,156.42,0,0.25,-92.86,143.41,33.83,6.72
111,LGB Forge,6.5,,154.83,0,-0.51,-15,25.66,7.23,3
112,IP Rings,121.85,60.57,154.46,0,1.13,417.65,86.54,2.77,8.26
113,AVATAR Industries,147.4,415,153.55,0,0.12,500,102.87,,1.36
114,Bhagwati Auto,513.2,11.36,147.8,0.49,3.12,13.87,44.94,16.49,31.59
115,Shigan Quantum,72.7,21.54,147.78,0.28,4.28,1.18,120.06,14.33,11.18
116,Gallard Steel,153,15.97,145.35,0,4.81,53.67,36.48,13.61,23.33
117,Duncan Engg.,376,28.63,139.12,0.8,1.18,-5.6,24.82,20.84,11
118,SNL Bearings,381,12.68,137.54,3.94,2.57,-8.21,15.22,10.21,20.29
119,Uravi Defence &,117.73,246.57,134.21,0,1.5,-59.85,9.86,8.23,3.69
