S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,United Spirits,1246.70,49.65,90678.83,1.36,539.00,30.08,3054.00,3.67,27.49
2.,Radico Khaitan,3490.70,75.78,46751.42,0.26,179.46,94.92,1503.71,15.31,24.21
3.,United Breweries,1324.00,93.61,35007.24,0.76,101.87,-58.32,2250.07,-3.14,10.68
4.,Allied Blenders,580.70,70.60,16242.77,0.93,37.62,-48.05,1006.89,9.37,18.43
5.,Tilaknagar Inds.,416.10,40.68,10284.78,0.24,-14.91,-38.42,949.49,147.52,11.78
6.,India Glycols,978.40,22.35,6557.90,0.77,86.88,35.71,976.35,13.11,12.43
7.,Piccadily Agro,578.05,41.44,5697.96,0.00,44.70,12.14,335.47,31.44,18.01
8.,Globus Spirits,863.45,27.36,2510.94,0.32,21.11,284.50,632.31,-3.43,11.45
9.,G M Breweries,878.00,15.89,2005.96,1.03,54.07,-10.57,202.33,19.49,17.96
10.,Assoc.Alcohols,826.35,18.75,1659.24,0.24,23.51,5.28,238.50,-1.64,17.98
11.,Som Distilleries,74.64,108.54,1551.78,0.00,-56.69,-292.98,180.81,-46.66,5.68
12.,Sula Vineyards,155.93,48.63,1316.79,1.28,8.60,-33.31,134.91,7.32,7.55
13.,BCL Industries,33.45,8.59,987.32,0.78,26.05,-8.55,582.16,-19.45,13.87
14.,IFB Agro Inds.,919.20,14.14,861.29,0.00,10.55,547.24,367.99,58.46,13.07
15.,Jagatjit Inds.,136.90,64.04,640.45,0.00,-16.69,-146.60,75.67,-34.40,10.48
16.,Monika Alcobev,230.65,15.39,494.74,0.43,22.17,29.35,184.28,21.36,14.67
17.,FratelliVineyard,81.97,,356.34,0.00,-7.05,35.62,35.30,10.59,-4.87
18.,Agribio Spirits,289.90,78.30,315.53,0.09,0.90,36.36,12.95,174.95,5.52
19.,Cupid Breweries,25.38,,231.83,0.00,-1.26,,0.00,,
20.,Comfort Intech,6.14,,196.44,1.14,-5.80,2.04,25.21,2.15,2.68
21.,Suraj Industries,58.41,,135.56,0.00,-0.27,84.80,15.29,233.12,1.25
22.,Shri Gang Indus,64.82,6.96,129.51,0.00,1.96,240.00,80.15,38.60,30.71
23.,Tahmar Enterp.,6.57,,102.35,0.00,-3.58,-84.54,0.32,-3.03,-2.39
24.,Kati patang Life,17.00,,85.32,0.00,-3.77,-123.49,2.28,21.28,-29.11
25.,Alcokraft Dist.,72.20,8.25,74.01,0.00,,,,,
26.,Winsome Brew.,22.59,,62.51,0.00,-1.77,-311.63,0.00,,-1.28
27.,Ravikumar Distll,20.22,40.11,48.53,0.00,0.05,3633.33,6.91,-37.12,1.56
28.,Silver Oak (I),80.40,,30.47,0.00,-0.74,-107.14,0.00,,-0.32
