S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Firstsour.Solu.,268.00,25.23,18948.35,2.05,205.24,27.72,2583.45,19.52,16.17
2.,eClerx Services,1380.10,18.38,12979.94,0.04,189.65,24.45,1107.29,23.27,34.81
3.,RPSG Ventures,930.15,,3077.53,0.00,-72.00,-327.88,2927.03,15.18,10.69
4.,Hinduja Global,404.20,,1880.35,0.00,-13.58,-430.06,1084.67,-6.58,1.42
5.,One Point One,58.58,39.22,1540.28,0.00,10.27,18.08,96.20,43.48,10.88
6.,Alldigi Tech,824.40,14.18,1256.25,7.28,28.88,64.17,154.67,5.87,30.34
7.,NSB BPO,67.60,10.55,135.01,0.00,7.01,20.03,88.48,29.95,8.15
8.,Kandarp Digi,149.50,72.51,134.15,0.00,1.13,-15.67,16.35,4.01,11.22
9.,Cadsys (India),70.45,,70.47,0.00,-8.60,110.64,47.31,16.30,-14.11
10.,We Win Ltd,55.84,12.61,56.74,0.00,0.95,-12.84,30.77,51.65,10.91
11.,HRH Next,30.00,8.15,39.61,0.00,2.78,152.73,35.92,24.68,15.84
12.,Informed Techn.,82.79,138.08,34.52,0.00,-1.29,-1742.86,0.26,-45.83,3.14
13.,Platinumone Bus.,160.20,7.08,25.35,1.25,2.90,1833.33,16.73,12.51,24.52
14.,Plada Infotech S,12.05,5.97,10.33,0.00,0.79,-22.22,37.93,9.85,12.10
15.,BNR Udyog,28.13,,8.44,0.00,-0.49,-32.43,0.09,228.57,-8.95
16.,G-Tech Info.,9.98,349.00,3.49,0.00,0.03,400.00,0.00,,8.00
