S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Polycab India,9699.00,54.67,146073.88,0.36,785.61,6.34,8864.48,26.89,34.32
2.,KEI Industries,5335.50,55.54,51007.70,0.08,284.31,25.50,3476.40,19.27,20.07
3.,R R Kabel,2223.40,49.66,25147.88,0.43,167.95,30.06,2964.14,33.65,28.14
4.,Finolex Cables,1057.50,22.66,16173.34,0.76,224.43,17.07,1951.08,22.36,16.01
5.,KSH Internationa,819.45,49.85,5552.24,0.00,34.53,87.16,1018.34,100.52,21.36
6.,Universal Cables,1227.50,26.11,4258.86,0.33,55.32,11.33,840.27,24.66,11.68
7.,V-Marc India,1513.95,36.94,3697.17,0.00,63.63,157.30,1105.46,97.52,41.38
8.,Advait Energy,2181.20,46.15,2386.89,0.08,19.08,55.55,228.20,18.04,27.91
9.,Paramount Comm.,67.32,34.40,2054.67,0.00,20.52,9.50,573.31,13.07,12.35
10.,Dynamic Cables,324.20,18.61,1571.03,0.08,24.17,2.59,355.46,7.33,26.69
11.,Quadrant Future,337.45,,1349.80,0.00,1.14,-27.85,56.56,-3.27,-15.85
12.,Divine Power,493.20,46.10,1231.28,0.00,18.88,,346.47,,
13.,JD Cables,205.75,14.63,463.99,0.00,19.80,69.09,243.34,70.11,33.63
14.,Systematic Inds.,192.50,20.45,429.88,0.00,11.73,4.17,298.83,6.03,17.45
15.,Cords Cable,219.67,13.76,283.98,0.46,8.28,84.41,266.90,14.43,17.73
16.,Plaza Wires,48.87,29.29,213.82,0.00,3.91,113.66,111.53,51.80,8.44
17.,Prime Cable Ind.,115.00,15.36,210.73,0.00,6.76,66.94,144.17,69.73,27.78
18.,Bhadora Indust.,60.30,11.28,112.16,0.00,6.38,-5.78,78.01,21.25,23.65
19.,DCG Cables,58.95,12.35,106.99,0.00,2.80,-15.41,90.66,33.36,13.45
20.,Ultracab India,7.23,15.88,88.90,0.00,1.33,-43.75,79.90,9.53,8.46
21.,Marco Cables,33.15,14.76,61.99,0.00,1.19,-51.82,48.79,-22.15,14.92
22.,Defrail Technologies,74.50,13.05,52.33,0.00,2.48,37.02,41.08,25.28,27.58
23.,B.C. Power,1.89,18.07,13.19,0.00,-1.39,-308.82,2.26,-88.50,2.61
24.,CMI,3.22,,5.16,0.00,-2.85,65.79,13.46,-53.71,-4.24
