S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,AIA Engineering,4630.70,33.95,43213.86,0.35,393.33,37.88,1266.27,9.44,21.09
2.,Happy Forgings,1388.00,43.42,13095.84,0.29,83.56,23.55,423.84,20.42,18.19
3.,Balu Forge,479.30,22.47,5818.31,0.03,65.74,4.87,263.55,-2.26,22.72
4.,Steelcast,287.05,33.44,2904.95,0.50,23.18,-13.41,112.43,-6.38,32.39
5.,Amic Forging,1699.30,69.42,1962.49,0.00,15.87,23.69,75.20,30.44,23.46
6.,Nelcast,140.74,25.28,1224.45,0.50,15.27,12.78,368.18,11.65,11.42
7.,Synergy Green,571.30,175.49,887.97,0.18,0.41,-89.58,119.04,22.13,9.28
8.,Inv.& Prec.Cast.,602.30,49.65,602.30,0.08,3.77,98.42,51.17,20.37,14.31
9.,Neetu Yoshi,148.30,23.01,575.59,0.00,13.47,58.96,54.20,53.19,31.78
10.,Tirupati Forge,44.11,88.66,558.56,0.00,1.52,16.92,41.91,52.40,7.53
11.,Magna Electrocas,1051.30,24.09,444.92,0.57,2.66,-44.81,47.61,4.61,17.43
12.,Nitin Castings,579.75,26.88,298.07,0.52,1.75,-28.57,34.63,-10.24,15.52
13.,Kalyani Forge,600.10,23.44,218.44,0.67,5.88,163.68,56.98,-3.34,12.16
14.,Krishanveer Forg,145.00,17.08,158.63,1.72,5.75,104.83,24.35,22.86,26.21
15.,Gujarat Intrux,434.70,14.48,149.33,5.75,1.98,-23.26,18.91,11.89,21.27
16.,Munish Forge,60.80,13.90,146.35,0.00,3.41,-57.05,100.10,10.61,11.98
17.,KVS Castings,68.99,18.35,129.38,0.00,3.36,-15.79,27.49,2.04,15.78
18.,Samrat Forgings,245.00,27.90,122.50,0.00,1.04,42.47,50.82,-1.44,10.58
19.,Super Iron,45.56,6.40,106.58,0.00,16.31,338.44,179.89,36.17,8.97
20.,Hilton Met.Forg.,19.39,28.92,99.79,0.00,0.14,-96.91,50.84,13.05,5.64
21.,Sharp Chucks and,81.00,10.14,93.23,0.00,2.64,-22.12,141.11,28.62,12.33
22.,Creative Casting,528.00,15.71,68.64,1.89,1.02,-2.86,11.43,7.53,14.33
23.,Smiths & Founder,6.24,93.60,63.65,0.00,0.62,-110.81,3.54,8.92,4.52
24.,Abha Power,29.00,21.91,53.90,0.00,0.43,-86.44,27.65,-22.72,7.01
25.,Shayona Eng.,135.50,13.05,52.74,0.00,2.16,9.64,26.66,54.10,19.67
26.,Swastika Castal,44.50,11.08,36.33,0.00,1.96,0.00,18.81,9.62,19.61
27.,Ganga Forging,2.33,,31.41,0.00,-0.46,-34.29,10.73,-6.94,-6.43
