S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,UltraTech Cem.,10912.00,38.89,321553.91,0.71,3000.02,20.14,25799.47,11.86,12.78
2.,Grasim Inds,3087.70,41.39,210125.00,0.32,3802.23,30.85,51101.11,15.44,8.07
3.,Ambuja Cements,417.55,20.76,103753.54,0.48,1857.43,102.92,10915.47,9.37,5.61
4.,Shree Cement,24085.00,49.84,86900.48,0.46,527.53,-8.47,6101.00,10.29,10.48
5.,J K Cements,4947.50,37.29,38228.47,0.30,330.88,-7.62,3887.50,8.55,15.11
6.,Dalmia BharatLtd,1688.60,29.30,31672.39,0.53,394.00,-9.13,4245.00,3.76,7.59
7.,ACC,1329.80,11.76,24971.95,0.56,238.30,-62.87,7146.18,16.87,11.25
8.,The Ramco Cement,880.70,80.26,20810.27,0.23,150.72,307.09,2610.32,8.89,6.12
9.,JSW Cement,127.37,26.65,17365.18,0.00,361.65,998.10,1894.99,10.86,11.05
10.,India Cements,380.95,148.12,11805.53,0.00,59.50,229.20,1228.65,2.60,1.62
11.,Nuvoco Vistas,319.15,29.24,11398.64,0.00,140.81,2.54,3306.75,8.69,7.07
12.,Star Cement,209.06,21.03,8449.80,0.96,147.03,23.59,1173.55,11.54,16.68
13.,JK Lakshmi Cem.,598.75,17.44,7433.15,1.09,125.06,-29.39,1901.53,0.21,12.48
14.,Birla Corpn.,964.05,13.20,7424.15,1.04,294.77,-3.59,2836.12,0.75,9.78
15.,Prism Johnson,119.31,80.01,6005.59,0.00,-15.95,60.67,2110.39,7.65,6.03
16.,Heidelberg Cem.,150.99,24.53,3421.63,4.64,45.21,-5.67,646.22,5.51,14.67
17.,Orient Cement,133.39,8.03,2740.63,0.37,55.43,31.59,647.23,-21.57,16.46
18.,Sagar Cements,179.49,,2346.07,0.00,100.05,297.08,786.96,19.59,1.97
19.,Mangalam Cement,838.30,15.79,2305.10,0.18,65.23,371.61,490.40,-2.49,10.76
20.,K C P,160.30,10.22,2066.61,0.16,121.10,130.30,683.75,7.71,12.19
21.,Sh. Digvijay Cem,70.87,41.92,1047.95,2.12,7.95,-56.70,208.47,-3.67,6.40
22.,Deccan Cements,602.05,47.19,843.32,0.10,4.73,-202.01,213.89,79.86,3.31
23.,NCL Industries,181.57,6.27,821.29,1.65,42.09,625.08,399.63,6.50,14.49
24.,BIGBLOC Const.,51.29,,726.14,0.00,-0.83,-12.87,86.93,34.59,1.81
25.,Saurashtra Cem.,59.70,30.57,664.39,0.00,18.83,-20.86,446.65,-6.57,2.50
26.,Visaka Industrie,72.97,15.66,630.50,1.64,40.92,42.71,479.43,12.52,7.05
27.,Shiva Cement,18.59,,548.41,0.00,-28.63,46.56,121.36,14.12,-1.43
28.,Andhra Cements,54.14,,499.02,0.00,48.52,211.16,154.85,73.07,-6.01
29.,Kesoram Inds.,11.57,,359.49,0.00,31.07,23.71,66.62,-0.98,-3.61
30.,Anjani Portland,119.19,,350.12,0.00,1.65,93.15,124.04,-10.68,0.12
31.,Shri Keshav,139.45,,244.22,0.00,-9.76,-121.32,47.26,22.98,6.25
32.,Kanoria Energy,16.81,367.62,143.37,0.30,0.16,159.26,75.48,12.44,6.82
33.,Kakatiya Cement,124.16,,96.52,2.42,-4.44,43.58,14.83,-25.29,-7.54
34.,Barak Valley,41.91,320.24,92.87,0.00,1.45,22.88,59.65,2.92,4.48
35.,Panyam Cement,103.00,,82.62,0.00,-20.20,-14.21,20.77,-0.95,-30.06
36.,Sri Chakra Cem.,49.34,,44.41,0.00,-1.76,90.63,30.17,9.87,-86.41
37.,Sainik Finance,37.20,9.71,40.47,0.00,1.26,-52.81,4.76,-9.51,10.57
38.,Scan Projects,136.35,39.98,39.18,0.00,0.29,93.33,4.70,44.17,13.35
39.,Keerthi Indus,41.95,,33.64,0.00,-1.76,-133.82,24.64,39.05,-25.32
40.,Vardhman Concr.,7.53,,5.39,0.00,-0.02,-102.67,0.00,,-2.33
41.,Vaishno Cement,4.25,,3.80,0.00,-0.03,-127.27,0.00,,-104.17
