S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Kajaria Ceramics,1083.80,33.20,17261.93,0.83,156.56,117.94,1373.35,12.40,23.27
2.,Nitco,92.17,67.38,2216.84,0.00,-7.79,-171.23,152.33,62.85,7.07
3.,Somany Ceramics,512.30,24.82,2101.09,0.78,37.40,88.57,817.93,6.36,12.93
4.,Asian Granito,59.40,84.38,1761.06,0.00,-32.67,-739.21,538.50,4.61,3.12
5.,Orient Bell,318.20,38.62,468.09,0.16,6.12,192.15,212.58,11.46,5.61
6.,Exxaro Tiles,6.58,104.03,294.40,0.00,0.20,-94.30,99.90,5.18,4.31
7.,Murudesh.Ceramic,31.49,16.93,190.66,1.59,1.46,-57.80,62.64,-5.66,5.21
8.,Manoj Ceramic,82.90,9.65,114.46,0.00,6.33,-5.38,119.99,22.14,12.94
9.,Regency Ceramics,39.74,,105.07,0.00,-12.49,-208.99,11.26,60.40,-116.47
10.,Restile Ceramics,7.72,,75.87,0.00,-0.25,-18.18,1.44,311.43,-1.04
