S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Larsen & Toubro,3953.20,33.15,543853.26,0.96,6133.06,2.11,82762.16,11.25,14.57
2.,Rail Vikas,235.61,56.16,49125.16,0.73,181.66,-58.92,6695.91,4.18,10.80
3.,NBCC,106.36,43.39,28717.20,0.63,253.52,-0.95,4559.80,-1.81,30.95
4.,IRB Infra.Devl.,21.17,29.07,25569.13,0.73,296.26,37.98,1927.00,-10.34,7.48
5.,Kalpataru Proj.,1290.30,21.72,22034.78,0.70,430.60,73.61,7777.90,10.06,16.64
6.,Cemindia Project,1112.80,32.49,19116.52,0.27,242.17,113.63,2973.49,17.42,32.76
7.,Central Mine Pla,237.28,27.63,16941.79,0.00,187.82,-32.19,826.88,11.69,38.07
8.,Engineers India,237.78,19.32,13364.24,1.68,195.53,-30.12,926.29,-8.31,30.63
9.,KEC International,497.10,20.34,13232.80,1.11,192.79,-28.12,6389.75,-7.02,14.50
10.,Ircon Intl.,136.56,21.57,12843.68,1.94,191.46,-9.13,3188.98,-6.54,9.69
11.,Techno Elec.Engg,1017.00,26.36,11827.67,0.88,114.51,-14.96,1010.04,23.81,14.85
12.,Afcons Infrastr.,319.60,40.78,11754.40,0.78,-88.55,-179.69,2613.84,-18.91,13.63
13.,Rites,210.49,24.66,10116.23,3.59,139.35,-2.06,768.26,27.56,22.00
14.,NCC,146.28,13.14,9184.14,1.50,216.77,-18.83,6232.71,1.66,16.82
15.,G R Infraproject,888.30,9.89,8595.24,1.41,209.86,-52.00,2500.41,9.88,12.39
16.,Power Mech Proj.,2601.80,22.60,8225.93,0.05,153.41,21.59,2110.73,13.89,21.82
17.,Welspun Enterp,541.40,19.06,7493.72,0.55,162.79,46.99,1199.46,13.81,16.76
18.,Dilip Buildcon,428.45,11.37,6959.95,0.23,123.83,-60.27,2299.81,-25.72,13.32
19.,ISGEC Heavy,928.15,59.47,6824.64,0.54,84.97,-19.71,2048.28,17.42,10.85
20.,Hind.Construct.,24.02,45.78,6291.96,0.00,58.94,-34.57,992.20,-27.77,22.84
21.,Ceigall India,358.50,20.02,6245.24,0.00,129.04,70.86,1386.51,37.06,17.26
22.,Shrem InvIT,101.00,7.24,6169.53,13.54,281.89,-3.00,523.74,-38.26,9.68
23.,PNC Infratech,209.91,12.02,5385.01,0.29,107.76,35.08,1616.98,-5.11,8.46
24.,Ahluwalia Contr.,792.95,19.98,5311.78,0.08,82.02,-1.57,1322.30,8.76,20.45
25.,Sterling & Wils.,203.67,18.26,4756.34,0.00,141.59,142.99,1945.61,-22.77,26.21
26.,Man Infra,114.10,22.96,4605.83,0.79,41.05,-44.33,145.52,-50.47,13.87
27.,KNR Construct.,130.32,8.39,3665.05,0.19,106.10,-50.12,695.59,-28.67,10.39
28.,J Kumar Infra,483.40,9.32,3657.67,0.83,105.49,-7.58,1572.54,-3.69,18.34
29.,H.G. Infra Engg.,548.65,12.04,3575.61,0.36,84.62,-59.14,1426.81,4.84,11.31
30.,PSP Projects,873.45,61.58,3462.51,0.00,21.09,226.47,1115.24,65.74,7.88
31.,Ashoka Buildcon,122.36,4.27,3434.93,0.00,146.80,-64.65,1954.30,-27.47,26.52
32.,Ramky Infra,438.80,13.41,3036.40,0.00,52.12,54.83,506.68,3.64,13.66
33.,Interarch Build.,1763.30,21.61,2957.38,0.71,36.60,-5.38,503.62,8.65,22.82
34.,GK Energy,141.41,14.25,2868.04,0.00,59.05,31.66,418.57,18.74,40.87
35.,Nxt-Infra Trust,98.00,27.70,2793.00,17.57,-1.19,-101.27,87.47,-26.91,6.35
36.,Patel Engineerin,27.22,6.78,2700.61,0.00,43.63,-6.06,1421.48,-11.81,13.50
37.,Capital Infra,71.10,12.12,2552.36,16.28,195.05,622.78,282.93,77.88,7.25
38.,BGR Energy Sys.,337.85,,2437.98,0.00,-770.59,-132.48,50.12,-61.47,-26.94
39.,Simplex Infra,241.00,48.36,1906.20,0.00,18.80,-43.16,282.90,0.34,2.40
40.,Capacit'e Infra.,222.09,9.81,1878.97,0.00,44.55,-11.04,711.78,6.03,15.64
41.,Vikran Engg.,70.26,19.58,1812.08,0.00,56.00,48.31,647.40,82.19,16.55
42.,Solarworld Ene.,191.75,13.80,1661.95,0.00,49.06,419.70,591.81,235.47,23.80
43.,SPML Infra,197.00,22.14,1653.15,0.00,27.18,126.31,290.51,53.68,6.76
44.,GHV Infra,222.95,38.02,1606.91,0.00,19.84,41.92,213.60,29.49,45.97
45.,M & B Engineer.,280.55,17.15,1603.29,0.00,27.00,-5.33,363.71,15.96,22.96
46.,Garuda Cons,167.23,12.70,1555.94,0.01,34.42,90.80,149.05,84.15,41.81
47.,GPT Infraproject,115.19,14.96,1455.59,2.60,29.78,31.52,414.68,8.91,21.31
48.,SEPC,6.74,23.39,1274.40,0.00,13.73,40.72,273.83,132.45,5.03
49.,B.L.Kashyap,53.86,89.22,1214.22,0.00,-12.52,591.26,363.71,23.64,13.03
50.,SRM Contractors,510.70,10.55,1171.76,0.00,54.10,124.67,445.75,95.87,37.14
51.,Gayatri Projects,20.53,10.74,953.21,0.00,-111.00,-87.92,191.34,39.52,6.98
52.,Viviana Power,887.50,17.91,898.58,0.00,43.26,245.25,432.34,208.24,50.69
53.,Sathlokhar Sys.,342.85,10.80,890.68,0.00,30.26,64.64,277.37,48.91,37.09
54.,Likhitha Infra.,216.39,21.78,853.66,0.00,4.10,-73.91,120.69,-10.93,13.69
55.,Om Infra,85.62,40.10,824.55,0.47,6.46,-56.32,160.10,-6.89,4.70
56.,Supreme Infra.,78.33,,763.74,0.00,-49.22,86.46,29.62,314.27,
57.,A B Infrabuild,10.44,34.47,666.90,0.05,5.97,-14.16,83.93,16.98,16.06
58.,Axentra Corp,336.55,637.50,663.00,0.00,1.27,12800.00,10.34,,6.94
59.,Om Power Transmission,182.55,15.62,625.14,0.00,16.65,36.48,174.62,67.20,42.70
60.,Goel Construct.,406.60,12.70,587.52,0.00,29.49,36.84,411.92,29.61,34.23
61.,W S Inds.,68.15,219.17,517.23,0.00,2.59,273.86,20.83,-47.49,3.06
62.,E to E Transportation,294.25,30.23,507.80,0.00,24.11,1.64,268.99,69.24,14.79
63.,MBL Infrast,31.90,,486.57,0.00,-8.46,82.04,52.18,67.40,2.69
64.,Brahmaputra Inf.,164.50,8.01,477.35,0.00,14.78,-33.42,93.92,-8.90,18.22
65.,GVK Power Infra.,3.01,,475.34,0.00,-3.01,97.36,0.00,-100.00,-12.29
66.,Zodiac Energy,286.50,20.56,433.29,0.26,10.63,12.61,211.12,23.22,15.86
67.,Atmastco Ltd,172.05,17.06,425.56,0.00,13.99,42.90,141.96,2.20,20.41
68.,Vishnu Prakash R,30.90,,385.15,0.00,-130.79,-905.36,101.62,-74.91,-6.76
69.,Solarium Green,182.35,20.81,380.56,0.00,11.25,-16.09,251.22,69.65,12.93
70.,Deepak Builders,81.18,9.54,378.14,1.23,14.51,29.55,236.25,5.32,13.55
71.,Markolines Pavem,163.90,13.81,363.92,0.92,11.36,-7.57,92.73,-19.06,15.70
72.,IL&FS Engg.,27.64,91.52,362.42,0.00,10.09,154.23,29.81,-70.79,
73.,Giriraj Civil,150.00,23.78,358.81,0.00,8.48,-43.35,162.38,-27.19,15.07
74.,Ganesh Infra.,82.85,4.65,353.95,0.00,24.46,110.50,229.58,44.72,18.87
75.,Mold-Tek Technol,118.04,33.70,340.02,0.85,2.28,246.15,55.49,85.71,10.61
76.,Twamev Constr.,21.73,48.60,336.82,0.00,1.61,-98.30,22.51,-54.74,1.17
77.,Atlantaa,40.89,,333.25,0.00,21.61,131.62,30.52,21.21,1.95
78.,B.R.Goyal Infra.,126.50,6.74,301.38,0.00,28.59,50.55,482.99,62.71,21.74
79.,RPP Infra Proj.,60.69,32.39,300.94,0.82,-13.13,-232.90,451.62,30.57,4.94
80.,Chavda Infra Ltd,90.00,17.29,293.90,0.00,7.34,-31.72,167.61,49.76,13.47
81.,Savy Infra,141.00,8.96,293.40,0.00,18.29,,215.70,,61.88
82.,Univastu India,79.48,12.27,286.02,0.00,10.34,264.41,109.44,174.22,29.96
83.,A2Z Infra Engg.,14.77,18.93,262.20,0.00,-0.63,521.74,108.97,28.87,13.78
84.,SAB Industries,163.00,,247.92,0.00,-10.67,5.24,12.64,-8.14,0.84
85.,Globe Civil,39.80,10.20,237.68,0.00,5.74,-8.31,130.44,31.62,16.09
86.,Suyog Gurbaxani,91.00,38.03,226.25,0.00,-0.42,-104.85,22.60,-25.17,9.65
87.,Madhav Infra,8.33,8.19,224.56,0.00,11.50,-4.85,254.06,-17.60,15.63
