S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1,SRF,2704.9,42.14,80179.95,0.33,582.02,12.35,4615.17,7,14.61
2,Tata Chemicals,719.3,67.62,18324.89,1.53,-2116,-1619.44,3438,-2.02,3.42
3,Deepak Fertilis.,1425.8,24.41,17998.99,0.7,139.39,-49.72,3011.38,12.9,11.58
4,G N F C,499.75,9.09,7343.36,3.6,396,87.68,2208,7.45,12.03
5,Gujarat Alkalies,650.85,,4779.84,2.43,14.98,69.84,1125.31,4.63,1.4
6,GHCL,440.75,8.88,4052,2.72,115.64,-23.05,790.51,1.16,17.41
7,Tanfac Inds.,1979.15,56.29,3948.4,0.23,18.04,-20.67,193.08,12.29,23.66
8,Grauer & Weil,76.69,21.2,3477.21,0.65,49.51,92.35,355.37,4.49,21.35
9,Chemplast Sanmar,207.02,,3273.18,0,-45.38,292.99,1255.55,9.09,0.34
10,Thirumalai Chem.,174.14,,2099.31,0,-28,-42.39,424.25,-18.89,-3.14
11,J.G.Chemicals,417.35,24.82,1635.43,0.24,18.9,18.63,286.17,27.61,18.13
12,Citurgia Biochem,122.25,,1614.87,0,-0.26,-116.67,0,,
13,I G Petrochems,441.85,612.91,1360.67,2.26,28.07,48.05,524.27,9.2,3.12
14,Indo Borax & Ch.,367.4,27.5,1178.99,0.27,14.53,35.84,63.01,25.72,15.6
15,TGV Sraac,108.8,8.82,1165.14,0.92,27.99,28.87,511.11,4.99,12.67
16,Andhra Sugars,79.27,10.78,1074.39,1.01,5.92,-14.19,637.41,27.39,8.48
17,Amines & Plast.,194.97,29.37,1072.72,0.26,15.35,19.83,155.14,-6.44,16.73
18,Innovassynth Technologies,101.11,,938.91,0,11.95,6125,50.83,,-24.87
19,Sr.Rayala.Hypo,505.45,8.65,867.6,0.59,20.06,1.06,163.14,1.66,13.99
20,Blue Pearl Agri,13.07,764.61,787.55,0,0.21,161.76,12.19,6.18,2.23
21,Sadhana Nitro,2.38,,705.6,4.2,-33.62,-920,9.11,-81.58,-11.1
22,Tuticorin Alkali,54.86,18.26,668.39,0,8.02,10.77,83.44,3.14,21.99
23,Vikram Thermo,205.05,16.7,642.99,0.49,8.52,109.34,37.77,39.32,36.42
24,Primo Chemicals,26.11,40.85,632.76,0,6.07,1580.49,144.86,-6.79,6.48
25,Chemfab Alka.,420,,603.7,0.3,0.48,142.11,74.78,-19,1.55
