S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Cummins India,5784.00,66.14,160332.48,1.14,649.46,18.00,3011.18,21.89,39.50
2.,Kirloskar Oil,1913.30,46.87,27815.54,0.34,155.22,42.90,2116.23,20.97,14.72
3.,Elgi Equipments,610.30,43.84,19340.96,0.44,128.00,25.49,1112.60,12.06,23.73
4.,KSB,814.10,51.48,14168.53,0.54,39.80,-22.87,601.30,0.99,24.70
5.,Kirl. Brothers,1711.10,33.62,13587.66,0.41,112.10,-6.26,1415.10,10.44,20.81
6.,Ingersoll-Rand,3960.60,47.25,12502.82,2.02,64.81,-20.32,299.63,-7.05,57.32
7.,Kirl.Pneumatic,1570.80,37.94,10203.63,0.64,144.00,68.58,705.70,21.13,30.36
8.,Shakti Pumps,540.50,25.89,6669.66,0.19,38.33,-65.23,857.77,28.93,23.73
9.,Oswal Pumps,412.70,12.47,4704.98,0.00,92.53,43.90,509.74,39.79,38.24
10.,Swaraj Engines,3733.60,22.82,4536.27,2.95,54.56,20.12,545.79,20.18,58.72
11.,Greaves Cotton,192.20,38.98,4477.33,1.04,2.20,-5.90,1000.26,21.56,10.09
12.,Roto Pumps,62.27,47.39,1173.45,1.28,5.73,-55.48,81.30,2.92,14.81
13.,Yuken India,684.40,64.25,929.69,0.22,5.80,-25.89,133.10,6.78,7.40
14.,Latteys Industri,22.36,35.51,128.56,0.00,1.38,181.63,38.91,59.21,16.32
15.,Maks Energy,26.00,23.12,18.03,0.00,0.60,26.32,27.97,-13.75,9.34
