S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,TCS,2198.90,15.20,795581.26,2.91,13784.00,12.22,70698.00,9.65,63.03
2.,Infosys,1197.50,16.15,485856.39,4.01,8509.00,20.87,46402.00,13.38,39.95
3.,HCL Technologies,1154.70,18.05,313346.91,4.68,4490.00,4.20,33981.00,12.35,30.60
4.,Wipro,198.37,15.78,208229.26,5.55,3521.60,-1.90,24236.30,7.70,17.88
5.,Tech Mahindra,1483.50,29.07,145376.20,3.44,1356.40,16.04,15076.10,12.64,23.14
6.,LTM,4027.20,22.10,119455.34,1.86,1387.30,19.36,11291.70,15.56,29.60
7.,Persistent Systems,5038.50,41.14,79482.34,0.69,529.26,33.73,4055.94,25.10,34.43
8.,Coforge,1435.50,37.59,61726.49,1.06,666.20,151.04,4450.50,30.05,23.50
9.,Mphasis,2330.00,23.54,44469.93,2.66,509.64,14.14,4242.67,14.36,22.80
10.,Hexaware Tech.,526.00,21.92,32139.44,2.19,351.60,7.46,3613.00,12.63,30.07
11.,Tata Elxsi,4301.10,38.50,26794.43,1.74,220.35,27.80,993.75,9.40,30.00
12.,KPIT Technologi.,777.80,31.51,21322.91,1.09,162.97,-33.38,1711.00,11.95,26.31
13.,Fractal Analyt.,1004.90,57.49,17280.77,0.00,115.80,132.97,886.30,17.00,12.59
14.,Zensar Tech.,484.85,13.90,11030.13,2.68,210.60,19.17,1450.40,6.73,23.54
15.,Intellect Design,745.95,28.36,10444.10,0.54,120.22,-11.15,847.02,16.68,15.92
16.,Birlasoft Ltd,327.80,16.82,9162.22,1.98,175.93,44.08,1348.63,2.41,21.58
17.,Rategain Travel,758.70,40.55,8965.21,0.00,69.99,27.70,715.55,174.48,13.67
18.,IDream Film,308.70,,8351.98,0.00,-2.62,-4266.67,0.01,,
19.,Sonata Software,265.70,14.66,7450.89,1.66,130.50,42.65,2536.19,-3.10,30.58
20.,Newgen Software,489.05,21.00,6969.45,1.23,106.30,3.61,452.67,5.30,25.76
21.,Latent View,312.60,32.65,6468.47,0.00,55.06,-1.36,288.62,24.31,16.03
22.,Happiest Minds,364.95,24.59,5557.27,1.75,61.17,41.18,604.08,10.93,13.35
23.,Mastek,1660.10,12.12,5145.87,1.39,106.15,40.53,938.00,3.60,18.02
24.,ASM Technologies,3241.85,76.37,4728.78,0.14,16.75,4.95,135.12,18.00,27.56
25.,Aurionpro Sol.,778.00,19.75,4299.36,0.51,61.36,18.53,345.57,5.70,16.29
26.,63 Moons Tech.,633.90,,2920.92,0.19,25.14,-138.76,133.74,881.22,-3.71
27.,Silver Touch,178.83,63.47,2267.74,0.03,13.22,43.54,100.53,17.35,28.93
28.,Ceinsys Tech,949.05,14.79,1987.09,0.37,37.17,69.96,170.71,19.89,27.46
29.,Saksoft,143.23,13.87,1898.53,0.70,35.93,19.65,248.85,3.74,25.50
30.,Hypersoft Tech.,200.65,414.31,1694.52,0.00,2.64,,38.28,,
31.,InfoBeans Tech.,172.82,19.34,1675.65,0.14,21.44,88.73,141.82,37.40,29.16
