S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,GNG Electronics,420.55,36.32,4794.75,0.00,42.15,185.76,651.66,42.98,20.30
2.,Moschip Tech.,220.43,105.30,4279.28,0.00,7.95,-8.73,153.23,13.75,10.97
3.,Rashi Peripheral,546.25,12.97,3599.77,0.37,86.84,70.49,4489.38,51.00,16.82
4.,D-Link India,477.50,16.29,1695.36,5.45,27.61,0.66,443.71,20.00,28.27
5.,NELCO,697.60,2698.17,1591.92,0.14,1.09,126.72,79.18,17.27,7.21
6.,Bharat Global,105.55,,1068.80,0.00,-1.30,-165.33,0.00,-100.00,-0.04
7.,Control Print,610.65,23.73,976.69,1.64,11.19,-83.21,139.87,14.58,16.45
8.,TVS Elec.,470.15,730.70,876.84,0.00,2.85,600.00,117.37,2.45,5.74
9.,DC Infotech,267.90,20.61,439.36,0.00,5.79,55.65,239.42,38.62,22.98
10.,HCL Infosystems,12.74,,419.41,0.00,-13.17,-41.07,5.28,13.55,-53.05
11.,B C C Fuba India,156.50,40.75,239.60,0.00,1.95,103.12,22.79,79.17,19.20
12.,EPW India,144.00,16.03,165.31,0.00,6.21,135.23,63.43,93.33,45.45
13.,Smartlink Hold.,159.05,12.06,158.65,1.26,6.87,78.91,99.35,51.84,8.93
14.,Esconet,119.80,25.66,158.09,0.00,4.72,-9.23,209.07,69.45,11.95
15.,Richa Info,93.00,17.11,127.99,0.00,1.91,-60.29,56.88,-51.40,8.77
16.,Reganto Enterprises,8.33,10.67,121.87,0.00,4.08,-73.91,95.93,26.42,16.88
17.,Aztec Fluids,84.00,15.42,114.24,0.60,3.18,6.71,47.61,12.42,16.98
18.,Slone Infosys.,146.00,8.54,76.93,0.34,4.41,63.94,140.32,143.36,25.97
19.,Marushika Tech.,85.00,8.04,72.56,0.00,5.92,,67.79,,33.99
20.,Newjaisa Tech,16.25,,58.13,0.00,-12.52,-168.67,17.24,-46.01,-24.48
21.,Cerebra Integr.,3.55,,43.02,0.00,-31.15,-596.87,1.14,-54.76,-40.77
22.,Fine Line Cir.,66.91,82.51,32.18,0.00,-0.24,800.00,8.41,27.42,5.06
23.,Vama Industries,3.93,,20.65,0.00,-0.22,-132.84,6.51,49.66,-5.41
24.,Brisk Technovisi,82.00,16.08,16.40,3.66,0.59,321.43,14.20,-16.91,17.97
25.,ACI Infocom,1.21,,13.37,0.00,0.24,318.18,0.00,-100.00,-11.14
26.,VCU Data Managem,8.40,217.00,13.02,0.00,0.04,119.05,0.00,,0.27
27.,Computer Point,4.13,1239.00,12.39,0.00,0.54,550.00,0.00,,0.03
28.,Compuage Info.,1.36,,11.66,0.00,-137.42,-1417.55,388.94,-69.83,-11.29
