S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,IIRM Holdings,111.00,30.99,756.40,0.00,6.77,179.84,64.01,15.35,20.36
2.,Qualitek Labs,410.00,32.61,477.73,0.00,9.83,,70.27,,11.94
3.,Ekansh Concept,215.20,,325.55,0.00,-1.72,-201.78,3.40,-55.26,1.48
4.,Likhami Consult.,325.00,1406.00,323.38,0.00,0.23,9.52,0.34,3.03,0.89
5.,Monarch Surve.,226.50,8.61,320.63,0.71,24.25,-10.02,99.79,-13.92,28.52
6.,EKI Energy,86.48,,239.44,2.31,-7.79,-29.33,19.75,12.34,-3.84
7.,Mitcon Consult.,89.98,19.37,156.73,0.00,5.64,179.29,45.23,18.62,8.83
8.,Marc Technocrats,78.25,12.83,135.48,0.00,4.81,,37.53,,29.41
9.,AAA Technologies,92.43,57.55,118.56,1.62,-0.35,-135.00,3.38,-68.02,8.93
10.,Techknowgreen,147.85,11.21,109.15,0.00,6.77,75.39,24.24,24.76,28.10
11.,Dhruv Consultanc,28.68,,54.40,0.70,-0.06,-103.02,8.32,-69.86,-32.69
12.,Artefact Project,56.36,7.79,41.00,0.89,0.86,-84.63,14.33,12.48,10.22
13.,Walchand People,138.55,11.59,40.23,0.72,-0.08,-122.86,10.08,18.45,15.66
14.,DMR Engineering,34.30,25.46,35.65,0.15,-0.44,-137.61,4.99,-28.92,18.94
15.,IMEC Services,153.55,4.70,29.17,0.00,7.70,-68.58,0.01,-99.96,-7.09
16.,Invigorated Bus.,6.40,,25.76,0.00,-0.05,-25.00,0.00,,
17.,Manglam Infra,13.90,7.79,24.46,0.00,1.60,1700.00,21.86,-21.42,9.52
18.,DRA Consultants,19.40,7.36,21.28,0.00,1.93,13.53,16.14,30.79,11.61
19.,Onesource Indus.,6.57,7.62,20.20,0.00,-1.99,-2387.50,19.02,2.20,43.89
20.,Integ. Capital,4.50,,16.01,0.00,-0.74,-1950.00,0.21,-16.00,3.01
21.,Pro CLB,31.20,15.92,15.92,0.00,0.72,202.86,0.83,50.91,9.56
22.,Zodiac Vent.,1.81,9.72,14.97,5.52,0.63,133.33,0.90,200.00,6.95
23.,OTCO Intl,9.69,419.00,12.57,0.00,0.10,1100.00,0.00,-100.00,0.40
24.,Tradewell Hold,41.05,9.70,12.32,0.00,-0.54,-175.00,0.51,168.42,12.05
25.,Tarini Internat.,8.50,6.70,11.05,0.00,0.66,17.86,1.25,11.61,1.57
26.,Jonjua Overseas,3.62,1.20,9.87,2.46,5.72,,16.36,,19.64
27.,Getalong Enterp.,4.65,14.69,9.84,0.00,0.55,-39.56,0.50,-56.52,6.04
28.,Intl. Data Mgt.,31.35,,6.90,0.00,-0.04,-33.33,0.00,,-280.00
29.,Befound Movement,4.20,420.00,4.20,0.00,-0.24,-147.06,1.10,-12.00,3.00
