S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Havells India,1150.50,42.67,72165.90,0.87,723.39,39.63,6705.20,2.47,24.90
2.,Dixon Technolog.,11432.00,48.54,69833.42,0.07,297.97,13.15,10510.51,2.12,41.97
3.,PG Electroplast,485.35,70.51,13860.96,0.05,64.86,-55.34,1716.68,-10.11,10.31
4.,MIRC Electronics,39.28,,1450.97,0.00,-47.36,-1382.86,143.81,-28.35,-16.44
5.,IKIO Tech,154.05,31.47,1190.51,0.00,17.53,804.70,165.35,47.25,9.46
6.,Cellecor Gadgets,36.95,20.59,815.40,0.00,20.08,23.34,650.32,8.35,22.64
7.,CWD,309.45,62.34,693.23,0.00,6.32,56.12,105.67,293.56,17.98
8.,Focus Lighting,92.81,120.38,625.96,0.00,2.59,71.52,57.93,43.60,6.56
9.,Universus Photo,380.25,,416.24,0.00,-13.07,37.88,4.64,3.80,-9.34
10.,Arham Tech,141.95,25.38,309.62,0.00,6.31,35.99,72.94,94.77,19.95
11.,Sharp India,113.15,,293.51,0.00,-5.69,-24.51,0.00,,-6733.33
12.,Veto Switchgears,143.79,10.94,274.85,0.70,8.80,16.45,138.86,55.71,11.74
13.,BPL,52.36,,256.44,0.00,-10.99,-123.05,19.62,4.70,-1.78
14.,Sonam,55.72,30.47,223.06,0.00,2.90,70.59,63.65,100.73,14.14
15.,Nanta Tech,390.75,24.54,200.46,0.00,5.98,123.97,48.58,52.19,32.27
16.,Nitiraj Engineer,184.44,178.37,189.07,0.81,-0.64,-966.67,8.18,-63.82,1.79
17.,Pro FX,86.00,9.92,150.53,0.00,6.12,253.76,49.70,4.26,31.88
18.,Calcom Vision,77.99,69.03,109.07,0.00,-0.25,-107.55,68.04,12.91,6.61
19.,Kundan Edifice,80.00,10.58,82.18,0.00,3.26,-23.47,50.51,0.40,19.09
20.,Khaitan (India),131.51,10.31,62.47,0.00,2.94,-14.53,36.16,41.42,20.10
21.,Pulz Electronics,24.35,11.44,53.10,0.00,2.86,32.41,19.53,19.45,18.29
22.,Samtel (India),49.26,582.00,34.92,0.00,0.57,2950.00,0.08,700.00,-20.83
23.,Comrade Applian.,35.00,,27.23,0.00,-2.49,-206.41,15.26,-62.32,-23.19
24.,VXL Instruments,3.34,,4.45,0.00,-0.16,-112.50,0.00,,
