S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Hatsun Agro,896.80,56.08,19976.06,1.12,50.89,18.32,2577.63,14.93,15.28
2.,Kwality Wall's,34.51,,8108.44,0.00,-107.10,,485.80,,
3.,Dodla Dairy,1097.20,24.58,6619.17,0.46,69.73,-2.00,1074.47,18.12,18.02
4.,Vadilal Inds.,5780.70,26.80,4156.32,0.36,54.86,149.36,415.83,51.21,22.23
5.,Heritage Foods,320.15,20.84,2970.86,0.78,23.94,-47.27,1157.56,10.40,15.92
6.,Parag Milk Foods,235.15,21.08,2953.71,0.43,32.24,23.01,945.34,2.95,13.52
7.,Vadilal Enterp.,10087.10,83.01,867.49,0.01,-4.22,51.83,291.29,30.16,27.08
8.,Sheetal Cool,466.30,25.61,489.62,0.00,8.17,72.36,133.31,42.50,16.00
9.,Milkfood,70.91,3.90,172.87,0.88,51.41,2024.38,178.93,13.23,22.53
10.,Modern Dairies,33.85,19.71,96.20,0.00,0.32,-98.21,92.18,1.23,13.72
11.,Virat Crane Inds,34.37,,70.18,0.00,-0.78,4.88,50.46,25.52,-8.08
12.,Dindigul Farm,19.11,12.55,46.68,0.00,2.81,136.83,51.76,76.41,8.84
13.,Healthy Life,6.59,8.67,32.70,0.00,1.33,11.76,51.94,5.85,13.34
14.,Tasty Dairy,4.15,,8.48,0.00,-0.11,95.63,0.00,-100.00,-5.36
