S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,International Ge,368.40,27.34,15920.76,0.68,174.23,25.22,296.28,26.51,30.72
2.,Wework India,641.05,116.12,8884.33,0.00,64.37,71.84,692.85,29.35,20.57
3.,NESCO,1112.60,18.99,7839.38,0.63,93.05,5.00,251.62,31.05,18.34
4.,NDR INVIT Trust,136.00,58.11,6229.33,5.62,5.64,-118.35,109.18,15.49,5.14
5.,Nirlon,615.15,16.02,5543.73,4.23,70.59,31.85,170.94,8.18,30.77
6.,Indiabulls,23.24,16.69,5401.86,0.00,194.26,259.74,408.53,302.18,16.17
7.,Smartworks Cowor,453.10,491.66,5177.21,0.00,16.62,300.24,519.68,44.99,8.30
8.,CMS Info Systems,305.80,16.24,5034.62,2.13,79.06,-20.37,632.93,2.24,17.65
9.,Hemisphere Prop,141.07,,4020.50,0.00,-1.72,-62.26,0.26,8.33,-1.14
10.,Quess Corp,235.71,15.34,3519.89,4.24,64.35,5.02,3892.45,6.46,23.04
11.,Indiqube Spaces,159.04,,3371.61,0.00,-22.65,27.71,401.45,35.20,6.38
12.,Sanghvi Movers,373.15,17.00,3230.58,0.54,68.79,27.10,351.41,31.41,16.68
13.,EFC (I),186.89,11.94,2764.97,0.00,68.86,58.16,292.88,38.80,19.85
14.,Team Lease Serv.,1385.30,16.05,2323.00,0.00,46.05,25.60,2924.87,2.34,15.36
15.,TVS Infra. Trust,116.90,67.96,2305.27,3.93,5.66,,56.08,,
16.,AWFIS Space,312.75,31.59,2238.14,0.00,23.25,110.41,410.14,20.74,13.17
17.,Bluspring Enter.,93.35,,1395.03,0.00,3.82,136.51,864.80,7.90,5.14
18.,Updater Services,193.04,14.48,1292.47,0.00,27.37,-18.58,742.82,4.77,9.98
19.,Texmaco Infrast.,99.46,115.95,1267.38,0.15,0.69,-46.02,4.37,31.23,1.45
20.,Kalind,99.73,44.64,1215.61,1.00,15.00,6718.18,33.11,,31.95
21.,Kapston Services,337.05,36.61,1025.72,0.00,7.52,24.50,218.20,18.02,14.95
22.,Sobhagya Mercant,841.45,37.22,820.29,0.00,5.67,-25.20,81.50,43.92,23.44
23.,Krystal Integrat,583.30,12.66,814.98,0.26,18.85,11.34,364.94,-11.66,15.86
24.,South West Pinn.,262.75,25.45,783.78,0.00,11.34,24.34,77.73,5.31,19.16
