S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,3M India,31995.00,66.49,36058.37,0.50,215.34,159.73,1399.24,16.78,50.05
2.,Godrej Industrie,1042.60,27.77,35115.27,0.00,840.92,143.11,7693.72,33.12,8.84
3.,DCM Shriram,1027.90,18.38,16029.31,0.88,370.80,92.98,3193.34,11.00,11.80
4.,Balmer Lawrie,179.04,11.07,3061.65,4.75,82.80,12.47,743.91,22.32,14.60
5.,TTK Healthcare,914.25,18.75,1291.87,1.09,21.76,-6.44,217.98,14.51,8.04
6.,Dhunseri Vent.,240.77,9.25,843.18,2.08,24.36,128.82,70.96,-47.10,4.57
7.,Empire Inds.,1007.10,11.65,604.26,2.48,18.95,331.53,195.37,4.82,17.98
8.,Maheshwari Logi.,68.94,12.12,204.04,0.00,5.26,-39.46,293.92,13.47,12.17
9.,Panth Infinity,11.02,1.56,60.78,0.00,18.73,12386.67,59.85,294.01,
10.,Krypton Industri,34.27,19.08,50.38,2.92,0.77,450.00,16.14,14.79,11.22
11.,Galactico Corpo.,2.01,23.32,36.84,0.00,0.43,7.50,5.37,-37.92,6.26
12.,Swasti Vin. Art,3.89,6.03,35.01,0.00,2.75,189.47,11.74,236.39,22.91
13.,HCKK Ventures,45.27,,16.80,0.00,-1.05,-1412.50,0.00,-100.00,-27.26
14.,Billwin Indust.,25.40,22.60,10.62,0.00,0.14,-50.00,4.01,-4.52,5.37
15.,Alexander Stamps,7.75,,7.22,0.00,-0.01,75.00,0.06,-50.00,-0.06
