S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Avenue Super.,4144.20,90.98,270269.72,0.00,656.42,19.18,17683.86,18.91,17.19
2.,Vishal Mega Mart,118.73,66.16,55522.60,0.00,167.92,45.88,3114.10,22.22,14.79
3.,V-Mart Retail,665.55,42.37,5294.32,0.15,11.28,143.74,970.89,24.46,13.22
4.,Electronics Mart,111.44,41.79,4287.64,0.00,39.73,38.15,1913.25,14.96,8.14
5.,Shoppers Stop,358.00,,3942.47,0.00,-16.35,-24983.33,1209.79,13.70,7.05
6.,Keto Motors,155.05,,1092.09,0.00,0.07,800.00,2.13,,-0.30
7.,Patel Retail,192.48,16.46,642.89,0.00,9.98,39.00,334.16,52.12,15.33
8.,Spencer's Retail,36.56,,329.52,0.00,-65.58,4.14,436.15,5.90,-8.41
9.,Jay Jalaram Tech,126.10,17.43,152.90,0.00,5.11,49.85,494.85,45.93,12.08
10.,Jay Ambe Super.,156.75,28.58,139.19,0.00,3.36,127.03,40.93,40.51,24.49
11.,On Door Concepts,162.45,8.51,91.76,0.00,6.86,45.65,184.06,21.36,10.10
12.,Future Consumer,0.32,,63.91,0.00,-27.82,-146.37,115.27,1.20,12.02
13.,Osia Hyper Reta.,3.38,3.32,59.81,0.00,4.32,-52.05,382.98,-5.89,14.72
14.,Aditya Consumer,33.00,,48.29,0.00,0.04,102.60,46.20,-6.12,-6.40
15.,Future Enterp.,0.42,,29.35,0.00,-1422.11,-118.40,7.89,-97.55,-10.84
16.,Future Lifestyle,1.36,,27.44,0.00,-7.53,96.27,177.61,-78.68,-72.64
17.,JHS Svend.Retail,19.00,,15.59,0.00,-0.22,,4.27,,
18.,Shanti Guru Inds,8.72,0.96,10.73,0.00,11.46,9650.00,0.23,,71.68
19.,Future Ent. DVR,2.60,,10.24,0.00,6.10,-90.68,2899.46,22.43,
