S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Sudarshan Chem.,886.65,410.26,6971.51,0.51,82.50,203.04,2789.90,106.75,5.51
2.,Kiri Industries,392.50,,2557.84,0.00,514.36,699.61,250.50,22.18,-1.69
3.,Sh.Pushkar Chem.,359.35,16.58,1162.05,0.56,12.87,-22.19,218.17,-0.56,12.97
4.,Ultramarine Pig.,388.10,14.36,1133.25,1.55,14.15,-8.58,198.71,2.02,10.72
5.,Bhageria Indust.,209.09,19.80,912.56,0.72,11.29,-24.94,270.56,48.15,10.09
6.,Bodal Chemicals,71.20,18.74,896.72,0.00,32.06,121.10,588.02,30.42,6.68
7.,Sudarshan Colorants,365.30,17.48,843.18,0.00,13.15,-64.46,211.10,-4.17,11.41
8.,Asahi Songwon,254.36,15.97,299.82,0.59,10.82,42.28,144.05,-5.70,8.49
9.,Poddar Pigments,250.00,17.97,265.25,1.60,4.74,-7.78,100.45,15.23,5.79
10.,Mahickra Chem.,240.55,45.57,235.16,0.08,4.25,257.14,57.28,32.10,12.71
11.,Ushanti Colour,155.75,,190.48,0.00,-0.90,467.31,83.82,264.75,1.29
12.,Ducol Organics,113.40,25.42,184.32,0.00,4.43,109.95,71.55,84.55,10.26
13.,AksharChem (I),227.53,,182.78,0.33,4.84,248.20,105.79,16.59,0.19
14.,Hindprakash Indu,127.67,53.04,145.85,0.00,2.07,392.86,30.80,-20.17,8.50
15.,Paragon Fine,49.20,10.64,96.26,0.00,7.06,67.70,68.88,7.41,12.79
16.,Unilex Colour &C,27.50,4.57,37.45,0.00,6.70,,78.63,,
17.,Arunaya Organics,20.05,9.45,35.16,0.00,1.79,-8.21,48.90,-10.68,15.24
18.,Prolife Indust.,62.80,6.05,25.71,0.48,2.76,200.00,25.77,-10.49,12.17
19.,Yasons Chemex,9.65,19.82,18.63,0.00,-0.08,69.23,47.55,0.85,5.26
