S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Physicswallah,102.73,,29377.62,0.00,-69.14,80.56,918.80,50.72,4.02
2.,MPS,1810.50,18.50,3097.01,4.58,47.04,9.86,205.16,12.66,39.27
3.,Veranda Learning,229.73,46.98,2212.78,0.00,15.69,103.09,132.39,51.60,12.79
4.,Jaro Institute,572.40,23.99,1269.51,0.35,21.33,17.26,72.79,-1.79,24.33
5.,Sodhani Academy,174.00,28.56,99.09,0.29,1.43,-23.94,1.58,-45.33,26.62
6.,Addictive Learn,55.05,,87.58,0.00,-4.65,-205.92,33.83,-12.74,-0.11
7.,Jetking Infotrai,105.10,,66.25,0.00,-2.54,-95.38,4.28,-21.32,-1.42
8.,G-Tec Janix,34.87,,35.53,0.00,-0.66,7.04,1.57,-9.25,-36.32
9.,Usha Mart. Edu.,5.80,37.37,15.32,0.00,0.20,69.23,0.32,166.67,5.23
10.,Docmode Health,48.45,,15.23,0.00,-0.09,82.69,17.85,-12.59,-0.29
