S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Eternal,256.50,676.32,247531.49,0.00,174.00,346.15,17292.00,196.45,2.97
2.,Meesho,165.95,,76215.80,0.00,-166.35,-55.96,3531.21,47.13,-35.59
3.,FSN E-Commerce,262.30,358.73,75109.81,0.00,78.75,286.49,2648.17,28.44,17.20
4.,Swiggy,250.60,,69173.46,0.00,-800.00,25.99,6383.00,44.74,-24.06
5.,Urban Company,125.45,,19346.66,0.00,-161.16,-5574.65,425.56,42.59,-7.75
6.,Brainbees Solut.,221.14,,11544.62,0.00,-48.21,66.92,2162.67,12.04,0.57
7.,Cartrade Tech,1958.40,41.17,9386.23,0.00,70.85,54.50,203.14,19.84,11.84
8.,RattanIndia Ent,39.13,,5408.82,0.00,-110.10,69.01,1696.63,12.77,-4.76
9.,Macfos,1230.85,49.71,1274.98,0.00,9.85,101.43,102.11,63.40,33.76
10.,Acetech E-Commerce,132.00,21.04,216.27,0.00,4.52,100.89,42.33,6.81,33.55
11.,Intrasoft Tech.,84.50,10.38,137.83,0.00,3.15,34.04,136.05,4.62,6.29
12.,Womancart,115.75,13.52,93.45,0.00,2.81,-46.80,83.89,125.81,12.63
13.,Digidrive Dist.,18.36,12.04,70.80,0.00,-1.99,-131.69,9.68,-7.28,3.06
14.,Kaushalya,37.30,5.66,69.12,0.00,5.42,-5.24,1212.38,61.06,16.95
15.,Pace E-Commerce,16.99,10.15,38.28,0.00,1.58,-13.66,57.92,26.88,7.53
16.,Ahasolar Technol,78.06,114.57,24.06,0.00,0.32,-83.42,55.69,59.48,2.87
17.,Add-Shop E-Reta.,7.23,19.50,20.47,0.00,0.36,0.00,56.99,14.60,1.96
18.,Fone4 Communica.,5.50,,13.72,0.00,-1.98,-11.86,36.08,49.83,-28.82
19.,Net Avenue,4.00,,8.58,0.00,-0.85,65.64,13.39,5.18,-32.63
20.,Finelistings Tec,21.98,,7.99,0.00,-1.46,42.29,1.47,-79.97,-23.15
