S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Marico,810.65,59.73,105248.36,0.49,408.00,13.99,3333.00,22.09,47.21
2.,Patanjali Foods,420.45,22.72,45749.53,0.83,524.02,93.24,11155.60,15.10,12.00
3.,AWL Agri Busine.,188.88,23.14,24548.33,0.53,293.06,53.50,21464.78,17.75,18.33
4.,Gokul Agro,232.85,18.60,6871.09,0.00,118.92,144.14,6200.19,13.51,36.73
5.,CIAN Agro,1520.00,19.10,4253.86,0.00,63.93,664.71,656.48,33.91,12.27
6.,Sundrop Brands,644.65,120.72,2430.13,0.00,9.85,-65.94,386.55,27.21,1.97
7.,Shri Venkatesh,249.90,14.47,552.76,0.40,23.80,118.95,821.71,108.92,19.78
8.,KN Agri Resource,196.34,15.49,490.83,0.00,12.60,-20.45,480.97,-2.97,13.33
9.,Kriti Nutrients,88.26,13.07,442.21,0.34,6.19,25.05,255.23,27.58,20.15
10.,Gokul Refoils,40.29,21.58,398.85,0.00,5.85,-11.90,1055.78,22.76,8.42
11.,Integ. Proteins,137.50,1118.74,257.31,0.00,0.23,9.52,5.69,-73.52,1.26
12.,Ramdevbaba Sol.,93.15,18.63,212.95,0.00,5.19,-30.69,437.66,-16.95,5.39
13.,Vijay Solvex,631.80,10.48,202.34,0.00,6.78,142.14,685.44,43.87,8.58
14.,M K Proteins,4.93,27.10,185.06,0.00,1.14,-59.29,145.94,6.37,10.13
15.,Ajanta Soya,21.31,20.47,171.51,0.00,-1.19,-123.71,336.92,-13.25,9.57
16.,Yashhtej Industries,55.45,10.21,127.98,0.00,5.28,19.19,78.23,-52.55,15.05
17.,Ambar Protein,178.15,14.57,102.44,0.00,2.46,-0.81,146.80,14.86,17.78
18.,Prime Industries,45.99,11.49,96.59,0.00,3.03,,27.62,,26.87
19.,Sarda Proteins,88.70,124.41,79.62,0.00,0.84,863.64,0.65,,23.06
20.,Raj Oil Mills,45.85,14.72,68.72,0.00,0.51,-61.07,41.63,29.25,19.26
21.,Rajgor Castor,27.00,5.11,64.57,0.37,10.99,50.75,593.23,70.72,16.58
22.,Diligent Indust.,2.23,20.37,53.17,0.00,0.35,-4.55,29.85,-42.60,5.66
23.,Superior Indus.,30.10,30.65,41.69,0.00,0.03,-102.16,9.71,-34.57,2.44
24.,N K Industries,66.00,,39.67,0.00,-0.09,96.62,2.77,-39.52,
25.,Poona Dal & Oil,64.26,24.79,36.69,0.00,0.57,5.56,35.03,5.99,3.52
26.,Paos Industries,53.00,,32.35,0.00,-1.20,48.28,18.60,14.53,1.87
27.,Ambo Agritec,14.79,54.35,29.35,0.00,-0.89,-1333.33,68.69,1.03,5.16
28.,Solvex Edibles,32.14,411.00,28.77,0.00,-0.72,-122.93,112.38,26.31,6.76
29.,Vandan Foods,32.00,20.33,26.83,0.00,-2.86,-158.97,160.90,197.69,6.71
30.,Madhusudan Inds.,35.09,,18.88,0.00,-1.18,54.09,0.34,6.25,-2.03
31.,Prima Industries,16.00,172.70,17.27,0.00,3.96,-163.33,1.59,-17.19,1.01
32.,Natraj Proteins,36.55,12.03,13.71,0.00,1.11,-11.90,18.87,-18.17,5.63
33.,Pion. Agro Extr.,26.50,,11.47,0.00,-0.67,-2400.00,1.02,-0.97,-18.42
34.,Shree Ram Prote.,0.40,,8.57,0.00,-0.32,33.33,0.00,,-23.95
35.,Shanti Overseas,6.50,,7.22,0.00,-9.26,-3407.14,6.74,358.50,-14.31
36.,Ashiana Agro Ind,8.55,78.60,3.93,0.00,0.02,0.00,0.22,15.79,2.69
37.,Signature Green,4.33,7.80,1.56,0.00,-0.16,-260.00,0.03,,2.03
