S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,NIIT Learning,228.02,13.78,3139.18,1.32,77.11,10.03,525.22,22.23,20.59
2.,Shanti Educat.,184.48,504.27,2970.13,0.00,0.98,308.51,23.17,22.98,10.31
3.,NIIT,93.59,131.53,1277.66,1.07,-3.48,-136.77,99.74,15.59,2.23
4.,Aptech,104.97,24.11,608.86,4.29,1.78,-63.97,111.00,-6.48,15.34
5.,Vinsys IT Serv.,402.70,19.97,593.98,0.00,21.40,9.48,148.36,24.08,21.32
6.,Global Education,108.72,22.40,553.40,1.38,7.74,73.93,22.89,53.11,29.19
7.,Career Point Edu,183.99,14.95,334.73,1.36,5.53,48.66,10.51,-4.97,46.71
8.,CL Educate,53.78,,291.62,0.00,-10.39,-61.88,117.64,20.71,5.30
9.,Arihant Academy,458.00,30.44,277.33,0.22,3.32,249.47,15.68,75.59,42.67
10.,Zee Learn,7.79,11.12,254.78,0.00,45.42,-4.21,176.77,11.40,12.97
11.,Golden Crest,345.00,1005.28,180.95,0.00,0.12,500.00,0.16,166.67,2.20
12.,Flywings Simula.,170.00,15.52,173.01,0.00,7.49,-17.97,14.33,7.83,20.10
13.,VJTF Eduservices,66.40,,116.86,0.00,-2.85,6.56,-0.74,77.91,-1.07
14.,Moxsh Overseas,119.85,51.83,111.95,0.00,4.19,3909.09,9.39,137.12,23.68
15.,Compucom Soft.,13.80,153.79,109.19,1.45,1.09,-434.12,7.93,-17.48,1.85
16.,Drone Destinatio,38.35,79.97,93.57,0.00,-0.34,95.66,20.22,82.82,6.16
17.,Ascensive Educa.,19.88,23.14,81.21,0.00,1.16,-36.68,31.47,37.60,24.52
18.,Ironwood Educa,44.10,18.88,74.00,0.00,0.38,171.70,22.22,2238.95,15.64
19.,LCC Infotech,4.08,,51.65,0.00,-0.28,-1500.00,0.00,-100.00,-1.88
20.,Vantage Knowledg,1.06,301.67,36.20,3.14,-0.60,43.40,0.09,-88.75,0.62
21.,Virtual Global,0.57,,32.27,0.00,-0.21,-950.00,0.00,-100.00,-0.46
22.,DSJ Keep Learn,2.05,,31.92,0.00,-0.76,-1800.00,1.50,-54.68,-11.05
23.,Tree House Edu.,6.78,,28.69,0.00,-9.05,-1075.32,0.62,-67.02,-6.97
24.,Humming Bird Edu,23.04,25.67,14.12,0.00,-0.12,37.21,2.67,108.59,31.28
25.,MT Educare,1.78,,12.86,0.00,2.60,112.77,9.88,-23.41,2.10
26.,Educomp Sol.,0.97,,11.88,0.00,-160.68,-5.40,112.60,-5.71,
27.,Kuberan Global,29.90,,6.30,0.00,-0.19,17.39,0.00,-100.00,-19.76
28.,ACE EduTremd Ltd,4.70,,4.31,0.00,-0.03,0.00,0.00,,-1.25
