S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Graphite India,705.35,75.89,13780.82,1.56,-105.00,-333.10,816.00,22.52,4.57
2.,HEG,539.45,30.80,10410.17,0.33,-113.77,-72.60,603.21,12.42,8.34
3.,Vesuvius India,473.65,36.89,9613.24,0.32,55.85,-5.83,499.85,3.66,21.34
4.,RHI Magnesita,399.60,65.54,8251.80,0.63,-624.42,-42.04,785.71,4.01,6.87
5.,Raghav Product.,1110.15,93.03,5098.03,0.09,15.16,49.65,70.56,39.31,31.22
6.,IFGL Refractori.,194.77,37.93,1403.88,1.10,14.28,72.24,482.97,7.68,4.90
7.,Monolithisch Ind,641.15,60.51,1393.60,0.00,8.11,80.62,40.65,34.87,34.79
8.,Foseco Crucible (India),1199.65,22.81,671.80,4.08,-1.40,322.92,37.35,-11.74,33.05
9.,Orient Ceratech,38.37,23.20,459.06,0.65,5.18,81.12,95.24,10.94,9.16
10.,DE Nora India,765.50,44.87,406.48,0.00,-0.64,-119.16,21.97,9.14,9.62
11.,Panasonic Carbon,472.85,10.69,226.97,2.54,4.56,-6.56,10.18,-19.78,16.79
12.,Royal Arc Ele.,150.00,16.57,166.50,0.33,5.73,-8.17,63.22,12.83,17.99
13.,Nilachal Refract,42.26,,86.04,0.00,-0.36,98.19,0.49,36.11,-30.63
14.,Refractory Shap.,32.50,14.79,70.85,0.00,0.15,-95.18,22.61,-35.84,10.68
15.,Auro Impex,28.45,8.34,34.71,0.00,2.54,15.98,115.35,-16.86,9.75
16.,SP Refractories,82.70,4.19,14.80,0.00,1.33,18.75,11.85,-25.24,28.59
