S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Indian Metals,1499.00,19.06,8087.72,0.83,103.16,118.13,763.29,34.58,18.34
2.,Maithan Alloys,1009.00,6.77,2937.36,1.59,-70.68,-15.44,559.18,28.48,14.83
3.,VISA Chrome,48.00,,699.79,0.00,1082.58,42.57,170.98,5.28,-5.58
4.,Jainam Ferro,251.00,43.61,293.95,0.00,1.23,-47.21,97.40,-9.12,7.04
5.,Nilachal Carbo,97.00,22.94,241.79,0.00,2.87,,95.62,,14.54
6.,Nagpur Power,145.10,,190.08,0.00,-1.99,-202.58,32.47,86.61,0.91
7.,Owais Metal,101.75,112.13,185.01,0.00,-23.56,-193.42,0.30,-99.72,4.30
8.,Indsil Hydro,42.35,7.85,117.70,1.18,1.09,104.29,37.79,17.73,7.97
9.,Shyam Century,4.99,,105.87,0.00,0.20,104.57,0.14,-99.37,-7.40
10.,Chrome Silicon,41.83,,68.58,0.00,-2.56,96.58,0.00,-100.00,-17.41
11.,Facor Alloys,3.04,,59.45,0.00,-2.10,25.53,0.13,-23.53,-17.56
12.,QVC Exports,22.95,7.18,23.99,2.18,1.25,-65.37,232.38,44.10,9.19
13.,Impex Ferro Tech,2.31,,20.31,0.00,-0.94,48.07,0.00,,
