S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,F A C T,866.85,,56091.43,0.02,3.16,-94.51,1483.85,40.88,4.93
2.,Coromandel Inter,1796.80,26.41,53008.23,0.61,114.64,-42.51,6003.66,20.35,22.75
3.,Chambal Fert.,467.70,9.59,18738.51,2.14,169.24,29.84,2785.03,13.73,25.51
4.,Paradeep Phosph.,127.58,12.91,13244.98,0.78,155.60,-10.48,4701.97,12.11,17.13
5.,R C F,126.32,17.61,6968.95,1.04,186.72,123.99,5580.57,49.63,10.23
6.,G S F C,162.54,9.63,6476.85,3.08,52.14,-27.32,2632.67,36.96,7.16
7.,M B Agro Prod.,546.80,31.90,4791.44,0.09,59.76,319.37,394.71,32.99,19.40
8.,Krishana Phosch.,666.70,22.41,4037.04,0.07,83.08,152.83,755.49,59.76,27.24
9.,Natl.Fertilizer,73.84,17.13,3622.44,2.11,151.54,12.43,4347.19,-2.45,9.09
10.,Kothari Indl,153.11,,1653.92,0.00,-31.98,-97.77,44.52,-48.61,-33.55
11.,S P I C,69.64,6.71,1418.15,2.87,29.49,51.46,584.15,-22.56,17.50
12.,Madras Fertilize,68.86,12.75,1109.34,0.00,20.89,153.30,699.21,26.09,14.82
13.,Zuari Agro Chem.,217.58,3.08,915.10,0.00,-25.10,-212.74,187.33,-80.32,16.38
14.,Khaitan Chemical,55.41,7.82,537.42,0.00,1.26,-37.20,192.97,20.10,18.40
15.,Aries Agro,330.35,10.03,429.60,0.36,-4.79,-19.78,184.80,44.63,21.20
16.,Rama Phosphates,121.27,8.14,429.13,0.62,5.37,2.29,219.08,9.04,15.30
17.,Nova Agritech,26.91,19.39,248.97,0.00,0.22,-96.21,55.91,-31.26,8.09
18.,Balaji Phos.,98.00,22.80,233.02,0.00,2.18,-39.11,85.77,33.85,15.19
19.,Nagarjuna Fert.,3.70,,221.28,0.00,-5.75,-118.63,8.46,105.01,
20.,Anya Polytech &,16.50,23.57,198.00,0.00,2.37,1312.50,79.72,31.68,10.18
21.,Bharat Agri Fert,30.03,,158.72,0.00,1.23,-71.19,6.20,-12.18,1.50
22.,Basant Agro Tech,12.54,16.21,113.65,0.40,2.21,92.17,162.86,22.89,7.03
23.,Teesta Agro Ind.,114.65,7.82,64.32,0.00,3.13,-15.63,32.64,-17.24,8.88
24.,Agro Phos India,30.90,8.89,62.65,3.24,-0.29,-123.93,32.23,7.04,15.05
25.,Phosphate Co,140.00,11.17,50.50,0.00,1.99,-11.95,29.87,12.59,8.79
26.,Shiva Global,41.04,,41.01,0.00,3.50,-11.17,68.80,-26.78,4.41
27.,Bohra Industries,17.50,,37.05,0.00,-1.03,47.98,0.00,,-4.93
28.,M P Agro Inds.,11.22,93.00,6.51,0.00,0.04,300.00,0.00,,1.34
