S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,PVR Inox,973.25,40.37,9557.31,0.00,186.40,116.94,1547.30,25.81,6.96
2.,Media Matrix,13.55,262.37,1534.87,0.00,2.08,805.00,300.67,10.63,9.78
3.,Panorama Studios,49.91,82.98,1300.33,0.11,7.16,-70.43,64.83,-69.50,8.70
4.,JOJO,220.00,134.98,758.58,0.02,4.79,7883.33,12.60,781.12,17.05
5.,Vashu Bhagnani,73.69,149.14,471.27,0.00,-2.32,-393.67,2.31,-48.44,2.54
6.,Connplex Cinemas,226.70,16.60,433.00,0.00,13.03,38.91,83.46,51.97,43.57
7.,UFO Moviez,74.66,11.63,289.79,0.00,4.48,730.99,133.22,43.19,12.18
8.,Cineline India,79.16,22.64,271.25,0.00,3.32,-75.24,62.23,13.12,10.86
9.,Tips Films,380.50,,164.49,0.00,-3.47,89.39,2.36,-96.09,-6.69
10.,Alan Scott Ente.,275.20,,157.35,0.00,-1.85,-45.45,8.03,-1.35,-14.14
11.,Mukta Arts,63.80,,144.09,0.00,-0.70,124.32,45.39,19.10,11.17
12.,Vels Film,73.50,,94.87,0.00,-20.14,-12.07,31.38,486.54,-12.43
13.,Baba Arts,13.15,106.22,69.04,0.00,0.10,-77.27,5.16,77.93,3.14
14.,Baweja Studios L,31.25,9.47,57.58,0.00,4.57,-13.28,33.44,-22.93,7.94
15.,G V Films,0.28,153.56,52.21,0.00,-0.02,95.35,0.65,,2.36
16.,Picturehouse,8.01,78.96,41.85,0.00,0.08,-96.95,0.02,100.00,11.00
17.,Prit Nandy Comm.,20.04,5.83,28.99,0.00,-2.06,-379.07,2.49,-68.04,-0.13
18.,Orient Tradelink,5.90,16.78,22.82,0.00,0.08,107.21,3.72,-15.26,4.25
19.,Mediaone Global,14.40,,21.20,0.00,-1.10,-1671.43,0.92,-43.21,165.29
20.,Bombay Talkies,3.74,,20.20,0.00,-0.04,0.00,0.02,-50.00,-3.68
21.,Picturepost Stu.,6.05,21.11,17.73,0.00,0.60,-76.83,8.22,-58.08,4.27
22.,V R Films & Stud,14.25,16.12,15.64,0.00,0.10,103.64,3.10,29.71,12.73
23.,JMD Ventures,5.22,48.58,15.06,0.00,-0.10,-158.82,0.15,-6.25,1.61
24.,SDC Techmedia,18.05,,11.71,0.00,-1.52,-404.00,4.38,-24.09,-10.52
25.,Interworld Digi.,0.21,,10.05,0.00,-0.08,-33.33,0.00,,-0.31
26.,BGIL Films & Tec,7.06,80.00,8.00,0.00,0.35,191.67,0.73,170.37,1.28
27.,BMB Music,12.42,47.06,7.53,0.00,-0.16,-114.81,0.90,50.00,6.41
28.,Padmalaya Tele.,4.05,,6.89,0.00,-0.28,-154.55,0.00,,-3.36
29.,Filmcity Media,1.90,,5.81,0.00,-0.10,-25.00,0.00,,-9.49
30.,Universal Arts,5.69,56.70,5.67,0.00,-0.08,-60.00,0.00,,2.21
31.,Purple Agrotech Industries,6.30,34.06,5.45,0.00,-0.01,-200.00,20.00,,3.36
32.,Vision Corpn.,2.60,,5.19,0.00,-0.06,-101.47,0.00,-100.00,-7.01
