S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,PB Fintech.,1534.10,105.95,70981.74,0.00,261.16,53.87,2061.33,36.70,10.31
2.,One 97,1065.20,93.51,68208.70,0.00,183.00,766.66,2264.00,18.41,5.01
3.,Pine Labs,144.47,144.42,16589.15,0.00,59.36,284.05,700.51,17.02,4.16
4.,AvenuesAI,14.01,17.34,4887.01,0.00,88.96,71.03,2489.54,114.52,7.71
5.,Seshaasai Tech.,266.65,17.70,4314.55,0.00,82.56,30.76,404.10,9.59,27.98
6.,One Mobikwik,194.67,,1532.64,0.00,4.38,114.40,288.71,7.82,-2.24
7.,MOS Utility,16.60,23.74,427.35,0.00,4.91,11.50,153.35,-12.46,19.50
8.,Finbud Financial,117.00,19.13,222.88,0.00,6.35,,177.12,,17.82
9.,WSFX Global,62.00,12.80,78.58,2.42,0.55,129.41,26.18,20.09,18.17
10.,Suvidhaa Info.,2.68,,56.23,0.00,-1.87,77.34,0.68,-60.00,-28.03
11.,AGS Transact,2.83,,36.35,0.00,-194.26,-1163.07,209.60,-43.92,1.26
