S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Metro Brands,1023.40,67.84,27893.94,0.54,117.73,23.07,772.98,20.26,20.18
2.,Bata India,664.60,51.53,8541.94,1.35,2.21,-58.62,827.63,5.00,12.18
3.,Relaxo Footwear,330.05,45.83,8216.22,0.91,67.67,20.37,751.10,8.05,11.07
4.,Redtape,134.82,30.98,7452.95,1.48,69.88,69.53,675.51,33.51,24.11
5.,Campus Activewe.,243.10,49.50,7428.97,0.62,44.14,26.01,455.63,12.30,21.25
6.,Lehar Footwears,267.10,22.66,472.20,0.19,4.14,-17.86,91.26,-16.62,18.05
7.,Sreeleathers,197.35,15.88,456.96,0.51,9.67,82.80,62.69,17.95,8.00
8.,Liberty Shoes,246.19,37.86,419.51,0.00,5.30,-10.69,212.05,13.00,7.91
9.,Brandman Retail,160.00,11.67,295.31,0.00,5.64,37.90,67.10,137.69,36.81
10.,Khadim India,101.33,44.55,186.23,0.00,0.77,-86.10,83.56,-10.92,6.87
11.,Sarup Industries,114.45,65.26,37.20,0.00,0.27,-37.21,4.34,-10.88,4.14
12.,Marc Loire,39.38,15.80,27.96,0.00,0.59,-75.62,20.08,-25.88,11.38
