S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Sheela Foam,642.75,45.67,7018.76,0.00,91.77,511.54,1050.06,23.59,6.17
2.,Responsive Ind,180.66,32.34,4816.55,0.06,22.82,-57.94,430.34,13.05,10.77
3.,Wakefit Innovati,116.07,19.93,3845.77,0.00,121.75,564.05,343.60,13.55,11.19
4.,Euro Pratik Sale,254.60,31.37,2602.01,0.08,21.53,45.91,93.49,28.14,38.38
5.,Safe Enterprises,267.60,19.31,1247.14,0.00,30.61,40.94,106.04,31.64,47.03
6.,Hardwyn India,24.41,93.81,1192.27,0.00,3.42,96.55,46.41,27.85,4.70
7.,BirlaNu Ltd,1347.90,,1016.44,2.23,-22.35,-63.54,1010.13,8.74,-3.97
8.,Stanley Lifesty.,141.79,56.58,809.98,0.00,-0.60,-93.33,101.40,-10.11,6.43
9.,Parin Enterpris.,695.40,118.86,773.15,0.03,4.32,-32.39,138.98,6.46,10.82
10.,Transteel Seatin,119.30,11.82,263.56,0.00,12.24,52.43,61.32,12.95,21.02
11.,Interiors & More,164.85,19.97,230.64,0.30,9.03,40.44,58.60,54.37,15.97
12.,Durlax Top,55.05,12.60,159.27,0.00,9.60,134.15,116.37,84.07,16.96
13.,Marvel Decor,68.00,27.29,120.63,0.00,2.28,43.21,31.51,-2.14,7.86
14.,Omfurn India,54.00,10.09,63.58,0.00,4.14,36.63,53.38,22.07,14.06
15.,Naman Industries Proxima,48.40,,63.24,0.00,-2.61,-277.55,73.59,-17.44,-0.35
16.,Priti Internati.,40.71,60.40,54.36,0.00,0.17,-79.76,6.03,-62.00,1.76
17.,Ahlada Engineers,40.30,289.28,52.07,3.97,-1.04,-207.22,25.65,-33.15,2.69
18.,Rexpro Enter.,40.50,20.17,45.39,0.00,0.39,-90.60,28.57,-45.46,5.53
19.,Tirupati Foam,80.00,18.36,35.26,1.25,0.51,-17.74,24.38,-12.08,8.82
20.,Lexus Granito,15.73,31.44,32.70,0.00,-0.65,-225.00,11.54,-44.97,6.89
21.,Milestone Furn.,26.44,,24.58,0.00,-0.17,39.29,0.00,,-1.91
22.,Shashwat Furnis.,80.40,,16.79,0.00,-0.18,-144.44,14.99,34.08,-2.99
23.,Golden Carpets,12.71,,8.25,0.00,0.01,-66.67,0.15,-34.78,-5.41
24.,Magenta Life,9.10,52.08,6.25,0.00,0.13,160.00,8.99,107.14,3.60
