S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Page Industries,38345.00,54.15,42769.53,2.35,178.73,8.98,1252.60,14.07,64.38
2.,Arvind Ltd,493.70,30.38,12941.89,0.76,164.56,2.75,2553.09,14.97,13.84
3.,Pearl Global Ind,1665.60,27.60,7692.43,0.87,80.98,27.40,1313.58,6.88,19.24
4.,Gokaldas Exports,693.85,50.77,5084.09,0.00,35.96,-31.97,1068.85,5.27,8.39
5.,Lux Industries,1343.40,38.07,4039.83,0.15,40.37,-16.19,881.25,7.58,7.84
6.,Kitex Garments,165.26,329.04,3296.94,0.30,-9.28,-111.83,166.17,-44.64,1.53
7.,Kewal Kir.Cloth.,439.05,19.07,2705.65,0.91,34.54,6.42,323.80,12.38,18.08
8.,S P Apparels,812.20,20.25,2041.78,0.25,18.59,-39.23,364.91,-8.59,14.04
9.,Cantabil Retail,219.65,19.19,1837.11,0.46,29.23,29.85,253.46,15.33,19.07
10.,SBC Exports,37.10,69.91,1766.66,0.00,8.22,104.99,141.60,47.04,18.17
11.,Dollar Industrie,251.00,13.46,1423.57,1.20,31.41,10.13,602.44,12.28,13.61
12.,Rupa & Co,152.89,15.86,1215.85,1.96,36.21,25.53,441.50,6.26,9.55
13.,Monte Carlo Fas.,546.85,10.15,1133.73,3.66,5.04,149.03,280.30,36.11,13.90
14.,Karnika Industri,131.00,30.44,812.17,0.08,7.92,26.32,60.85,0.80,28.28
15.,Bizotic Commer.,808.65,43.10,779.70,0.00,9.71,146.45,177.00,199.54,26.91
16.,Iris Clothings,36.76,43.22,699.66,0.00,6.43,43.53,60.48,50.45,16.05
17.,Virat Industries,425.00,124.95,617.24,0.00,1.05,483.33,5.10,-34.02,8.50
18.,Vishal Fabrics,20.04,15.42,496.21,0.00,7.51,53.89,348.15,-11.06,10.11
19.,Purple United,395.85,25.04,380.40,0.00,10.14,41.23,109.90,51.31,22.86
20.,Thomas Scott,253.50,18.34,371.89,0.00,6.02,63.22,77.81,63.40,20.54
21.,Bella Casa Fashi,239.90,15.95,321.17,0.83,4.57,5.30,110.65,27.07,15.22
22.,VIP Clothing,25.80,23.70,232.53,0.00,4.42,82.64,71.54,10.21,8.02
23.,C P S Shapers,1000.00,1752.31,227.80,0.00,2.16,232.31,19.52,8.99,4.37
24.,Saraswati Saree,57.41,9.71,227.34,3.95,3.34,-52.49,133.53,-2.07,16.58
25.,Active Clothing,141.30,21.81,219.19,0.00,1.62,-0.61,72.72,6.39,10.61
26.,Zodiac Cloth. Co,74.55,,204.70,0.00,-5.27,-65.72,44.63,-6.90,-8.03
27.,Forcas Studio,103.50,13.34,181.95,0.00,7.92,38.46,113.97,31.51,20.22
28.,Fractal Industries,215.95,12.72,169.50,0.00,6.46,53.81,42.39,-5.15,27.51
29.,N R Vandana,72.60,16.17,169.12,0.00,4.74,10.23,173.57,20.73,17.67
30.,S D Retail,90.00,15.85,168.50,0.00,9.65,15.84,117.68,16.10,12.21
31.,Indian Terrain,32.98,,167.10,0.00,-0.90,58.53,106.53,18.99,7.63
32.,Filatex Fash.,0.20,59.53,166.68,0.00,0.33,-81.77,22.08,-66.46,0.17
