S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Titan Company,4260.20,73.47,378214.66,0.26,1179.00,31.00,26920.00,80.48,25.80
2.,Kalyan Jewellers,371.85,27.87,38402.44,0.40,409.50,118.27,10274.94,66.22,20.52
3.,Thangamayil Jew.,5351.90,47.07,16634.79,0.34,142.66,354.33,2839.17,105.63,25.49
4.,PC Jeweller,9.18,12.47,8914.27,0.00,152.89,61.26,927.34,32.66,9.58
5.,Bluestone Jewel,555.15,569.97,8458.32,0.00,31.18,162.67,681.47,47.73,7.07
6.,Sky Gold & Diam.,528.45,29.73,8184.31,0.00,90.72,120.80,1911.51,80.64,27.02
7.,P N Gadgil Jewe.,572.35,18.84,7767.27,0.00,90.26,45.60,3544.31,123.16,20.92
8.,Ethos,2367.10,65.97,6333.81,0.00,22.76,-3.30,414.01,32.99,9.82
9.,Senco Gold,350.75,10.01,5746.64,0.29,156.88,151.29,1996.66,44.93,20.92
10.,Goldiam Intl.,421.60,27.91,4760.62,0.71,37.23,61.38,234.60,18.14,23.89
11.,Timex Group,437.95,55.77,4421.11,0.00,27.34,212.12,235.20,73.69,92.77
12.,Vaibhav Global,228.46,14.37,3821.24,2.63,91.14,167.05,934.71,9.99,16.29
13.,KDDL Ltd,2904.70,40.05,3572.57,0.52,34.54,24.58,574.99,37.04,11.20
14.,Rajesh Exports,98.73,25.91,2915.10,0.00,-53.50,-2843.59,236864.21,18.91,1.86
15.,D.P. Abhushan,909.10,9.80,2075.29,0.00,50.60,101.19,1334.73,86.09,39.57
16.,Shringar House,209.10,17.46,2016.39,0.00,34.01,123.46,725.56,106.50,26.83
17.,Shanti Gold,221.13,11.38,1594.26,0.00,51.93,465.07,658.93,121.65,33.49
18.,Khazanchi Jewell,629.95,17.43,1558.93,0.16,25.59,104.07,507.85,-18.35,34.79
19.,PNGS Reva Diamo.,381.35,18.70,1208.82,0.00,21.41,350.74,138.13,138.94,22.00
20.,Laxmi Goldorna,241.30,294.09,1208.73,0.00,-6.16,-1151.67,26.64,-3.90,10.08
21.,Motisons Jewel,11.71,18.35,1173.06,0.00,8.30,-23.52,137.47,15.76,17.86
22.,T B Z,167.16,5.51,1115.47,1.35,67.64,612.75,829.69,56.74,21.36
23.,Renaiss. Global,101.44,10.91,1088.79,0.00,30.22,28.98,773.41,50.35,8.00
24.,Asian Star Co.,612.80,24.27,980.90,0.24,-0.42,91.07,745.97,-12.68,3.56
25.,PNGS Gargi FJ,838.85,27.94,878.30,0.00,5.14,25.06,29.59,30.41,33.78
26.,Manoj Vaibhav,151.99,6.40,742.43,0.00,28.16,5.31,754.47,7.00,15.63
27.,Utssav CZ Gold,307.45,12.57,742.43,0.00,29.64,95.13,679.49,87.81,28.82
28.,Foce India,590.00,46.28,692.84,0.00,9.16,21.49,86.70,23.63,16.06
29.,Radhika Jeweltec,56.53,8.92,667.05,0.00,7.53,-32.35,193.36,23.54,25.07
30.,RBZ Jewellers Lt,132.70,9.69,530.80,0.00,11.68,36.29,189.48,38.01,21.85
31.,Uday Jewellery,152.00,14.47,517.60,0.00,10.66,488.95,226.35,112.85,22.39
32.,Divine Hira Jew.,320.00,58.56,417.51,0.00,4.00,30.72,383.36,72.04,16.10
33.,Manbro Indust.,61.94,120.17,359.32,0.00,2.01,,22.83,,
34.,SJ Corp,78.79,,341.59,0.00,-0.61,-654.55,7.72,1.85,0.14
35.,Pushpa Jewellers,120.00,10.83,290.67,0.00,14.86,22.40,247.41,81.11,30.37
36.,Goldkart Jewels,151.65,71.70,254.55,0.00,0.68,-54.05,70.86,48.09,9.20
37.,Silgo Retail,76.65,42.46,244.58,0.00,1.91,9.77,13.38,-19.06,8.17
38.,Spice IslandsInd,450.85,34.25,193.87,0.35,3.09,98.08,10.91,3108.82,62.36
39.,Maxgrow India,47.88,0.59,191.26,0.00,111.48,101245.45,6106.12,,
40.,Grover Jewells,119.40,8.18,173.22,0.00,17.04,,535.65,,45.97
41.,Ausom Enter.,121.99,8.53,166.15,0.82,0.83,-92.48,1440.43,-5.65,16.38
42.,Mini Diamonds(I),14.01,118.78,165.10,0.00,-6.18,-107.97,149.98,54.89,2.62
43.,Golkunda Diamond,233.75,11.88,162.69,0.64,3.84,66.96,68.52,10.86,20.06
44.,Yaashvi Jewellers,83.03,8.00,146.31,0.00,3.54,,62.65,,45.55
45.,Ashapuri Gold,4.13,7.42,137.66,0.00,1.35,68.75,70.61,-15.67,15.97
46.,Dev Labtech,26.55,13.17,125.99,0.00,9.23,1039.51,117.94,258.48,20.95
47.,Retaggio Indust.,64.50,13.86,124.03,0.00,4.68,427.27,51.44,348.87,20.83
48.,Viram Suvarn,10.93,16.36,124.01,0.46,1.39,43.30,5.32,-18.78,22.33
49.,Kabra Jewels,110.85,4.69,116.23,0.00,6.56,126.99,98.40,26.38,20.43
50.,Patdiam Jeweller,251.65,9.13,108.64,0.00,2.71,-0.37,67.68,-2.08,23.68
51.,Moksh Ornaments,11.82,10.59,104.31,0.00,1.85,42.31,261.38,56.21,11.43
52.,Royal India Corp,6.36,1.42,75.03,0.00,47.34,334.31,0.00,-100.00,49.30
53.,Ceenik Exports,182.25,,73.26,6.86,-4.89,-44.25,0.00,,-18.75
54.,Banaras Beads,104.59,39.21,69.41,2.15,0.55,-16.67,6.51,-9.58,5.71
55.,SwarnsaritaJewel,32.51,5.59,67.88,0.00,-6.78,-70.78,236.65,49.90,10.65
56.,Mishka Exim,42.50,31.02,61.41,0.00,0.69,475.00,3.42,129.53,11.34
57.,Luxury Time,72.50,10.65,59.85,0.00,3.05,91.82,31.83,29.76,28.30
58.,AJC Jewel,95.95,7.26,58.23,0.00,1.96,,84.11,,22.28
59.,Guru Krupa Gems,37.67,99.39,56.65,0.00,0.09,-70.00,6.16,-84.66,3.39
60.,Homre,2.49,,49.77,0.00,-0.76,-300.00,5.96,,36.91
61.,Rajnish Retail,2.89,100.67,45.30,0.00,0.73,380.77,5.50,-75.57,0.86
62.,Simandhar Impex,147.05,2247.50,44.95,0.00,0.06,,1.54,,1.15
63.,Zodiac-JRD MKJ,38.00,11.09,41.71,0.00,2.80,13400.00,7.97,67.79,6.96
64.,Eighty Jewellers,40.00,4.19,40.80,0.25,6.54,1008.47,73.60,23.20,25.12
65.,U. H. Zaveri,13.03,797.00,39.85,0.00,0.01,,8.82,124.43,0.25
66.,KKV Agro Powers,613.00,11.69,38.22,0.74,-1.38,-268.29,615.67,17.70,16.37
67.,Manoj Jewellers,40.00,3.98,35.94,0.00,3.37,34.80,45.02,29.22,30.19
68.,Shoora Designs,70.41,814.00,32.56,0.00,0.02,-92.86,9.88,290.51,0.24
69.,Kanani Industrie,1.56,11.97,30.87,0.00,0.55,329.17,12.91,-61.70,3.92
70.,Deep Health AI,2.12,4.62,30.56,4.72,-4.52,207.32,0.25,-44.44,20.22
71.,Kenvi Jewels,2.28,33.89,28.81,0.00,-0.17,-221.43,49.50,-10.42,7.74
72.,Orosil Smiths,6.08,1.10,25.12,0.00,22.72,2704.94,0.51,-79.10,193.46
73.,Darshan Orna,2.34,40.36,23.41,0.00,0.09,-18.18,25.07,944.58,3.58
74.,Shubhlaxmi Jewel,22.00,22.01,23.33,0.00,-1.57,-7750.00,40.27,29.44,6.86
75.,Koura Fine Diamo,36.80,29.22,22.21,0.00,0.40,300.00,31.78,23.47,7.59
76.,York Exports,59.75,3.52,20.09,0.00,0.08,-33.33,1.43,-54.75,14.22
77.,Cityman,15.20,,17.78,0.00,-0.09,-12.50,0.00,,-4.47
78.,S.M. Gold,12.50,10.54,16.55,0.00,0.78,680.00,33.10,125.63,5.84
79.,Tacent Projects,44.58,1565.00,15.65,0.00,0.07,40.00,0.10,-97.00,10.53
80.,Meyer Apparel,1.84,,14.81,0.00,-0.24,-4.35,0.00,-100.00,
81.,Lypsa Gems,4.98,8.49,14.68,0.00,0.35,102.29,1.77,-73.10,7.18
82.,Varyaa Creations,30.55,28.13,14.63,0.00,-0.14,30.00,25.39,58.49,5.07
83.,Gautam Gems,3.24,18.91,13.24,0.00,0.41,1266.67,20.22,-11.20,2.08
84.,Sover. Diamonds,20.50,,11.87,0.00,-0.32,-146.15,2.31,-47.02,-23.20
85.,Shukra Jewellery,8.56,,11.62,0.00,-0.71,-688.89,3.05,21.51,-0.08
86.,Kenrik Indust.,9.16,,11.45,0.00,-0.59,-193.65,58.06,9.67,0.27
87.,Goblin India,8.22,4.92,11.36,0.00,0.77,305.26,30.46,0.30,7.86
88.,Sunraj Diamond,16.00,,8.53,0.00,-0.02,92.31,0.02,-97.83,-1.02
89.,Mayur Leather,17.39,19.09,8.40,0.00,0.31,3.33,0.00,,7.49
90.,R O Jewels,1.66,,8.37,0.00,-0.06,-220.00,-0.02,-100.05,0.21
91.,Veerkrupa Jewel,0.61,47.00,7.99,0.00,0.14,-22.22,34.86,66.08,0.55
92.,Euro Leder Fash,17.62,394.00,7.88,0.00,-0.12,-170.59,8.00,49.25,7.12
93.,Manor Estates,8.92,,7.35,0.00,-0.17,5.56,0.00,,
94.,Haria Exports,5.61,64.80,6.48,0.00,0.00,-100.00,0.00,,0.70
95.,Oscar Global,18.67,,6.16,0.00,-0.04,42.86,0.00,,-3.76
96.,Decorous Investm,15.69,49.18,5.41,0.00,-0.03,,0.12,-36.84,3.87
