S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Midwest,1233.60,42.54,4460.80,0.00,37.03,-24.63,215.81,-6.25,15.40
2.,Pokarna,824.35,31.71,2555.81,0.07,25.61,-56.56,147.24,-43.95,11.57
3.,Global Surfaces,52.05,,220.60,0.00,-23.38,-112.57,45.39,-21.02,-1.62
4.,Esprit Stones,69.55,,152.63,0.00,-1.16,-113.47,73.34,-54.33,-0.25
5.,Pacific Inds,135.30,46.86,93.26,0.00,0.37,-83.98,38.53,-35.36,1.09
6.,Royal Cush. Vin.,15.73,,57.55,0.00,-0.42,-108.71,11.76,-21.65,-0.17
7.,Elegant Marbles,193.50,16.24,57.33,0.52,0.19,-60.00,8.61,33.70,3.69
8.,Oriental Trimex,6.56,20.87,48.22,0.00,1.32,-70.90,13.94,-16.33,3.83
9.,Aro Granite Inds,25.08,,38.37,0.00,-6.41,-32150.00,11.52,-57.03,1.04
10.,Madhav Marbles,37.78,86.69,33.81,0.00,1.49,7350.00,9.24,20.47,1.71
